ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2019;administracao-de-empresas;Universidade de São Paulo;SP;1;Estadual;1;36;4;61.51;3;7.99;401-500;5.52;;;1;8;1;40;;;;;;;
2019;administracao-de-empresas;Universidade Federal de Minas Gerais;MG;2;Federal;5;35.44;2;62.04;14;7.93;12;7.93;;;1;8;3;38.18;;;;;;;
2019;administracao-de-empresas;Universidade Federal do Rio Grande do Sul;RS;3;Federal;8;35.03;3;61.96;22;7.89;19;7.89;;;1;8;3;38.18;;;;;;;
2019;administracao-de-empresas;Escola de Administração de Empresas de São Paulo;SP;4;Privada;3;35.72;5;59.81;12;7.94;11;7.94;;;701-800;3.93;1;40;;;;;;;
2019;administracao-de-empresas;Escola Brasileira de Administração Pública e de Empresas;RJ;5;Privada;24;32.8;1;62.17;3;7.99;1;8;;;1;8;3;38.18;;;;;;;
2019;administracao-de-empresas;Universidade Federal do Rio de Janeiro;RJ;6;Federal;8;35.03;7;57.89;26;7.87;87;7.47;;;1;8;7;34.55;;;;;;;
2019;administracao-de-empresas;Pontifícia Universidade Católica de São Paulo;SP;7;Privada;5;35.44;13;54.56;45;7.77;301-350;6.11;;;351-400;6.13;7;34.55;;;;;;;
2019;administracao-de-empresas;Universidade Federal do Paraná;PR;7;Federal;12;34.47;8;55.53;24;7.88;28;7.83;;;1;8;10;31.82;;;;;;;
2019;administracao-de-empresas;Universidade Federal da Bahia;BA;9;Federal;12;34.47;10;55.22;72;7.63;38;7.77;;;1;8;10;31.82;;;;;;;
2019;administracao-de-empresas;Universidade de Brasília;DF;10;Federal;24;32.8;9;55.47;20;7.9;41;7.75;;;1;8;10;31.82;;;;;;;
2019;administracao-de-empresas;Insper Instituto de Ensino e Pesquisa;SP;11;Privada;51;29.05;6;58.84;12;7.94;25;7.85;;;601-700;4.87;3;38.18;;;;;;;
2019;administracao-de-empresas;Universidade Federal de Santa Catarina;SC;12;Federal;24;32.8;11;55.02;38;7.81;100;7.39;;;1;8;10;31.82;;;;;;;
2019;administracao-de-empresas;Universidade Presbiteriana Mackenzie;SP;13;Privada;3;35.72;15;51.96;47;7.76;176;6.92;;;1001 ou +;2.73;7;34.55;;;;;;;
2019;administracao-de-empresas;Universidade Estadual de Campinas;SP;14;Estadual;24;32.8;14;53.29;10;7.95;401-500;5.52;;;1;8;10;31.82;;;;;;;
2019;administracao-de-empresas;Universidade Federal de Pernambuco;PE;15;Federal;12;34.47;17;47.89;59;7.7;59;7.64;;;1;8;18;24.55;;;;;;;
2019;administracao-de-empresas;Pontifícia Universidade Católica do Rio de Janeiro;RJ;16;Privada;12;34.47;18;47.87;59;7.7;93;7.43;;;1001 ou +;0.92;10;31.82;;;;;;;
2019;administracao-de-empresas;Centro Universitário Ibmec;RJ;17;Privada;24;32.8;16;48.55;67;7.66;35;7.79;;;1001 ou +;1.28;10;31.82;;;;;;;
2019;administracao-de-empresas;Universidade Federal Fluminense;RJ;18;Federal;24;32.8;20;47.63;47;7.76;111;7.32;;;1;8;18;24.55;;;;;;;
2019;administracao-de-empresas;Universidade do Vale do Rio dos Sinos;RS;19;Privada;12;34.47;26;44.24;69;7.65;251-300;6.18;;;401-500;5.86;18;24.55;;;;;;;
2019;administracao-de-empresas;Universidade Nove de Julho;SP;20;Privada;12;34.47;27;44.05;125;7.36;201-250;6.56;;;401-500;5.58;18;24.55;;;;;;;
2019;administracao-de-empresas;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;21;Estadual;24;32.8;23;45.5;5;7.98;196;6.8;;;351-400;6.17;18;24.55;;;;;;;
2019;administracao-de-empresas;Universidade Federal de Goiás;GO;22;Federal;24;32.8;24;45.47;401-500;5.5;95;7.42;;;1;8;18;24.55;;;;;;;
2019;administracao-de-empresas;Pontifícia Universidade Católica do Paraná;PR;23;Privada;8;35.03;31;42.42;251-300;6.56;141;7.14;;;701-800;4.17;18;24.55;;;;;;;
2019;administracao-de-empresas;Pontifícia Universidade Católica de Minas Gerais;MG;24;Privada;5;35.44;32;42;201-250;6.75;251-300;6.38;;;701-800;4.32;18;24.55;;;;;;;
2019;administracao-de-empresas;Universidade Federal de Santa Maria;RS;25;Federal;98;22.52;12;54.63;32;7.84;168;6.97;;;1;8;10;31.82;;;;;;;
2019;administracao-de-empresas;Pontifícia Universidade Católica do Rio Grande do Sul;RS;26;Privada;12;34.47;30;42.45;74;7.62;301-350;6.09;;;701-800;4.19;18;24.55;;;;;;;
2019;administracao-de-empresas;Universidade Federal do Rio Grande do Norte;RN;27;Federal;51;29.05;21;47.14;90;7.54;155;7.05;;;1;8;18;24.55;;;;;;;
2019;administracao-de-empresas;FAE Centro Universitário;PR;28;Privada;51;29.05;28;43.25;251-300;6.53;84;7.49;;;601-700;4.68;18;24.55;;;;;;;
2019;administracao-de-empresas;Universidade de Caxias do Sul;RS;29;Privada;24;32.8;35;39.05;160;7.18;601-700;4.18;;;801-1000;3.14;18;24.55;;;;;;;
2019;administracao-de-empresas;Pontifícia Universidade Católica de Campinas;SP;30;Privada;12;34.47;38;35.94;251-300;6.56;601-700;4.2;;;1001 ou +;0.63;18;24.55;;;;;;;
2019;administracao-de-empresas;Universidade Federal de Viçosa;MG;31;Federal;98;22.52;19;47.76;82;7.58;61;7.63;;;1;8;18;24.55;;;;;;;
2019;administracao-de-empresas;Centro Universitário Armando Alvares Penteado;SP;32;Privada;24;32.8;37;36.83;201-250;6.81;401-500;5.02;;;1001 ou +;0.45;18;24.55;;;;;;;
2019;administracao-de-empresas;Fundação Universidade do Estado de Santa Catarina;SC;33;Estadual;98;22.52;22;45.99;39;7.8;51;7.69;;;351-400;5.95;18;24.55;;;;;;;
2019;administracao-de-empresas;Universidade Metodista de Piracicaba;SP;34;Privada;51;29.05;36;37.28;131;7.33;601-700;3.87;;;1001 ou +;1.53;18;24.55;;;;;;;
2019;administracao-de-empresas;Faculdade Ibmec;MG;35;Privada;98;22.52;33;40.52;117;7.4;15;7.91;;;1001 ou +;0.66;18;24.55;;;;;;;
2019;administracao-de-empresas;Centro Universitário Internacional;PR;36;Privada;98;22.52;34;39.72;351-400;6.12;701-800;3.56;;;401-500;5.49;18;24.55;;;;;;;
2019;administracao-de-empresas;Universidade do Estado do Rio de Janeiro;RJ;37;Estadual;24;32.8;39;29.08;30;7.85;38;7.77;;;1;8;39;5.46;;;;;;;
2019;administracao-de-empresas;Universidade Federal de Mato Grosso;MT;38;Federal;24;32.8;41;27.21;301-350;6.29;89;7.46;;;1;8;39;5.46;;;;;;;
2019;administracao-de-empresas;Universidade Federal do Ceará;CE;39;Federal;12;34.47;46;23.65;32;7.84;32;7.81;;;1;8;;;;;;;;;
2019;administracao-de-empresas;Universidade Federal de Uberlândia;MG;40;Federal;24;32.8;49;23.35;41;7.79;72;7.56;;;1;8;;;;;;;;;
2019;administracao-de-empresas;Universidade Federal do Espírito Santo;ES;41;Federal;24;32.8;56;23.07;28;7.86;129;7.21;;;1;8;;;;;;;;;
2019;administracao-de-empresas;Universidade Estadual de Londrina;PR;42;Estadual;24;32.8;58;22.95;140;7.28;54;7.67;;;1;8;;;;;;;;;
2019;administracao-de-empresas;Universidade Federal do Pará;PA;43;Federal;24;32.8;96;21.31;201-250;6.93;251-300;6.38;;;1;8;;;;;;;;;
2019;administracao-de-empresas;Universidade Cesumar;PR;44;Privada;51;29.05;42;24.75;201-250;6.85;301-350;6.01;;;301-350;6.43;39;5.46;;;;;;;
2019;administracao-de-empresas;Centro Universitário das Faculdades Metropolitanas Unidas;SP;45;Privada;24;32.8;107;20.67;251-300;6.66;601-700;4.31;;;701-800;4.24;39;5.46;;;;;;;
2019;administracao-de-empresas;Universidade Estadual do Ceará;CE;46;Estadual;24;32.8;116;20.21;251-300;6.57;103;7.37;;;301-350;6.27;;;;;;;;;
2019;administracao-de-empresas;Universidade Federal de São Carlos;SP;47;Federal;51;29.05;44;23.92;6;7.97;9;7.95;;;1;8;;;;;;;;;
2019;administracao-de-empresas;Universidade São Judas Tadeu;SP;48;Privada;24;32.8;135;19.48;127;7.35;139;7.15;;;501-600;4.98;;;;;;;;;
2019;administracao-de-empresas;Universidade Estadual do Oeste do Paraná;PR;49;Estadual;51;29.05;63;22.83;148;7.24;67;7.59;;;1;8;;;;;;;;;
2019;administracao-de-empresas;Universidade Anhembi Morumbi;SP;50;Privada;24;32.8;149;19.06;107;7.45;201-250;6.59;;;501-600;5.02;;;;;;;;;
2019;administracao-de-empresas;Universidade do Estado do Amazonas;AM;51;Estadual;51;29.05;65;22.79;168;7.14;58;7.65;;;1;8;;;;;;;;;
2019;administracao-de-empresas;Universidade Estadual de Maringá;PR;52;Estadual;51;29.05;76;22.23;76;7.61;201-250;6.62;;;1;8;;;;;;;;;
