ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2019;agronomia;Universidade de São Paulo;SP;1;Estadual;1;36;2;60.82;3;7.94;75;4.88;;;1;8;1;40;;;;;;;
2019;agronomia;Universidade Federal de Viçosa;MG;2;Federal;2;34.91;1;61.81;12;7.66;7;7.75;;;1;8;2;38.4;;;;;;;
2019;agronomia;Universidade Federal de Lavras;MG;3;Federal;2;34.91;3;59.81;6;7.85;21;7.16;;;1;8;3;36.8;;;;;;;
2019;agronomia;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;4;Estadual;2;34.91;6;53.81;5;7.88;75;4.88;;;122;4.25;3;36.8;;;;;;;
2019;agronomia;Universidade Federal de Santa Maria;RS;5;Federal;5;31.64;5;56.85;13;7.63;10;7.62;;;1;8;5;33.6;;;;;;;
2019;agronomia;Universidade Estadual de Londrina;PR;6;Estadual;5;31.64;7;53.38;23;7.32;9;7.66;;;1;8;7;30.4;;;;;;;
2019;agronomia;Universidade Federal do Paraná;PR;7;Federal;5;31.64;8;53.29;22;7.35;12;7.54;;;1;8;7;30.4;;;;;;;
2019;agronomia;Universidade Federal de Minas Gerais;MG;8;Federal;5;31.64;12;51.79;38;6.86;36;6.53;;;1;8;7;30.4;;;;;;;
2019;agronomia;Universidade Estadual de Maringá;PR;9;Estadual;5;31.64;13;51.52;63;6.09;24;7.03;;;1;8;7;30.4;;;;;;;
2019;agronomia;Universidade Federal de Goiás;GO;10;Federal;5;31.64;17;39.31;37;6.89;29;6.82;;;1;8;15;17.6;;;;;;;
2019;agronomia;Universidade Federal de Uberlândia;MG;11;Federal;5;31.64;19;38.28;35;6.95;55;5.73;;;1;8;15;17.6;;;;;;;
2019;agronomia;Universidade Federal do Rio Grande do Sul;RS;12;Federal;24;10.91;4;57.08;11;7.69;6;7.79;;;1;8;5;33.6;;;;;;;
2019;agronomia;Universidade Federal Rural do Rio de Janeiro;RJ;13;Federal;24;10.91;14;51.04;24;7.29;64;5.35;;;1;8;7;30.4;;;;;;;
2019;agronomia;Faculdades Associadas de Uberaba;MG;14;Privada;5;31.64;25;23.25;201-250;1.82;120;2.99;;;201-250;0.84;15;17.6;;;;;;;
2019;agronomia;Universidade Federal de São Carlos;SP;15;Federal;5;31.64;33;21.56;9;7.75;53;5.81;;;1;8;;;;;;;;;
2019;agronomia;Universidade Tecnológica Federal do Paraná;PR;16;Federal;;;9;52.78;51;6.46;3;7.92;;;1;8;7;30.4;;;;;;;
2019;agronomia;Universidade Federal de Pelotas;RS;17;Federal;;;10;52.75;15;7.57;30;6.78;;;1;8;7;30.4;;;;;;;
2019;agronomia;Universidade Federal de Santa Catarina;SC;18;Federal;;;11;52.11;26;7.23;37;6.48;;;1;8;7;30.4;;;;;;;
2019;agronomia;Universidade Federal de Mato Grosso;MT;19;Federal;5;31.64;46;19.15;53;6.39;78;4.76;;;1;8;;;;;;;;;
2019;agronomia;Universidade José do Rosário Velano;MG;20;Privada;5;31.64;51;17.93;20;7.41;34;6.61;;;133;3.91;;;;;;;;;
2019;agronomia;Universidade do Estado de Mato Grosso;MT;21;Estadual;5;31.64;73;16.07;98;5;118;3.07;;;1;8;;;;;;;;;
2019;agronomia;Fundação Universidade Federal do Tocantins;TO;22;Federal;5;31.64;78;15.91;25;7.26;96;4;;;109;4.65;;;;;;;;;
2019;agronomia;Universidade Federal de Mato Grosso do Sul;MS;23;Federal;5;31.64;94;14.29;46;6.61;103;3.71;;;131;3.97;;;;;;;;;
2019;agronomia;Universidade do Estado da Bahia;BA;24;Estadual;5;31.64;103;13.33;109;4.66;175;0.67;;;1;8;;;;;;;;;
2019;agronomia;Centro Universitário Moura Lacerda;SP;25;Privada;5;31.64;114;12.55;67;5.96;66;5.26;;;201-250;1.33;;;;;;;;;
2019;agronomia;Pontifícia Universidade Católica do Paraná;PR;26;Privada;5;31.64;133;10.51;113;4.54;106;3.58;;;182;2.39;;;;;;;;;
2019;agronomia;Universidade de Cuiabá;MT;27;Privada;5;31.64;156;9.11;139;3.74;123;2.86;;;178;2.51;;;;;;;;;
2019;agronomia;Centro Universitário Integrado de Campo Mourão;PR;28;Privada;5;31.64;168;8.35;149;3.43;91;4.21;;;201-250;0.71;;;;;;;;;
2019;agronomia;Universidade Federal do Ceará;CE;29;Federal;;;15;39.48;18;7.48;39;6.4;;;1;8;15;17.6;;;;;;;
2019;agronomia;Universidade de Brasília;DF;30;Federal;;;16;39.43;17;7.51;41;6.32;;;1;8;15;17.6;;;;;;;
