ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2019;arquitetura-e-urbanismo;Universidade de São Paulo;SP;1;Estadual;1;36;1;63.85;1;8;6;7.85;;;1;8;1;40;;;;;;;
2019;arquitetura-e-urbanismo;Universidade Federal de Minas Gerais;MG;2;Federal;1;36;2;62.16;13;7.79;9;7.75;;;1;8;2;38.62;;;;;;;
2019;arquitetura-e-urbanismo;Universidade Federal do Rio de Janeiro;RJ;3;Federal;4;34.88;3;60.93;11;7.82;50;6.49;;;1;8;2;38.62;;;;;;;
2019;arquitetura-e-urbanismo;Universidade Federal do Rio Grande do Sul;RS;4;Federal;6;34.13;5;59.49;15;7.75;5;7.88;;;1;8;4;35.86;;;;;;;
2019;arquitetura-e-urbanismo;Universidade de Brasília;DF;5;Federal;6;34.13;6;58.68;17;7.72;30;7.1;;;1;8;4;35.86;;;;;;;
2019;arquitetura-e-urbanismo;Universidade Estadual de Campinas;SP;6;Estadual;15;30.75;4;59.73;5;7.93;3;7.94;;;1;8;4;35.86;;;;;;;
2019;arquitetura-e-urbanismo;Universidade Presbiteriana Mackenzie;SP;7;Privada;1;36;9;53.08;43;7.26;23;7.32;;;251-300;2.64;4;35.86;;;;;;;
2019;arquitetura-e-urbanismo;Universidade Federal do Paraná;PR;8;Federal;6;34.13;7;54.21;9;7.86;1;8;;;1;8;8;30.35;;;;;;;
2019;arquitetura-e-urbanismo;Universidade Federal de Santa Catarina;SC;9;Federal;15;30.75;8;54.07;12;7.81;4;7.91;;;1;8;8;30.35;;;;;;;
2019;arquitetura-e-urbanismo;Universidade Federal da Bahia;BA;10;Federal;6;34.13;17;47.31;91;6.4;43;6.7;;;1;8;11;26.21;;;;;;;
2019;arquitetura-e-urbanismo;Universidade Federal de Pernambuco;PE;11;Federal;15;30.75;12;49.17;28;7.52;19;7.44;;;1;8;11;26.21;;;;;;;
2019;arquitetura-e-urbanismo;Universidade Estadual de Londrina;PR;12;Estadual;15;30.75;15;48.58;25;7.57;40;6.8;;;1;8;11;26.21;;;;;;;
2019;arquitetura-e-urbanismo;Centro Universitário Belas Artes de São Paulo;SP;13;Privada;6;34.13;19;42.45;159;5.2;96;5.07;;;301-350;1.83;8;30.35;;;;;;;
2019;arquitetura-e-urbanismo;Pontifícia Universidade Católica de Minas Gerais;MG;14;Privada;4;34.88;22;41.11;104;6.17;79;5.59;;;251-300;3.14;11;26.21;;;;;;;
2019;arquitetura-e-urbanismo;Pontifícia Universidade Católica do Rio Grande do Sul;RS;15;Privada;6;34.13;21;41.54;100;6.24;52;6.43;;;251-300;2.66;11;26.21;;;;;;;
2019;arquitetura-e-urbanismo;Pontifícia Universidade Católica do Paraná;PR;16;Privada;6;34.13;27;39.66;151;5.34;72;5.81;;;301-350;2.3;11;26.21;;;;;;;
2019;arquitetura-e-urbanismo;Universidade do Vale do Rio dos Sinos;RS;17;Privada;15;30.75;18;42.7;101;6.23;127;4.11;;;104;6.15;11;26.21;;;;;;;
2019;arquitetura-e-urbanismo;Universidade Federal do Rio Grande do Norte;RN;18;Federal;37;22.5;10;49.59;20;7.66;10;7.72;;;1;8;11;26.21;;;;;;;
2019;arquitetura-e-urbanismo;Universidade Federal Fluminense;RJ;19;Federal;37;22.5;11;49.31;10;7.84;25;7.26;;;1;8;11;26.21;;;;;;;
2019;arquitetura-e-urbanismo;Centro Universitário Ritter dos Reis;RS;20;Privada;15;30.75;28;37.46;130;5.71;107;4.73;;;401-500;0.81;11;26.21;;;;;;;
2019;arquitetura-e-urbanismo;Faculdade de Artes Plásticas da Fundação Armando Alvares Penteado;SP;21;Privada;15;30.75;29;36.8;107;6.12;116;4.45;;;401-500;0.02;11;26.21;;;;;;;
2019;arquitetura-e-urbanismo;Universidade do Vale do Itajaí;SC;22;Privada;37;22.5;20;42.13;201-250;4.08;64;6.05;;;124;5.79;11;26.21;;;;;;;
2019;arquitetura-e-urbanismo;Pontifícia Universidade Católica de Campinas;SP;23;Privada;37;22.5;23;40.79;72;6.74;53;6.39;;;351-400;1.45;11;26.21;;;;;;;
