ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2023;artes-plasticas-e-visuais;Universidade de São Paulo;SP;1;Estadual;1;36;1;63.43;5;7.62;3;7.81;;;1;8;1;40;;;;;;;
2023;artes-plasticas-e-visuais;Universidade Estadual de Campinas;SP;2;Estadual;2;35.23;3;63.14;10;7.14;1;8;;;1;8;1;40;;;;;;;
2023;artes-plasticas-e-visuais;Universidade Federal de Minas Gerais;MG;3;Federal;2;35.23;4;62.19;16;6.57;5;7.62;;;1;8;1;40;;;;;;;
2023;artes-plasticas-e-visuais;Universidade Federal do Rio de Janeiro;RJ;4;Federal;2;35.23;6;59.91;30;5.24;15;6.67;;;1;8;1;40;;;;;;;
2023;artes-plasticas-e-visuais;Universidade Federal do Rio Grande do Sul;RS;5;Federal;8;30.64;1;63.43;6;7.52;2;7.91;;;1;8;1;40;;;;;;;
2023;artes-plasticas-e-visuais;Universidade Federal de Goiás;GO;6;Federal;8;30.64;5;61.81;11;7.05;14;6.76;;;1;8;1;40;;;;;;;
2023;artes-plasticas-e-visuais;Universidade do Estado do Rio de Janeiro;RJ;7;Estadual;8;30.64;7;56.06;12;6.95;16;6.57;;;57;2.54;1;40;;;;;;;
2023;artes-plasticas-e-visuais;Universidade Federal da Bahia;BA;8;Federal;2;35.23;11;45.36;32;5.05;11;7.05;;;1;8;8;25.26;;;;;;;
2023;artes-plasticas-e-visuais;Universidade Federal do Paraná;PR;9;Federal;8;30.64;9;46.4;7;7.43;25;5.71;;;1;8;8;25.26;;;;;;;
2023;artes-plasticas-e-visuais;Universidade de Brasília;DF;10;Federal;8;30.64;10;45.84;15;6.67;23;5.91;;;1;8;8;25.26;;;;;;;
2023;artes-plasticas-e-visuais;Universidade do Estado de Minas Gerais;MG;11;Estadual;8;30.64;12;39.55;78;0.67;26;5.62;;;1;8;8;25.26;;;;;;;
2023;artes-plasticas-e-visuais;Centro Universitário Belas Artes de São Paulo;SP;12;Privada;2;35.23;15;34.75;37;4.57;59;2.48;;;58;2.44;8;25.26;;;;;;;
2023;artes-plasticas-e-visuais;Centro Universitário Armando Alvares Penteado;SP;13;Privada;8;30.64;13;38.12;31;5.14;6;7.52;;;81;0.2;8;25.26;;;;;;;
2023;artes-plasticas-e-visuais;Fundação Universidade do Estado de Santa Catarina;SC;14;Estadual;8;30.64;16;34.71;64;2;13;6.86;;;77;0.59;8;25.26;;;;;;;
2023;artes-plasticas-e-visuais;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;15;Estadual;2;35.23;20;23.62;2;7.91;4;7.71;;;1;8;;;;;;;;;
2023;artes-plasticas-e-visuais;Universidade Federal do Rio Grande do Norte;RN;16;Federal;8;30.64;21;23.04;4;7.71;8;7.33;;;1;8;;;;;;;;;
2023;artes-plasticas-e-visuais;Universidade Federal da Paraíba;PB;17;Federal;8;30.64;23;22.1;3;7.81;19;6.29;;;1;8;;;;;;;;;
2023;artes-plasticas-e-visuais;Universidade Federal de Mato Grosso do Sul;MS;18;Federal;8;30.64;24;21.43;19;6.29;10;7.14;;;1;8;;;;;;;;;
2023;artes-plasticas-e-visuais;Universidade Estadual de Ponta Grossa;PR;19;Estadual;8;30.64;25;20.86;17;6.48;18;6.38;;;1;8;;;;;;;;;
2023;artes-plasticas-e-visuais;Universidade Federal do Espírito Santo;ES;20;Federal;8;30.64;26;20.1;21;6.1;22;6;;;1;8;;;;;;;;;
2023;artes-plasticas-e-visuais;Universidade Estadual de Londrina;PR;21;Estadual;8;30.64;32;18.57;25;5.71;34;4.86;;;1;8;;;;;;;;;
2023;artes-plasticas-e-visuais;Universidade Federal de Pernambuco;PE;22;Federal;8;30.64;33;18.48;24;5.81;36;4.67;;;1;8;;;;;;;;;
2023;artes-plasticas-e-visuais;Fundação Universidade Federal do Vale do São Francisco;PE;23;Federal;8;30.64;34;18.28;27;5.52;35;4.76;;;1;8;;;;;;;;;
2023;artes-plasticas-e-visuais;Universidade Federal do Maranhão;MA;24;Federal;8;30.64;39;16.76;35;4.76;43;4;;;1;8;;;;;;;;;
2023;artes-plasticas-e-visuais;Universidade Federal de Juiz de Fora;MG;25;Federal;;;8;47.36;13;6.86;9;7.24;;;1;8;8;25.26;;;;;;;
2023;artes-plasticas-e-visuais;Universidade do Oeste Paulista;SP;26;Privada;8;30.64;40;16;27;5.52;59;2.48;;;1;8;;;;;;;;;
2023;artes-plasticas-e-visuais;Universidade Federal do Piauí;PI;27;Federal;8;30.64;41;15.53;49;3.43;42;4.1;;;1;8;;;;;;;;;
2023;artes-plasticas-e-visuais;Centro Universitário Santa Cecília;SP;28;Privada;8;30.64;43;14.96;38;4.48;59;2.48;;;1;8;;;;;;;;;
2023;artes-plasticas-e-visuais;Universidade Federal do Pará;PA;29;Federal;8;30.64;47;14.29;22;6;82;0.29;;;1;8;;;;;;;;;
2023;artes-plasticas-e-visuais;Pontifícia Universidade Católica de Campinas;SP;30;Privada;34;10.72;18;33.94;42;4.1;40;4.29;;;80;0.29;8;25.26;;;;;;;
2023;artes-plasticas-e-visuais;Centro Universitário das Faculdades Integradas de Ourinhos;SP;31;Privada;34;10.72;19;32.65;57;2.67;59;2.48;;;60;2.24;8;25.26;;;;;;;
