ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2019;biologia;Universidade de São Paulo;SP;1;Estadual;1;36;1;62.92;1;8;44;6.92;;;1;8;1;40;;;;;;;
2019;biologia;Universidade Estadual de Campinas;SP;2;Estadual;2;35.7;2;61.72;18;7.64;11;7.75;;;1;8;2;38.33;;;;;;;
2019;biologia;Universidade Federal do Rio de Janeiro;RJ;3;Federal;2;35.7;4;58.58;10;7.81;10;7.77;;;1;8;4;35;;;;;;;
2019;biologia;Universidade Federal de Minas Gerais;MG;4;Federal;6;34.51;3;58.68;9;7.83;7;7.85;;;1;8;4;35;;;;;;;
2019;biologia;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;5;Estadual;2;35.7;5;55.73;8;7.85;44;6.92;;;175;4.29;3;36.67;;;;;;;
2019;biologia;Universidade Federal de São Carlos;SP;6;Federal;11;33.03;7;54.72;13;7.75;29;7.3;;;1;8;6;31.67;;;;;;;
2019;biologia;Universidade de Brasília;DF;7;Federal;11;33.03;9;51.62;25;7.49;9;7.8;;;1;8;8;28.33;;;;;;;
2019;biologia;Universidade Federal do Rio Grande do Sul;RS;8;Federal;22;29.75;6;54.87;15;7.7;21;7.5;;;1;8;6;31.67;;;;;;;
2019;biologia;Universidade Federal da Bahia;BA;9;Federal;6;34.51;17;49.57;84;6.24;41;7;;;1;8;8;28.33;;;;;;;
2019;biologia;Universidade do Estado do Rio de Janeiro;RJ;10;Estadual;2;35.7;21;46.53;31;7.36;73;6.19;;;158;4.65;8;28.33;;;;;;;
