ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2019;biomedicina;Universidade de São Paulo;SP;1;Estadual;1;36;1;61.12;1;8;72;5.12;;;1;8;1;40;;;;;;;
2019;biomedicina;Universidade Federal de Minas Gerais;MG;2;Federal;2;35.29;3;58.63;7;7.85;1;8;;;1;8;4;34.78;;;;;;;
2019;biomedicina;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;3;Estadual;2;35.29;5;55.96;2;7.97;72;5.12;;;65;6.35;3;36.52;;;;;;;
2019;biomedicina;Universidade Federal do Rio de Janeiro;RJ;4;Federal;5;33.18;6;55.35;5;7.9;83;4.67;;;1;8;4;34.78;;;;;;;
2019;biomedicina;Universidade Federal de São Paulo;SP;5;Federal;14;26.82;2;60.91;3;7.95;33;6.7;;;1;8;2;38.26;;;;;;;
2019;biomedicina;Universidade Federal de Pernambuco;PE;6;Federal;5;33.18;10;52.67;17;7.59;13;7.51;;;1;8;7;29.57;;;;;;;
2019;biomedicina;Universidade Federal do Rio Grande do Sul;RS;7;Federal;14;26.82;4;58.37;6;7.87;8;7.72;;;1;8;4;34.78;;;;;;;
2019;biomedicina;Universidade Paulista;SP;8;Privada;2;35.29;14;45.68;146;4.27;38;6.5;;;104;5.34;7;29.57;;;;;;;
2019;biomedicina;Universidade Estadual de Santa Cruz;BA;9;Estadual;14;26.82;8;52.8;23;7.43;6;7.8;;;1;8;7;29.57;;;;;;;
2019;biomedicina;Universidade Estadual de Londrina;PR;10;Estadual;14;26.82;9;52.77;10;7.77;15;7.43;;;1;8;7;29.57;;;;;;;
2019;biomedicina;Universidade de Franca;SP;11;Privada;5;33.18;13;46.37;31;7.23;71;5.16;;;140;4.41;7;29.57;;;;;;;
2019;biomedicina;Universidade Federal de Uberlândia;MG;12;Federal;14;26.82;11;51.81;8;7.82;40;6.42;;;1;8;7;29.57;;;;;;;
2019;biomedicina;Universidade do Oeste Paulista;SP;13;Privada;14;26.82;12;50.14;32;7.2;11;7.59;;;87;5.78;7;29.57;;;;;;;
2019;biomedicina;Universidade Federal do Pará;PA;14;Federal;5;33.18;18;34.42;15;7.64;78;4.87;;;1;8;16;13.91;;;;;;;
2019;biomedicina;Centro Universitário Barão de Mauá;SP;15;Privada;14;26.82;15;39.27;201-250;1.6;142;2.27;;;85;5.83;7;29.57;;;;;;;
2019;biomedicina;Universidade Federal de Goiás;GO;16;Federal;14;26.82;17;34.45;33;7.18;66;5.36;;;1;8;16;13.91;;;;;;;
2019;biomedicina;Universidade Cesumar;PR;17;Privada;14;26.82;19;33.24;58;6.53;17;7.35;;;100;5.45;16;13.91;;;;;;;
2019;biomedicina;Universidade Nove de Julho;SP;18;Privada;14;26.82;20;29.56;72;6.17;77;4.91;;;134;4.57;16;13.91;;;;;;;
2019;biomedicina;Universidade Federal Fluminense;RJ;19;Federal;5;33.18;29;22.62;20;7.51;23;7.11;;;1;8;;;;;;;;;
2019;biomedicina;Universidade Federal do Triângulo Mineiro;MG;20;Federal;;;7;52.86;16;7.61;9;7.68;;;1;8;7;29.57;;;;;;;
2019;biomedicina;Universidade Feevale;RS;21;Privada;5;33.18;33;19.5;60;6.48;28;6.9;;;74;6.12;;;;;;;;;
2019;biomedicina;Universidade Estadual de Maringá;PR;22;Estadual;14;26.82;25;23.25;24;7.41;5;7.84;;;1;8;;;;;;;;;
2019;biomedicina;Universidade Federal do Rio Grande do Norte;RN;23;Federal;14;26.82;26;23.11;18;7.56;12;7.55;;;1;8;;;;;;;;;
2019;biomedicina;Universidade Federal do Paraná;PR;24;Federal;14;26.82;28;22.78;4;7.92;29;6.86;;;1;8;;;;;;;;;
2019;biomedicina;Centro Universitário Nobre de Feira de Santana;BA;25;Privada;14;26.82;31;20.54;19;7.54;75;5;;;1;8;;;;;;;;;
2019;biomedicina;Universidade Federal do Piauí;PI;26;Federal;14;26.82;34;19.14;59;6.51;84;4.63;;;1;8;;;;;;;;;
2019;biomedicina;Universidade do Vale do Paraíba;SP;27;Privada;5;33.18;118;12.26;52;6.69;99;4.02;;;251-300;1.55;;;;;;;;;
2019;biomedicina;Universidade do Vale do Rio dos Sinos;RS;28;Privada;14;26.82;38;18.53;22;7.46;46;6.17;;;121;4.9;;;;;;;;;
2019;biomedicina;Centro Universitário Una;MG;29;Privada;14;26.82;40;18.13;73;6.15;30;6.82;;;111;5.16;;;;;;;;;
2019;biomedicina;Escola Bahiana de Medicina e Saúde Pública;BA;30;Privada;14;26.82;43;17.68;177;3.47;45;6.21;;;1;8;;;;;;;;;
2019;biomedicina;Centro Universitário Ingá;PR;31;Privada;14;26.82;50;16.85;121;4.91;58;5.69;;;69;6.25;;;;;;;;;
2019;biomedicina;Universidade de Marília;SP;32;Privada;14;26.82;52;16.59;132;4.63;56;5.77;;;71;6.19;;;;;;;;;
2019;biomedicina;Universidade Católica de Brasília;DF;33;Privada;14;26.82;54;16.43;195;3.01;20;7.23;;;71;6.19;;;;;;;;;
2019;biomedicina;Centro Universitário São Camilo;SP;34;Privada;14;26.82;56;16.31;38;7.05;24;7.07;;;201-250;2.19;;;;;;;;;
2019;biomedicina;Pontifícia Universidade Católica de Goiás;GO;35;Privada;5;33.18;166;9.82;185;3.27;85;4.59;;;201-250;1.96;;;;;;;;;
2019;biomedicina;Universidade Estácio de Sá;RJ;36;Privada;5;33.18;172;9.6;107;5.27;141;2.32;;;201-250;2.01;;;;;;;;;
2019;biomedicina;Pontifícia Universidade Católica de Minas Gerais;MG;37;Privada;14;26.82;76;14.46;78;6.02;59;5.65;;;201-250;2.79;;;;;;;;;
