ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2019;ciencias-contabeis;Universidade Federal de Minas Gerais;MG;1;Federal;3;35.69;1;62.83;3;7.98;8;7.93;;;1;8;2;38.92;;;;;;;
2019;ciencias-contabeis;Universidade Federal do Rio de Janeiro;RJ;2;Federal;6;35.21;2;62.18;19;7.86;61;7.4;;;1;8;2;38.92;;;;;;;
2019;ciencias-contabeis;Pontifícia Universidade Católica de São Paulo;SP;3;Privada;6;35.21;3;59.98;33;7.75;71;7.3;;;251-300;6.01;2;38.92;;;;;;;
2019;ciencias-contabeis;Universidade Federal do Rio Grande do Sul;RS;4;Federal;6;35.21;5;59.4;15;7.89;18;7.83;;;1;8;5;35.68;;;;;;;
2019;ciencias-contabeis;Universidade Federal de Santa Catarina;SC;5;Federal;10;34.59;6;57.9;20;7.85;163;6.37;;;1;8;5;35.68;;;;;;;
2019;ciencias-contabeis;Universidade de São Paulo;SP;6;Estadual;1;36;7;56;1;8;;;;;1;8;1;40;;;;;;;
2019;ciencias-contabeis;Universidade de Brasília;DF;7;Federal;28;31.76;4;59.47;10;7.93;15;7.86;;;1;8;5;35.68;;;;;;;
2019;ciencias-contabeis;Universidade Federal do Paraná;PR;8;Federal;10;34.59;8;54.75;41;7.69;30;7.71;;;1;8;9;31.35;;;;;;;
2019;ciencias-contabeis;Universidade Federal de Pernambuco;PE;9;Federal;10;34.59;12;52.57;34;7.74;37;7.64;;;1;8;11;29.19;;;;;;;
2019;ciencias-contabeis;Universidade Federal do Ceará;CE;10;Federal;10;34.59;13;52.3;16;7.88;78;7.23;;;1;8;11;29.19;;;;;;;
2019;ciencias-contabeis;Universidade Federal Fluminense;RJ;11;Federal;10;34.59;15;51.81;49;7.62;100;7;;;1;8;11;29.19;;;;;;;
2019;ciencias-contabeis;Universidade Federal da Bahia;BA;12;Federal;10;34.59;16;51.79;83;7.36;77;7.24;;;1;8;11;29.19;;;;;;;
2019;ciencias-contabeis;Universidade Federal de Goiás;GO;13;Federal;10;34.59;17;51.7;187;6.54;4;7.97;;;1;8;11;29.19;;;;;;;
2019;ciencias-contabeis;Universidade do Estado do Rio de Janeiro;RJ;14;Estadual;10;34.59;18;51.67;12;7.91;143;6.57;;;1;8;11;29.19;;;;;;;
2019;ciencias-contabeis;Centro Universitário Álvares Penteado;SP;15;Privada;28;31.76;10;52.63;51;7.61;17;7.84;;;801-1000;1.5;5;35.68;;;;;;;
2019;ciencias-contabeis;Universidade Presbiteriana Mackenzie;SP;16;Privada;3;35.69;26;48.12;43;7.67;177;6.23;;;601-700;2.87;9;31.35;;;;;;;
2019;ciencias-contabeis;Universidade do Vale do Rio dos Sinos;RS;17;Privada;10;34.59;23;49.14;37;7.72;171;6.29;;;251-300;5.94;11;29.19;;;;;;;
2019;ciencias-contabeis;Universidade Federal do Rio Grande do Norte;RN;18;Federal;28;31.76;14;51.91;113;7.12;41;7.6;;;1;8;11;29.19;;;;;;;
2019;ciencias-contabeis;Universidade Federal do Pará;PA;19;Federal;10;34.59;24;48.91;251-300;5.87;201-250;5.85;;;1;8;11;29.19;;;;;;;
2019;ciencias-contabeis;Universidade Estadual de Maringá;PR;20;Estadual;28;31.76;19;51.65;92;7.29;84;7.17;;;1;8;11;29.19;;;;;;;
2019;ciencias-contabeis;Universidade Federal de Mato Grosso;MT;21;Federal;28;31.76;21;49.98;301-350;5.54;76;7.25;;;1;8;11;29.19;;;;;;;
2019;ciencias-contabeis;Universidade Paulista;SP;22;Privada;1;36;34;44.4;401-500;4.85;301-350;4.61;;;251-300;5.75;11;29.19;;;;;;;
2019;ciencias-contabeis;Universidade Nove de Julho;SP;23;Privada;28;31.76;27;47.31;110;7.15;201-250;5.92;;;351-400;5.05;11;29.19;;;;;;;
2019;ciencias-contabeis;Pontifícia Universidade Católica do Paraná;PR;24;Privada;10;34.59;33;44.43;401-500;4.82;51;7.5;;;601-700;2.92;11;29.19;;;;;;;
2019;ciencias-contabeis;Universidade Federal da Paraíba;PB;25;Federal;58;27.04;20;51.55;49;7.62;126;6.74;;;1;8;11;29.19;;;;;;;
2019;ciencias-contabeis;Pontifícia Universidade Católica de Minas Gerais;MG;26;Privada;3;35.69;36;41.34;351-400;5.22;401-500;3.42;;;501-600;3.51;11;29.19;;;;;;;
2019;ciencias-contabeis;Faculdade Fucape;ES;27;Privada;58;27.04;22;49.72;6;7.96;44;7.57;;;351-400;5;11;29.19;;;;;;;
2019;ciencias-contabeis;Universidade de Caxias do Sul;RS;28;Privada;28;31.76;31;44.72;88;7.32;301-350;4.96;;;601-700;3.25;11;29.19;;;;;;;
2019;ciencias-contabeis;Universidade do Estado da Bahia;BA;29;Estadual;28;31.76;32;44.71;401-500;4.2;301-350;4.63;;;167;6.69;11;29.19;;;;;;;
2019;ciencias-contabeis;Pontifícia Universidade Católica de Campinas;SP;30;Privada;10;34.59;37;40.37;251-300;5.7;251-300;5.31;;;801-1000;0.17;11;29.19;;;;;;;
2019;ciencias-contabeis;Universidade do Vale do Itajaí;SC;31;Privada;58;27.04;28;45.26;501-600;3.98;103;6.97;;;351-400;5.12;11;29.19;;;;;;;
2019;ciencias-contabeis;Centro Universitário Ibmec;RJ;32;Privada;58;27.04;29;44.96;47;7.64;14;7.87;;;801-1000;0.26;11;29.19;;;;;;;
2019;ciencias-contabeis;Universidade Regional de Blumenau;SC;33;Municipal;58;27.04;35;43.94;126;7.02;104;6.96;;;801-1000;0.77;11;29.19;;;;;;;
2019;ciencias-contabeis;Universidade Federal de Santa Maria;RS;34;Federal;145;13.36;11;52.59;46;7.65;26;7.75;;;1;8;11;29.19;;;;;;;
2019;ciencias-contabeis;Centro Universitário Internacional;PR;35;Privada;145;13.36;30;44.73;201-250;6.09;301-350;4.64;;;401-500;4.81;11;29.19;;;;;;;
2019;ciencias-contabeis;Universidade Estadual de Londrina;PR;36;Estadual;28;31.76;41;23.25;81;7.37;13;7.88;;;1;8;;;;;;;;;
2019;ciencias-contabeis;Universidade Federal do Espírito Santo;ES;37;Federal;28;31.76;51;22.01;61;7.53;152;6.48;;;1;8;;;;;;;;;
2019;ciencias-contabeis;Faculdade Fipecafi;SP;38;Privada;;;9;52.96;30;7.77;1;8;;;1;8;11;29.19;;;;;;;
2019;ciencias-contabeis;Universidade Cesumar;PR;39;Privada;28;31.76;69;20.42;93;7.28;118;6.82;;;201-250;6.32;;;;;;;;;
