ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2023;ciencias-sociais;Universidade de São Paulo;SP;1;Estadual;1;36;2;60.94;1;8;40;4.94;;;1;8;1;40;;;;;;;
2023;ciencias-sociais;Universidade Estadual de Campinas;SP;2;Estadual;2;35.41;3;60.91;19;6.59;7;7.53;;;1;8;2;38.79;;;;;;;
2023;ciencias-sociais;Universidade Federal de Minas Gerais;MG;3;Federal;7;32.46;1;61.46;13;7.06;6;7.61;;;1;8;2;38.79;;;;;;;
2023;ciencias-sociais;Universidade Federal Fluminense;RJ;4;Federal;7;32.46;4;59.03;24;6.2;26;6.04;;;1;8;2;38.79;;;;;;;
2023;ciencias-sociais;Universidade Federal do Rio de Janeiro;RJ;5;Federal;7;32.46;5;57.93;41;4.86;23;6.28;;;1;8;2;38.79;;;;;;;
2023;ciencias-sociais;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;6;Estadual;2;35.41;10;52.73;12;7.14;41;4.86;;;1;8;7;32.73;;;;;;;
2023;ciencias-sociais;Universidade do Estado do Rio de Janeiro;RJ;7;Estadual;2;35.41;12;52.34;26;6.04;32;5.57;;;1;8;7;32.73;;;;;;;
2023;ciencias-sociais;Universidade Federal de Santa Catarina;SC;8;Federal;7;32.46;7;53.68;23;6.28;18;6.67;;;1;8;7;32.73;;;;;;;
2023;ciencias-sociais;Universidade Federal do Rio Grande do Sul;RS;9;Federal;7;32.46;8;53.28;34;5.41;12;7.14;;;1;8;7;32.73;;;;;;;
2023;ciencias-sociais;Universidade Federal de Pernambuco;PE;10;Federal;7;32.46;14;50.85;40;4.94;37;5.18;;;1;8;7;32.73;;;;;;;
2023;ciencias-sociais;Universidade Estadual de Londrina;PR;11;Estadual;7;32.46;15;50.84;48;4.31;29;5.8;;;1;8;7;32.73;;;;;;;
2023;ciencias-sociais;Pontifícia Universidade Católica do Rio de Janeiro;RJ;12;Privada;7;32.46;19;49.52;1;8;4;7.77;;;90;1.02;7;32.73;;;;;;;
2023;ciencias-sociais;Pontifícia Universidade Católica do Rio Grande do Sul;RS;13;Privada;7;32.46;23;47.86;15;6.9;10;7.29;;;91;0.94;7;32.73;;;;;;;
2023;ciencias-sociais;Pontifícia Universidade Católica de São Paulo;SP;14;Privada;7;32.46;24;47.81;65;2.98;42;4.78;;;87;1.26;2;38.79;;;;;;;
2023;ciencias-sociais;Universidade Federal da Bahia;BA;15;Federal;2;35.41;31;44.03;62;3.22;20;6.51;;;83;1.57;7;32.73;;;;;;;
2023;ciencias-sociais;Pontifícia Universidade Católica de Minas Gerais;MG;16;Privada;7;32.46;26;46.21;29;5.8;22;6.35;;;86;1.33;7;32.73;;;;;;;
2023;ciencias-sociais;Universidade do Vale do Rio dos Sinos;RS;17;Privada;7;32.46;27;45.51;28;5.88;33;5.49;;;85;1.41;7;32.73;;;;;;;
2023;ciencias-sociais;Universidade Federal do Paraná;PR;18;Federal;24;22.43;6;55.32;1;8;19;6.59;;;1;8;7;32.73;;;;;;;
2023;ciencias-sociais;Universidade do Estado da Bahia;BA;19;Estadual;7;32.46;28;45.28;71;2.51;77;2.04;;;1;8;7;32.73;;;;;;;
2023;ciencias-sociais;Escola de Ciências Sociais FGV Cpdoc;RJ;20;Privada;24;22.43;9;52.88;48;4.31;3;7.84;;;1;8;7;32.73;;;;;;;
2023;ciencias-sociais;Universidade Federal de Uberlândia;MG;21;Federal;24;22.43;11;52.42;46;4.47;11;7.22;;;1;8;7;32.73;;;;;;;
2023;ciencias-sociais;Universidade de Brasília;DF;22;Federal;24;22.43;13;51.87;43;4.71;21;6.43;;;1;8;7;32.73;;;;;;;
2023;ciencias-sociais;Universidade Federal de Juiz de Fora;MG;23;Federal;24;22.43;16;50.77;64;3.06;14;6.98;;;1;8;7;32.73;;;;;;;
2023;ciencias-sociais;Universidade Federal do Espírito Santo;ES;24;Federal;24;22.43;17;50.22;61;3.29;24;6.2;;;1;8;7;32.73;;;;;;;
2023;ciencias-sociais;Universidade Federal do Rio Grande do Norte;RN;25;Federal;24;22.43;18;50.07;44;4.63;43;4.71;;;1;8;7;32.73;;;;;;;
2023;ciencias-sociais;Universidade Federal da Paraíba;PB;26;Federal;24;22.43;20;49.43;47;4.39;48;4.31;;;1;8;7;32.73;;;;;;;
2023;ciencias-sociais;Fundação Universidade Federal do Vale do São Francisco;PE;27;Federal;24;22.43;21;48.5;52;4;55;3.77;;;1;8;7;32.73;;;;;;;
2023;ciencias-sociais;Pontifícia Universidade Católica do Paraná;PR;28;Privada;24;22.43;25;47.79;21;6.43;8;7.45;;;88;1.18;7;32.73;;;;;;;
2023;ciencias-sociais;Universidade Federal do Amazonas;AM;29;Federal;24;22.43;30;44.5;83;1.57;75;2.2;;;1;8;7;32.73;;;;;;;
2023;ciencias-sociais;Fundação Universidade Federal do Tocantins;TO;30;Federal;24;22.43;32;43.71;76;2.12;92;0.86;;;1;8;7;32.73;;;;;;;
2023;ciencias-sociais;Pontifícia Universidade Católica de Campinas;SP;31;Privada;24;22.43;33;41.51;70;2.59;28;5.88;;;99;0.31;7;32.73;;;;;;;
2023;ciencias-sociais;Universidade de Pernambuco;PE;32;Estadual;7;32.46;45;18.27;29;5.8;46;4.47;;;1;8;;;;;;;;;
2023;ciencias-sociais;Universidade Federal de Goiás;GO;33;Federal;7;32.46;51;17.1;54;3.84;36;5.26;;;1;8;;;;;;;;;
2023;ciencias-sociais;Universidade Estadual do Ceará;CE;34;Estadual;7;32.46;55;16;59;3.45;45;4.55;;;1;8;;;;;;;;;
2023;ciencias-sociais;Universidade da Integração Internacional da Lusofonia Afro-brasileira;CE;35;Federal;;;22;48.18;16;6.82;95;0.63;;;1;8;7;32.73;;;;;;;
2023;ciencias-sociais;Universidade Federal do Piauí;PI;36;Federal;7;32.46;73;12.94;92;0.86;51;4.08;;;1;8;;;;;;;;;
2023;ciencias-sociais;Universidade Federal de Viçosa;MG;37;Federal;24;22.43;36;22.9;1;8;15;6.9;;;1;8;;;;;;;;;
2023;ciencias-sociais;Universidade Federal do Estado do Rio de Janeiro;RJ;38;Federal;24;22.43;37;22.59;18;6.67;2;7.92;;;1;8;;;;;;;;;
2023;ciencias-sociais;Universidade Federal de Pelotas;RS;39;Federal;;;29;44.65;102;0.08;54;3.84;;;1;8;7;32.73;;;;;;;
2023;ciencias-sociais;Universidade Federal de São Paulo;SP;40;Federal;24;22.43;38;21.97;11;7.22;17;6.75;;;1;8;;;;;;;;;
2023;ciencias-sociais;Universidade Federal do Ceará;CE;41;Federal;2;35.41;93;8.79;56;3.69;57;3.61;;;84;1.49;;;;;;;;;
2023;ciencias-sociais;Universidade Federal de São Carlos;SP;42;Federal;24;22.43;39;20.87;17;6.75;25;6.12;;;1;8;;;;;;;;;
2023;ciencias-sociais;Universidade Estadual de Maringá;PR;43;Estadual;24;22.43;43;18.43;57;3.61;16;6.82;;;1;8;;;;;;;;;
2023;ciencias-sociais;Universidade Federal de Sergipe;SE;44;Federal;24;22.43;44;18.35;35;5.33;39;5.02;;;1;8;;;;;;;;;
2023;ciencias-sociais;Universidade Federal Rural do Rio de Janeiro;RJ;45;Federal;24;22.43;46;18.2;20;6.51;56;3.69;;;1;8;;;;;;;;;
2023;ciencias-sociais;Universidade Federal de Catalão;GO;46;Federal;24;22.43;49;17.41;21;6.43;65;2.98;;;1;8;;;;;;;;;
2023;ciencias-sociais;Universidade Federal Rural de Pernambuco;PE;47;Federal;24;22.43;52;16.86;29;5.8;64;3.06;;;1;8;;;;;;;;;
2023;ciencias-sociais;Universidade Federal de Alagoas;AL;48;Federal;24;22.43;56;15.92;38;5.1;67;2.82;;;1;8;;;;;;;;;
2023;ciencias-sociais;Universidade Federal de Alfenas;MG;49;Federal;24;22.43;58;15.3;51;4.08;62;3.22;;;1;8;;;;;;;;;
2023;ciencias-sociais;Universidade Federal de Mato Grosso do Sul;MS;50;Federal;24;22.43;59;15.06;33;5.49;83;1.57;;;1;8;;;;;;;;;
2023;ciencias-sociais;Universidade Estadual de Santa Cruz;BA;51;Estadual;24;22.43;63;14.51;63;3.14;60;3.37;;;1;8;;;;;;;;;
