ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2019;computacao;Universidade Estadual de Campinas;SP;1;Estadual;6;34.97;1;63.76;13;7.85;7;7.91;;;1;8;1;40;;;;;;;
2019;computacao;Universidade Federal de Minas Gerais;MG;2;Federal;3;35.59;2;60.92;10;7.89;2;7.99;;;1;8;3;37.04;;;;;;;
2019;computacao;Universidade Federal do Rio Grande do Sul;RS;3;Federal;6;34.97;3;60.87;12;7.87;4;7.96;;;1;8;3;37.04;;;;;;;
2019;computacao;Universidade Federal do Rio de Janeiro;RJ;4;Federal;6;34.97;4;57.71;8;7.92;20;7.72;;;1;8;5;34.07;;;;;;;
2019;computacao;Universidade Federal de Pernambuco;PE;5;Federal;6;34.97;5;57.43;30;7.65;21;7.71;;;1;8;5;34.07;;;;;;;
2019;computacao;Universidade de São Paulo;SP;6;Estadual;1;36;6;55.94;6;7.94;;;;;1;8;1;40;;;;;;;
2019;computacao;Pontifícia Universidade Católica do Rio de Janeiro;RJ;7;Privada;14;33.33;9;52.16;21;7.76;42;7.4;;;401-500;2.93;5;34.07;;;;;;;
2019;computacao;Universidade Federal de São Carlos;SP;8;Federal;36;28.8;7;53.29;11;7.88;16;7.78;;;1;8;8;29.63;;;;;;;
2019;computacao;Universidade Federal do Paraná;PR;9;Federal;14;33.33;11;48.59;42;7.5;8;7.9;;;1;8;11;25.19;;;;;;;
2019;computacao;Universidade Federal de Santa Catarina;SC;10;Federal;36;28.8;8;52.62;19;7.78;55;7.21;;;1;8;8;29.63;;;;;;;
2019;computacao;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;11;Estadual;14;33.33;14;45.52;7;7.93;67;7.04;;;201-250;5.36;11;25.19;;;;;;;
2019;computacao;Pontifícia Universidade Católica de Minas Gerais;MG;12;Privada;3;35.59;15;42.52;122;6.53;98;6.59;;;301-350;4.21;11;25.19;;;;;;;
2019;computacao;Universidade Federal de Campina Grande;PB;13;Federal;36;28.8;12;48.46;47;7.44;13;7.83;;;1;8;11;25.19;;;;;;;
2019;computacao;Universidade Tecnológica Federal do Paraná;PR;14;Federal;36;28.8;13;47.97;70;7.16;27;7.62;;;1;8;11;25.19;;;;;;;
2019;computacao;Pontifícia Universidade Católica do Rio Grande do Sul;RS;15;Privada;6;34.97;16;41.73;33;7.61;161;5.67;;;351-400;3.26;11;25.19;;;;;;;
2019;computacao;Universidade Federal do Ceará;CE;16;Federal;6;34.97;20;38.8;40;7.53;72;6.97;;;1;8;17;16.3;;;;;;;
2019;computacao;Universidade Federal da Bahia;BA;17;Federal;14;33.33;21;38.73;68;7.19;53;7.24;;;1;8;17;16.3;;;;;;;
2019;computacao;Instituto Tecnológico de Aeronáutica;SP;18;Federal;77;20.37;10;50.55;15;7.83;64;7.08;;;165;6.01;8;29.63;;;;;;;
