ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2019;comunicacao;Universidade Federal do Rio Grande do Sul;RS;1;Federal;4;34.84;4;59.84;9;7.79;16;7.48;;;1;8;4;36.57;;;;;;;
2019;comunicacao;Universidade Federal de Minas Gerais;MG;2;Federal;9;32.9;2;60.2;7;7.84;7;7.79;;;1;8;4;36.57;;;;;;;
2019;comunicacao;Universidade Federal de Santa Catarina;SC;3;Federal;9;32.9;5;59.74;27;7.31;5;7.86;;;1;8;4;36.57;;;;;;;
2019;comunicacao;Universidade de São Paulo;SP;4;Estadual;1;36;6;56.35;1;8;201-250;0.35;;;1;8;1;40;;;;;;;
2019;comunicacao;Faculdade Cásper Líbero;SP;5;Privada;1;36;9;53.66;51;6.68;9;7.72;;;251-300;0.4;2;38.86;;;;;;;
2019;comunicacao;Pontifícia Universidade Católica de São Paulo;SP;6;Privada;9;32.9;7;56.22;42;6.92;40;6.66;;;74;6.07;4;36.57;;;;;;;
2019;comunicacao;Pontifícia Universidade Católica do Rio Grande do Sul;RS;7;Privada;4;34.84;8;54;47;6.79;42;6.59;;;150;4.05;4;36.57;;;;;;;
2019;comunicacao;Universidade Federal do Rio de Janeiro;RJ;8;Federal;25;26.71;1;60.4;4;7.92;70;5.62;;;1;8;2;38.86;;;;;;;
2019;comunicacao;Universidade de Brasília;DF;9;Federal;25;26.71;3;60.04;12;7.71;8;7.76;;;1;8;4;36.57;;;;;;;
2019;comunicacao;Universidade Federal do Paraná;PR;10;Federal;9;32.9;10;52.14;16;7.6;2;7.97;;;1;8;11;28.57;;;;;;;
2019;comunicacao;Escola Superior de Propaganda e Marketing;SP;11;Privada;4;34.84;12;47.94;74;6.07;123;3.79;;;201-250;1.51;4;36.57;;;;;;;
2019;comunicacao;Universidade Presbiteriana Mackenzie;SP;12;Privada;1;36;15;43.09;37;7.05;81;5.24;;;201-250;2.23;11;28.57;;;;;;;
2019;comunicacao;Universidade Federal da Bahia;BA;13;Federal;25;26.71;11;51.96;24;7.39;1;8;;;1;8;11;28.57;;;;;;;
2019;comunicacao;Pontifícia Universidade Católica de Minas Gerais;MG;14;Privada;9;32.9;14;43.52;104;5.28;74;5.48;;;145;4.19;11;28.57;;;;;;;
2019;comunicacao;Universidade Federal do Ceará;CE;15;Federal;9;32.9;17;41.06;19;7.53;23;7.24;;;1;8;20;18.29;;;;;;;
