ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC
2019;design-e-artes-visuais;Universidade de São Paulo;SP;1;Estadual;3;35.22;1;63.33;1;8;10;7.33;;;1;8;1;40
2019;design-e-artes-visuais;Universidade Federal do Rio Grande do Sul;RS;2;Federal;3;35.22;2;61.83;4;7.87;4;7.78;;;1;8;3;38.18
2019;design-e-artes-visuais;Universidade Federal de Minas Gerais;MG;3;Federal;3;35.22;4;58.47;7;7.74;23;6.37;;;1;8;5;36.36
2019;design-e-artes-visuais;Universidade Federal do Rio de Janeiro;RJ;4;Federal;14;30.91;3;61.16;13;7.48;20;6.59;;;1;8;2;39.09
2019;design-e-artes-visuais;Escola Superior de Propaganda e Marketing;SP;5;Privada;3;35.22;11;49.05;67;5.16;50;4.37;;;155;1.34;3;38.18
2019;design-e-artes-visuais;Universidade de Brasília;DF;6;Federal;24;27;5;57.19;8;7.7;3;7.85;;;1;8;8;33.64
2019;design-e-artes-visuais;Universidade Federal de Santa Catarina;SC;7;Federal;24;27;7;56.17;6;7.79;18;6.74;;;1;8;8;33.64
2019;design-e-artes-visuais;Universidade Federal do Paraná;PR;8;Federal;14;30.91;10;49.26;29;6.8;12;7.19;;;1;8;15;27.27
2019;design-e-artes-visuais;Pontifícia Universidade Católica do Rio de Janeiro;RJ;9;Privada;14;30.91;12;48.89;38;6.41;48;4.52;;;149;1.6;5;36.36
2019;design-e-artes-visuais;Universidade Federal do Ceará;CE;10;Federal;3;35.22;16;42.67;32;6.67;1;8;;;1;8;23;20
2019;design-e-artes-visuais;Universidade Anhembi Morumbi;SP;11;Privada;3;35.22;17;42.39;41;6.28;;;;;129;2.47;8;33.64
2019;design-e-artes-visuais;Universidade Federal de Pernambuco;PE;12;Federal;14;30.91;14;46.51;21;7.14;17;6.82;;;1;8;18;24.55
2019;design-e-artes-visuais;Universidade Presbiteriana Mackenzie;SP;13;Privada;1;36;20;40.84;39;6.37;34;5.56;;;148;1.64;15;27.27
2019;design-e-artes-visuais;Universidade Estadual de Campinas;SP;14;Estadual;24;27;9;49.47;5;7.83;;;;;1;8;8;33.64
2019;design-e-artes-visuais;Universidade Estadual de Londrina;PR;15;Estadual;24;27;13;47.52;18;7.27;5;7.7;;;1;8;18;24.55
2019;design-e-artes-visuais;Centro Universitário Belas Artes de São Paulo;SP;16;Privada;1;36;26;38.29;96;3.91;;;;;169;0.74;8;33.64
2019;design-e-artes-visuais;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;17;Estadual;49;17.22;6;56.54;2;7.96;10;7.33;;;73;4.89;5;36.36
2019;design-e-artes-visuais;Universidade do Vale do Rio dos Sinos;RS;18;Privada;3;35.22;28;37.88;35;6.54;29;5.93;;;61;5.41;23;20
