ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2023;design;Universidade Federal do Rio Grande do Sul;RS;1;Federal;4;35.03;1;60.89;13;7.32;14;7.27;;;1;8;3;38.3;;;;;;;
2023;design;Universidade de São Paulo;SP;2;Estadual;4;35.03;2;59.61;1;8;79;3.61;;;1;8;1;40;;;;;;;
2023;design;Universidade Federal de Pernambuco;PE;3;Federal;4;35.03;4;58.85;32;6.24;31;6.31;;;1;8;3;38.3;;;;;;;
2023;design;Universidade Federal do Rio de Janeiro;RJ;4;Federal;16;31.14;3;59.18;33;6.18;24;6.7;;;1;8;3;38.3;;;;;;;
2023;design;Universidade Federal de Minas Gerais;MG;5;Federal;1;36;11;53.57;24;6.7;12;7.38;;;1;8;11;31.49;;;;;;;
2023;design;Escola Superior de Propaganda e Marketing;SP;6;Privada;4;35.03;13;51.6;63;4.48;6;7.72;;;120;1.1;3;38.3;;;;;;;
2023;design;Universidade Federal de Santa Catarina;SC;7;Federal;16;31.14;8;54.47;10;7.49;10;7.49;;;1;8;11;31.49;;;;;;;
2023;design;Universidade Federal do Paraná;PR;8;Federal;4;35.03;14;50.13;29;6.41;68;4.23;;;1;8;11;31.49;;;;;;;
2023;design;Universidade Federal de Goiás;GO;8;Federal;16;31.14;9;54.02;27;6.53;1;8;;;1;8;11;31.49;;;;;;;
2023;design;Pontifícia Universidade Católica do Rio de Janeiro;RJ;10;Privada;16;31.14;10;53.66;46;5.45;22;6.82;;;115;1.39;1;40;;;;;;;
2023;design;Universidade Presbiteriana Mackenzie;SP;11;Privada;1;36;19;47.2;50;5.22;30;6.37;;;68;4.12;11;31.49;;;;;;;
2023;design;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;12;Estadual;34;25.3;5;57.39;8;7.6;81;3.49;;;1;8;3;38.3;;;;;;;
2023;design;Universidade do Estado do Rio de Janeiro;RJ;12;Estadual;34;25.3;5;57.39;14;7.26;75;3.83;;;1;8;3;38.3;;;;;;;
2023;design;Centro Universitário Belas Artes de São Paulo;SP;14;Privada;1;36;20;46.62;82;3.4;134;0.51;;;63;4.41;3;38.3;;;;;;;
2023;design;Universidade Estadual de Londrina;PR;15;Estadual;16;31.14;15;49.62;28;6.47;78;3.66;;;1;8;11;31.49;;;;;;;
2023;design;Universidade Federal do Rio Grande do Norte;RN;16;Federal;34;25.3;7;54.7;9;7.55;7;7.66;;;1;8;11;31.49;;;;;;;
2023;design;Centro Universitário Armando Alvares Penteado;SP;17;Privada;16;31.14;16;48.01;103;2.21;15;7.21;;;134;0.29;3;38.3;;;;;;;
2023;design;Universidade Federal de Uberlândia;MG;18;Federal;34;25.3;12;51.93;20;6.92;45;5.52;;;1;8;11;31.49;;;;;;;
2023;design;Pontifícia Universidade Católica do Paraná;PR;19;Privada;4;35.03;26;40.38;79;3.57;97;2.59;;;92;2.73;11;31.49;;;;;;;
2023;design;Universidade do Estado de Minas Gerais;MG;20;Estadual;16;31.14;23;43.55;128;0.79;85;3.27;;;1;8;11;31.49;;;;;;;
2023;design;Universidade Anhembi Morumbi;SP;21;Privada;4;35.03;30;37.85;91;2.89;134;0.51;;;88;2.96;11;31.49;;;;;;;
2023;design;Universidade do Sul de Santa Catarina;SC;22;Privada;34;25.3;18;47.36;18;7.04;51;5.18;;;76;3.65;11;31.49;;;;;;;
2023;design;Pontifícia Universidade Católica de Campinas;SP;23;Privada;16;31.14;27;39.54;65;4.37;89;3.04;;;128;0.64;11;31.49;;;;;;;
2023;design;Universidade Federal do Ceará;CE;24;Federal;4;35.03;31;35.02;43;5.62;5;7.78;;;1;8;32;13.62;;;;;;;
2023;design;Universidade Estadual de Maringá;PR;25;Estadual;34;25.3;22;43.9;88;3.06;119;1.35;;;1;8;11;31.49;;;;;;;
2023;design;Centro Universitário Ritter dos Reis;RS;26;Privada;34;25.3;24;41.78;41;5.73;129;0.79;;;74;3.77;11;31.49;;;;;;;
2023;design;Centro Universitário Senac;SP;27;Privada;34;25.3;25;41.69;101;2.33;29;6.42;;;114;1.45;11;31.49;;;;;;;
2023;design;Universidade Federal da Bahia;BA;28;Federal;16;31.14;32;33.76;57;4.82;13;7.32;;;1;8;32;13.62;;;;;;;
2023;design;Universidade do Vale do Itajaí;SC;29;Privada;34;25.3;28;39.25;113;1.65;86;3.21;;;89;2.9;11;31.49;;;;;;;
2023;design;Fundação Universidade do Estado de Santa Catarina;SC;30;Estadual;34;25.3;29;38.1;114;1.59;92;2.87;;;102;2.15;11;31.49;;;;;;;
2023;design;Universidade Federal de Santa Maria;RS;31;Federal;69;13.95;17;47.69;56;4.88;84;3.32;;;1;8;11;31.49;;;;;;;
2023;design;Universidade Feevale;RS;32;Privada;4;35.03;42;25.81;64;4.43;32;6.25;;;113;1.51;32;13.62;;;;;;;
2023;design;Escola Superior de Propaganda e Marketing de Porto Alegre;RS;33;Privada;16;31.14;37;28.66;59;4.71;9;7.55;;;91;2.78;32;13.62;;;;;;;
2023;design;Pontifícia Universidade Católica de São Paulo;SP;34;Privada;69;13.95;21;44.84;39;5.84;90;2.99;;;61;4.52;11;31.49;;;;;;;
2023;design;Universidade Nove de Julho;SP;35;Privada;16;31.14;40;27.38;11;7.43;112;1.75;;;60;4.58;32;13.62;;;;;;;
2023;design;Universidade Positivo;PR;36;Privada;16;31.14;43;25.68;90;2.95;43;5.63;;;79;3.48;32;13.62;;;;;;;
2023;design;Universidade Federal da Paraíba;PB;37;Federal;34;25.3;35;30.17;26;6.58;108;1.97;;;1;8;32;13.62;;;;;;;
2023;design;Universidade Estácio de Sá;RJ;38;Privada;34;25.3;36;29.32;36;6.01;39;5.86;;;73;3.83;32;13.62;;;;;;;
2023;design;Universidade de Brasília;DF;39;Federal;16;31.14;45;22.81;21;6.87;2;7.94;;;1;8;;;;;;;;;
2023;design;Universidade São Judas Tadeu;SP;40;Privada;34;25.3;38;28.55;17;7.09;83;3.38;;;62;4.46;32;13.62;;;;;;;
2023;design;Universidade Federal do Espírito Santo;ES;41;Federal;16;31.14;50;21.29;30;6.36;20;6.93;;;1;8;;;;;;;;;
2023;design;Universidade de Caxias do Sul;RS;42;Privada;34;25.3;44;24.58;58;4.77;63;4.51;;;110;1.68;32;13.62;;;;;;;
2023;design;Universidade do Vale do Rio dos Sinos;RS;43;Privada;4;35.03;79;14.82;48;5.33;58;4.79;;;58;4.7;;;;;;;;;
2023;design;Universidade Federal Fluminense;RJ;44;Federal;34;25.3;48;21.91;15;7.21;24;6.7;;;1;8;;;;;;;;;
2023;design;Universidade Federal de Sergipe;SE;45;Federal;34;25.3;52;20.89;34;6.13;23;6.76;;;1;8;;;;;;;;;
2023;design;Universidade do Extremo Sul Catarinense;SC;46;Privada;34;25.3;53;20.52;98;2.5;104;2.2;;;101;2.2;32;13.62;;;;;;;
2023;design;Universidade Federal do Maranhão;MA;47;Federal;34;25.3;54;20.49;53;5.05;11;7.44;;;1;8;;;;;;;;;
