ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2019;economia;Universidade de São Paulo;SP;1;Estadual;1;36;2;59.05;1;8;95;3.05;;;1;8;1;40;;;;;;;
2019;economia;Universidade Estadual de Campinas;SP;2;Estadual;7;33.57;1;60.85;12;7.47;19;7.05;;;1;8;2;38.33;;;;;;;
2019;economia;Escola de Economia de São Paulo;SP;3;Privada;2;35.6;5;57.57;5;7.81;6;7.74;;;91;3.69;2;38.33;;;;;;;
2019;economia;Universidade Federal de Minas Gerais;MG;4;Federal;7;33.57;3;58.41;10;7.57;4;7.84;;;1;8;4;35;;;;;;;
2019;economia;Universidade Federal do Rio de Janeiro;RJ;5;Federal;7;33.57;4;57.97;7;7.71;15;7.26;;;1;8;4;35;;;;;;;
2019;economia;Pontifícia Universidade Católica de São Paulo;SP;6;Privada;2;35.6;9;48.34;29;6.66;109;2.32;;;77;4.36;4;35;;;;;;;
2019;economia;Universidade Federal do Rio Grande do Sul;RS;7;Federal;7;33.57;8;49.13;19;7.14;14;7.32;;;1;8;9;26.67;;;;;;;
2019;economia;Escola Brasileira de Economia e Finanças;RJ;8;Privada;28;25.08;6;55.36;4;7.86;1;8;;;74;4.5;4;35;;;;;;;
2019;economia;Universidade Federal do Paraná;PR;9;Federal;13;31.15;10;47.94;25;6.85;31;6.42;;;1;8;9;26.67;;;;;;;
2019;economia;Pontifícia Universidade Católica do Rio de Janeiro;RJ;10;Privada;13;31.15;11;47.57;30;6.61;58;5;;;148;0.96;4;35;;;;;;;
2019;economia;Universidade de Brasília;DF;11;Federal;28;25.08;7;49.65;18;7.19;5;7.79;;;1;8;9;26.67;;;;;;;
2019;economia;Universidade Federal de Pernambuco;PE;12;Federal;7;33.57;14;37.44;36;6.32;62;4.79;;;1;8;14;18.33;;;;;;;
2019;economia;Universidade Federal de Santa Catarina;SC;13;Federal;28;25.08;12;44.93;34;6.42;80;3.84;;;1;8;9;26.67;;;;;;;
