ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2019;educacao-fisica;Universidade de São Paulo;SP;1;Estadual;1;36;1;62.79;1;8;75;6.79;;;1;8;1;40;;;;;;;
2019;educacao-fisica;Universidade Estadual de Campinas;SP;2;Estadual;2;35.77;2;61.86;8;7.91;20;7.69;;;1;8;2;38.26;;;;;;;
2019;educacao-fisica;Universidade Federal de Minas Gerais;MG;3;Federal;5;35.09;3;60.42;7;7.93;3;7.97;;;1;8;3;36.52;;;;;;;
2019;educacao-fisica;Universidade Federal do Rio Grande do Sul;RS;4;Federal;16;32.58;4;59.1;6;7.94;84;6.64;;;1;8;3;36.52;;;;;;;
2019;educacao-fisica;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;5;Estadual;5;35.09;5;56.53;3;7.98;75;6.79;;;201-250;5.24;3;36.52;;;;;;;
2019;educacao-fisica;Universidade Federal do Rio de Janeiro;RJ;6;Federal;2;35.77;7;53.77;45;7.45;61;7.02;;;1;8;6;31.3;;;;;;;
2019;educacao-fisica;Universidade do Estado do Rio de Janeiro;RJ;7;Estadual;5;35.09;10;51.25;16;7.81;25;7.61;;;1;8;8;27.83;;;;;;;
2019;educacao-fisica;Universidade Federal de Viçosa;MG;8;Federal;16;32.58;11;51.13;14;7.84;34;7.46;;;1;8;8;27.83;;;;;;;
2019;educacao-fisica;Universidade de Brasília;DF;9;Federal;16;32.58;12;51.11;17;7.8;33;7.48;;;1;8;8;27.83;;;;;;;
2019;educacao-fisica;Universidade Federal do Paraná;PR;10;Federal;16;32.58;13;51.09;12;7.86;38;7.4;;;1;8;8;27.83;;;;;;;
2019;educacao-fisica;Universidade Federal de Santa Catarina;SC;11;Federal;44;26.2;6;54.31;20;7.76;47;7.25;;;1;8;6;31.3;;;;;;;
2019;educacao-fisica;Universidade Federal de São Carlos;SP;12;Federal;44;26.2;8;51.74;4;7.96;4;7.95;;;1;8;8;27.83;;;;;;;
2019;educacao-fisica;Universidade Federal de São Paulo;SP;12;Federal;44;26.2;8;51.74;2;7.99;6;7.92;;;1;8;8;27.83;;;;;;;
2019;educacao-fisica;Universidade Nove de Julho;SP;14;Privada;16;32.58;19;44.32;73;7.1;201-250;4.24;;;201-250;5.15;8;27.83;;;;;;;
2019;educacao-fisica;Universidade Federal de Santa Maria;RS;15;Federal;44;26.2;14;50.66;21;7.75;57;7.08;;;1;8;8;27.83;;;;;;;
2019;educacao-fisica;Universidade Estadual de Maringá;PR;16;Estadual;44;26.2;15;50.59;34;7.59;52;7.17;;;1;8;8;27.83;;;;;;;
2019;educacao-fisica;Universidade Federal de Uberlândia;MG;17;Federal;44;26.2;18;47.8;13;7.85;201-250;4.12;;;1;8;8;27.83;;;;;;;
2019;educacao-fisica;Universidade Estadual de Londrina;PR;18;Estadual;16;32.58;20;29.66;53;7.35;41;7.35;;;1;8;20;6.96;;;;;;;
2019;educacao-fisica;Universidade Federal de Pernambuco;PE;19;Federal;10;33.95;22;28.15;48;7.41;137;5.78;;;1;8;20;6.96;;;;;;;
2019;educacao-fisica;Universidade Federal do Espírito Santo;ES;20;Federal;16;32.58;21;29.52;26;7.69;70;6.87;;;1;8;20;6.96;;;;;;;
2019;educacao-fisica;Universidade Federal do Ceará;CE;21;Federal;10;33.95;26;23.51;39;7.53;2;7.98;;;1;8;;;;;;;;;
2019;educacao-fisica;Universidade Federal do Rio Grande do Norte;RN;22;Federal;16;32.58;24;23.67;19;7.78;8;7.89;;;1;8;;;;;;;;;
2019;educacao-fisica;Universidade Federal Fluminense;RJ;23;Federal;5;35.09;51;20.76;38;7.54;171;5.22;;;1;8;;;;;;;;;
2019;educacao-fisica;Universidade Federal da Bahia;BA;24;Federal;10;33.95;45;21.75;112;6.62;54;7.13;;;1;8;;;;;;;;;
2019;educacao-fisica;Universidade Federal do Pará;PA;25;Federal;16;32.58;39;22.32;88;6.91;37;7.41;;;1;8;;;;;;;;;
2019;educacao-fisica;Universidade Federal da Paraíba;PB;26;Federal;16;32.58;41;22.02;64;7.21;74;6.81;;;1;8;;;;;;;;;
2019;educacao-fisica;Universidade Federal de Sergipe;SE;27;Federal;44;26.2;23;27.48;43;7.48;182;5.04;;;1;8;20;6.96;;;;;;;
2019;educacao-fisica;Universidade Estadual do Ceará;CE;28;Estadual;10;33.95;73;19.06;301-350;3.99;58;7.07;;;1;8;;;;;;;;;
2019;educacao-fisica;Universidade Paulista;SP;29;Privada;2;35.77;119;16.51;201-250;4.93;104;6.32;;;201-250;5.26;;;;;;;;;
2019;educacao-fisica;Universidade de Pernambuco;PE;30;Estadual;16;32.58;64;19.69;114;6.59;49;7.22;;;169;5.88;;;;;;;;;
2019;educacao-fisica;Universidade Federal de Goiás;GO;31;Federal;16;32.58;67;19.33;124;6.47;193;4.86;;;1;8;;;;;;;;;
2019;educacao-fisica;Universidade do Vale do Rio dos Sinos;RS;32;Privada;16;32.58;83;18.11;41;7.5;184;5.01;;;191;5.6;;;;;;;;;
2019;educacao-fisica;Pontifícia Universidade Católica de Minas Gerais;MG;33;Privada;10;33.95;112;16.73;153;6.1;64;6.97;;;301-350;3.66;;;;;;;;;
2019;educacao-fisica;Universidade Presbiteriana Mackenzie;SP;34;Privada;16;32.58;85;18.03;47;7.43;43;7.31;;;351-400;3.29;;;;;;;;;
2019;educacao-fisica;Universidade Federal do Triângulo Mineiro;MG;35;Federal;;;16;50.18;32;7.61;78;6.74;;;1;8;8;27.83;;;;;;;
2019;educacao-fisica;Centro Universitário das Faculdades Metropolitanas Unidas;SP;36;Privada;5;35.09;168;14.61;301-350;3.69;82;6.68;;;251-300;4.24;;;;;;;;;
2019;educacao-fisica;Universidade Federal de Juiz de Fora;MG;37;Federal;44;26.2;27;23.45;31;7.63;12;7.82;;;1;8;;;;;;;;;
2019;educacao-fisica;Pontifícia Universidade Católica do Rio Grande do Sul;RS;38;Privada;16;32.58;101;17.03;46;7.44;127;5.94;;;301-350;3.65;;;;;;;;;
2019;educacao-fisica;Universidade Federal de Pelotas;RS;39;Federal;;;17;49.59;18;7.79;125;5.97;;;1;8;8;27.83;;;;;;;
2019;educacao-fisica;Universidade de Fortaleza;CE;40;Privada;16;32.58;123;16.4;72;7.11;131;5.87;;;351-400;3.42;;;;;;;;;
2019;educacao-fisica;Universidade Federal do Piauí;PI;41;Federal;16;32.58;124;16.39;145;6.2;351-400;2.19;;;1;8;;;;;;;;;
2019;educacao-fisica;Universidade Estadual de Santa Cruz;BA;42;Estadual;44;26.2;36;22.37;87;6.93;35;7.44;;;1;8;;;;;;;;;
2019;educacao-fisica;Universidade Federal do Maranhão;MA;43;Federal;44;26.2;38;22.33;54;7.34;63;6.99;;;1;8;;;;;;;;;
2019;educacao-fisica;Universidade Federal de Mato Grosso;MT;44;Federal;44;26.2;47;21.56;81;7;89;6.56;;;1;8;;;;;;;;;
2019;educacao-fisica;Universidade Metodista de São Paulo;SP;45;Privada;16;32.58;165;14.74;301-350;4.17;77;6.76;;;301-350;3.81;;;;;;;;;
2019;educacao-fisica;Universidade Católica de Brasília;DF;46;Privada;16;32.58;174;14.38;100;6.76;351-400;2.05;;;194;5.57;;;;;;;;;
2019;educacao-fisica;Universidade do Estado da Bahia;BA;47;Estadual;16;32.58;178;14.33;351-400;3.02;113;6.17;;;201-250;5.14;;;;;;;;;
2019;educacao-fisica;Universidade Estácio de Sá;RJ;48;Privada;10;33.95;201-250;12.71;201-250;5.04;188;4.94;;;401-500;2.73;;;;;;;;;
2019;educacao-fisica;Universidade Federal de Mato Grosso do Sul;MS;49;Federal;44;26.2;57;20.07;127;6.43;21;7.67;;;162;5.97;;;;;;;;;
