ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2019;enfermagem;Universidade Federal de Minas Gerais;MG;1;Federal;1;36;1;62.39;5;7.96;8;7.91;;;1;8;2;38.52;;;;;;;
2019;enfermagem;Universidade de São Paulo;SP;2;Estadual;1;36;4;61.51;1;8;185;5.51;;;1;8;1;40;;;;;;;
2019;enfermagem;Universidade Estadual de Campinas;SP;3;Estadual;5;34.88;2;62.34;4;7.97;12;7.85;;;1;8;2;38.52;;;;;;;
2019;enfermagem;Universidade Federal do Rio de Janeiro;RJ;4;Federal;5;34.88;6;57.73;13;7.88;17;7.78;;;1;8;5;34.07;;;;;;;
2019;enfermagem;Universidade Federal do Rio Grande do Sul;RS;5;Federal;13;32.63;5;57.8;10;7.91;14;7.82;;;1;8;5;34.07;;;;;;;
2019;enfermagem;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;6;Estadual;13;32.63;7;54.86;3;7.98;88;6.82;;;199;5.99;5;34.07;;;;;;;
2019;enfermagem;Universidade do Estado do Rio de Janeiro;RJ;7;Estadual;5;34.88;9;51.54;29;7.72;10;7.88;;;167;6.31;8;29.63;;;;;;;
2019;enfermagem;Universidade Federal de Santa Catarina;SC;8;Federal;13;32.63;8;53.05;9;7.92;38;7.5;;;1;8;8;29.63;;;;;;;
2019;enfermagem;Universidade Federal da Bahia;BA;9;Federal;1;36;19;49.37;88;7.12;32;7.58;;;1;8;10;26.67;;;;;;;
2019;enfermagem;Universidade Federal de São Paulo;SP;10;Federal;46;23.34;3;61.74;2;7.99;58;7.23;;;1;8;2;38.52;;;;;;;
2019;enfermagem;Universidade Federal do Ceará;CE;11;Federal;13;32.63;10;50.57;8;7.93;3;7.97;;;1;8;10;26.67;;;;;;;
2019;enfermagem;Universidade de Brasília;DF;12;Federal;13;32.63;13;50.23;17;7.84;22;7.72;;;1;8;10;26.67;;;;;;;
2019;enfermagem;Universidade Federal de Goiás;GO;13;Federal;13;32.63;17;49.73;62;7.38;25;7.68;;;1;8;10;26.67;;;;;;;
2019;enfermagem;Universidade Federal do Paraná;PR;14;Federal;13;32.63;18;49.53;30;7.71;64;7.15;;;1;8;10;26.67;;;;;;;
2019;enfermagem;Universidade Federal Fluminense;RJ;15;Federal;13;32.63;21;48.63;37;7.64;125;6.32;;;1;8;10;26.67;;;;;;;
2019;enfermagem;Universidade Paulista;SP;16;Privada;1;36;27;43.83;201-250;5.49;104;6.61;;;251-300;5.06;10;26.67;;;;;;;
2019;enfermagem;Universidade Federal de São Carlos;SP;17;Federal;46;23.34;11;50.42;7;7.94;15;7.81;;;1;8;10;26.67;;;;;;;
2019;enfermagem;Universidade Federal do Estado do Rio de Janeiro;RJ;18;Federal;46;23.34;13;50.23;15;7.86;23;7.7;;;1;8;10;26.67;;;;;;;
2019;enfermagem;Faculdade Israelita de Ciências da Saúde Albert Einstein;SP;19;Privada;46;23.34;15;49.95;42;7.59;24;7.69;;;1;8;10;26.67;;;;;;;
2019;enfermagem;Universidade Federal do Triângulo Mineiro;MG;20;Federal;46;23.34;16;49.81;14;7.87;55;7.27;;;1;8;10;26.67;;;;;;;
2019;enfermagem;Universidade Estadual de Londrina;PR;21;Estadual;46;23.34;20;49.06;25;7.76;102;6.63;;;1;8;10;26.67;;;;;;;
2019;enfermagem;Universidade Estadual do Sudoeste da Bahia;BA;22;Estadual;46;23.34;24;47.35;251-300;5.04;28;7.64;;;1;8;10;26.67;;;;;;;
2019;enfermagem;Pontifícia Universidade Católica do Rio Grande do Sul;RS;23;Privada;46;23.34;26;45.02;34;7.67;67;7.11;;;401-500;3.57;10;26.67;;;;;;;
2019;enfermagem;Universidade Federal de Pernambuco;PE;24;Federal;5;34.88;36;22.92;51;7.49;43;7.43;;;1;8;;;;;;;;;
2019;enfermagem;Universidade Federal do Rio Grande do Norte;RN;25;Federal;13;32.63;41;22.46;70;7.3;63;7.16;;;1;8;;;;;;;;;
2019;enfermagem;Universidade Federal de Juiz de Fora;MG;26;Federal;13;32.63;51;21.59;85;7.15;116;6.44;;;1;8;;;;;;;;;
2019;enfermagem;Universidade Federal do Espírito Santo;ES;27;Federal;13;32.63;53;21.49;53;7.47;147;6.02;;;1;8;;;;;;;;;
2019;enfermagem;Universidade Federal do Pará;PA;28;Federal;13;32.63;62;20.71;201-250;5.79;81;6.92;;;1;8;;;;;;;;;
2019;enfermagem;Universidade do Vale do Rio dos Sinos;RS;29;Privada;13;32.63;67;20.46;86;7.14;57;7.24;;;190;6.08;;;;;;;;;
2019;enfermagem;Universidade de Pernambuco;PE;30;Estadual;13;32.63;85;19.34;251-300;5.33;20;7.74;;;171;6.27;;;;;;;;;
2019;enfermagem;Escola Superior de Ciências da Santa Casa de Misericórdia de Vitória;ES;31;Privada;13;32.63;99;18.09;99;7.01;180;5.58;;;201-250;5.5;;;;;;;;;
2019;enfermagem;Pontifícia Universidade Católica de Minas Gerais;MG;32;Privada;5;34.88;160;15.75;190;6.09;181;5.56;;;351-400;4.1;;;;;;;;;
2019;enfermagem;Faculdade de Medicina de São José do Rio Preto;SP;33;Estadual;;;12;50.34;23;7.78;9;7.89;;;1;8;10;26.67;;;;;;;
2019;enfermagem;Centro Universitário São Camilo;SP;34;Privada;13;32.63;106;17.61;111;6.89;112;6.5;;;351-400;4.22;;;;;;;;;
2019;enfermagem;Universidade do Estado da Bahia;BA;35;Estadual;13;32.63;111;17.57;351-400;3.99;53;7.3;;;170;6.28;;;;;;;;;
2019;enfermagem;Universidade do Oeste Paulista;SP;35;Privada;13;32.63;111;17.57;57;7.43;251-300;4.47;;;201-250;5.67;;;;;;;;;
2019;enfermagem;Universidade de Marília;SP;37;Privada;13;32.63;124;17.12;159;6.4;251-300;4.54;;;180;6.18;;;;;;;;;
2019;enfermagem;Pontifícia Universidade Católica de Campinas;SP;38;Privada;5;34.88;197;14.6;61;7.39;114;6.47;;;701-800;0.74;;;;;;;;;
2019;enfermagem;Universidade de Franca;SP;39;Privada;13;32.63;136;16.54;104;6.96;251-300;4.24;;;251-300;5.34;;;;;;;;;
