ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2019;engenharia-ambiental;Universidade de São Paulo;SP;1;Estadual;1;36;3;61.58;3;7.95;64;5.63;;;1;8;1;40;;;;;;;
2019;engenharia-ambiental;Universidade Federal de Minas Gerais;MG;1;Federal;2;35.61;2;61.97;10;7.75;2;7.96;;;1;8;2;38.26;;;;;;;
2019;engenharia-ambiental;Universidade Estadual de Campinas;SP;3;Estadual;2;35.61;5;60.67;37;7.01;17;7.4;;;1;8;2;38.26;;;;;;;
2019;engenharia-ambiental;Universidade Federal do Rio de Janeiro;RJ;4;Federal;6;34.04;1;62.18;4;7.92;1;8;;;1;8;2;38.26;;;;;;;
2019;engenharia-ambiental;Universidade Federal de Santa Catarina;SC;5;Federal;14;30.91;4;61.07;24;7.37;16;7.44;;;1;8;2;38.26;;;;;;;
2019;engenharia-ambiental;Universidade Federal do Rio Grande do Sul;RS;6;Federal;6;34.04;7;54.79;14;7.64;5;7.85;;;1;8;6;31.3;;;;;;;
2019;engenharia-ambiental;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;7;Estadual;6;34.04;8;49.75;5;7.89;64;5.63;;;112;4.93;6;31.3;;;;;;;
2019;engenharia-ambiental;Universidade Federal do Ceará;CE;8;Federal;6;34.04;10;49.35;20;7.48;7;7.78;;;1;8;9;26.09;;;;;;;
2019;engenharia-ambiental;Universidade Federal do Paraná;PR;9;Federal;6;34.04;13;47.12;12;7.7;72;5.33;;;1;8;9;26.09;;;;;;;
2019;engenharia-ambiental;Universidade Federal de Santa Maria;RS;10;Federal;14;30.91;11;48.24;27;7.28;31;6.87;;;1;8;9;26.09;;;;;;;
2019;engenharia-ambiental;Universidade Federal da Bahia;BA;11;Federal;14;30.91;14;47.03;94;5.43;14;7.51;;;1;8;9;26.09;;;;;;;
2019;engenharia-ambiental;Universidade Federal de Viçosa;MG;12;Federal;36;22.3;6;55.06;7;7.83;3;7.93;;;1;8;6;31.3;;;;;;;
2019;engenharia-ambiental;Universidade Federal de São Carlos;SP;13;Federal;6;34.04;15;41.87;9;7.78;;;;;1;8;9;26.09;;;;;;;
2019;engenharia-ambiental;Universidade de Brasília;DF;14;Federal;36;22.3;9;49.59;15;7.61;4;7.89;;;1;8;9;26.09;;;;;;;
2019;engenharia-ambiental;Universidade Federal de Mato Grosso;MT;15;Federal;6;34.04;19;34.48;82;5.77;33;6.8;;;1;8;16;13.91;;;;;;;
2019;engenharia-ambiental;Universidade Federal do Espírito Santo;ES;16;Federal;14;30.91;17;36.55;34;7.09;13;7.55;;;1;8;16;13.91;;;;;;;
2019;engenharia-ambiental;Universidade Federal do Pará;PA;17;Federal;14;30.91;20;32.39;69;6.12;98;4.36;;;1;8;16;13.91;;;;;;;
2019;engenharia-ambiental;Universidade Estadual de Maringá;PR;18;Estadual;14;30.91;22;30.06;177;3.15;81;5;;;1;8;16;13.91;;;;;;;
2019;engenharia-ambiental;Universidade Federal de Ouro Preto;MG;19;Federal;36;22.3;18;36.25;49;6.68;10;7.66;;;1;8;16;13.91;;;;;;;
2019;engenharia-ambiental;Universidade Federal de Goiás;GO;20;Federal;6;34.04;37;21.08;43;6.84;48;6.24;;;1;8;;;;;;;;;
2019;engenharia-ambiental;Universidade da Região de Joinville;SC;21;Privada;36;22.3;21;31.07;72;6.04;44;6.39;;;119;4.73;16;13.91;;;;;;;
2019;engenharia-ambiental;Universidade Federal de Alagoas;AL;22;Federal;14;30.91;29;22.22;30;7.2;27;7.02;;;1;8;;;;;;;;;
2019;engenharia-ambiental;Universidade Federal do Rio Grande do Norte;RN;23;Federal;14;30.91;39;20.81;77;5.9;30;6.91;;;1;8;;;;;;;;;
2019;engenharia-ambiental;Universidade do Vale do Rio dos Sinos;RS;24;Privada;2;35.61;68;15.39;11;7.72;149;2.44;;;101;5.23;;;;;;;;;
2019;engenharia-ambiental;Universidade Federal de Mato Grosso do Sul;MS;25;Federal;14;30.91;57;17.32;63;6.29;42;6.46;;;125;4.57;;;;;;;;;
2019;engenharia-ambiental;Universidade de Fortaleza;CE;26;Privada;2;35.61;109;12.27;45;6.79;122;3.46;;;201-250;2.02;;;;;;;;;
2019;engenharia-ambiental;Universidade Federal de Itajubá;MG;27;Federal;;;12;47.81;47;6.73;28;6.99;;;1;8;9;26.09;;;;;;;
2019;engenharia-ambiental;Universidade de Caxias do Sul;RS;28;Privada;14;30.91;73;14.96;70;6.1;76;5.18;;;157;3.68;;;;;;;;;
2019;engenharia-ambiental;Universidade Federal de Lavras;MG;29;Federal;36;22.3;23;23.48;6;7.86;11;7.62;;;1;8;;;;;;;;;
