ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2019;engenharia-civil;Universidade de São Paulo;SP;1;Estadual;1;36;1;63.47;3;7.98;28;7.49;;;1;8;1;40;;;;;;;
2019;engenharia-civil;Universidade Estadual de Campinas;SP;2;Estadual;7;33.73;2;61.74;11;7.89;9;7.85;;;1;8;2;38;;;;;;;
2019;engenharia-civil;Universidade Federal do Rio de Janeiro;RJ;3;Federal;7;33.73;3;61.62;7;7.94;18;7.68;;;1;8;2;38;;;;;;;
2019;engenharia-civil;Universidade Federal de Minas Gerais;MG;4;Federal;2;35.62;4;57.86;9;7.92;4;7.94;;;1;8;4;34;;;;;;;
2019;engenharia-civil;Universidade Federal do Rio Grande do Sul;RS;5;Federal;12;31.83;6;55.34;17;7.83;27;7.51;;;1;8;5;32;;;;;;;
2019;engenharia-civil;Universidade Federal do Paraná;PR;6;Federal;7;33.73;10;50.87;40;7.59;39;7.28;;;1;8;7;28;;;;;;;
2019;engenharia-civil;Universidade de Brasília;DF;7;Federal;12;31.83;7;51.86;12;7.88;2;7.98;;;1;8;7;28;;;;;;;
2019;engenharia-civil;Universidade Federal de São Carlos;SP;8;Federal;12;31.83;8;51.52;4;7.97;25;7.55;;;1;8;7;28;;;;;;;
2019;engenharia-civil;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;9;Estadual;7;33.73;12;49;5;7.96;28;7.49;;;201-250;5.55;7;28;;;;;;;
2019;engenharia-civil;Universidade Presbiteriana Mackenzie;SP;10;Privada;2;35.62;13;41.85;66;7.31;201-250;3.95;;;501-600;2.59;7;28;;;;;;;
2019;engenharia-civil;Universidade Federal de Santa Catarina;SC;11;Federal;42;20.46;5;55.37;25;7.75;21;7.62;;;1;8;5;32;;;;;;;
2019;engenharia-civil;Universidade Federal de Pernambuco;PE;12;Federal;12;31.83;16;36.7;43;7.55;46;7.15;;;1;8;14;14;;;;;;;
2019;engenharia-civil;Universidade Federal Fluminense;RJ;13;Federal;42;20.46;17;36.68;20;7.8;60;6.88;;;1;8;14;14;;;;;;;
2019;engenharia-civil;Universidade Federal do Ceará;CE;14;Federal;12;31.83;21;23.79;13;7.87;5;7.92;;;1;8;;;;;;;;;
2019;engenharia-civil;Universidade Federal do Espírito Santo;ES;15;Federal;12;31.83;23;23.57;24;7.76;11;7.81;;;1;8;;;;;;;;;
2019;engenharia-civil;Universidade Estadual de Londrina;PR;16;Estadual;12;31.83;31;22.91;48;7.5;32;7.41;;;1;8;;;;;;;;;
2019;engenharia-civil;Universidade Federal de Goiás;GO;17;Federal;12;31.83;35;22.66;69;7.28;34;7.38;;;1;8;;;;;;;;;
2019;engenharia-civil;Universidade Federal da Bahia;BA;18;Federal;12;31.83;36;22.55;81;7.15;33;7.4;;;1;8;;;;;;;;;
2019;engenharia-civil;Pontifícia Universidade Católica do Rio de Janeiro;RJ;19;Privada;42;20.46;18;32.7;15;7.85;69;6.71;;;351-400;4.14;14;14;;;;;;;
2019;engenharia-civil;Universidade Federal do Piauí;PI;20;Federal;12;31.83;53;21.17;201-250;5.42;14;7.75;;;1;8;;;;;;;;;
2019;engenharia-civil;Universidade do Estado do Rio de Janeiro;RJ;21;Estadual;12;31.83;63;20.47;18;7.82;81;6.49;;;171;6.16;;;;;;;;;
2019;engenharia-civil;Universidade Federal de Mato Grosso;MT;22;Federal;12;31.83;66;20.22;251-300;5.13;49;7.09;;;1;8;;;;;;;;;
2019;engenharia-civil;Universidade de Pernambuco;PE;23;Estadual;12;31.83;68;20.2;195;5.94;93;6.26;;;1;8;;;;;;;;;
2019;engenharia-civil;Centro Universitário da Fundação Educacional Inaciana Pe Sabóia de Medeiros;SP;24;Privada;2;35.62;130;15.47;92;7.03;47;7.13;;;601-700;1.31;;;;;;;;;
2019;engenharia-civil;Universidade Federal de Santa Maria;RS;25;Federal;;;9;51.04;38;7.61;31;7.43;;;1;8;7;28;;;;;;;
2019;engenharia-civil;Universidade do Vale do Rio dos Sinos;RS;26;Privada;12;31.83;74;19.17;46;7.52;104;6.05;;;201-250;5.6;;;;;;;;;
2019;engenharia-civil;Pontifícia Universidade Católica de São Paulo;SP;27;Privada;12;31.83;75;19.07;37;7.62;135;5.47;;;188;5.98;;;;;;;;;
2019;engenharia-civil;Pontifícia Universidade Católica de Minas Gerais;MG;28;Privada;2;35.62;165;14.66;163;6.28;123;5.69;;;401-500;2.69;;;;;;;;;
2019;engenharia-civil;Instituto Tecnológico de Aeronáutica;SP;29;Federal;;;11;49.71;10;7.9;19;7.66;;;172;6.15;7;28;;;;;;;
2019;engenharia-civil;Universidade Paulista;SP;30;Privada;2;35.62;201-250;13.41;201-250;5.62;251-300;2.65;;;251-300;5.14;;;;;;;;;
2019;engenharia-civil;Centro Universitário do Instituto Mauá de Tecnologia;SP;31;Privada;7;33.73;151;14.92;119;6.75;74;6.62;;;501-600;1.55;;;;;;;;;
2019;engenharia-civil;Universidade Positivo;PR;32;Privada;12;31.83;101;16.65;141;6.51;110;5.94;;;351-400;4.2;;;;;;;;;
2019;engenharia-civil;Fundação Universidade do Estado de Santa Catarina;SC;33;Estadual;12;31.83;110;15.95;201-250;5.61;6;7.91;;;501-600;2.43;;;;;;;;;
2019;engenharia-civil;Pontifícia Universidade Católica de Campinas;SP;34;Privada;42;20.46;19;27.13;126;6.67;105;6.03;;;601-700;0.43;14;14;;;;;;;
