ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2019;engenharia-de-controle-e-automacao;Universidade Estadual de Campinas;SP;1;Estadual;4;32.73;3;60.79;5;7.78;44;5.01;;;1;8;1;40;;;;;;;
2019;engenharia-de-controle-e-automacao;Universidade Federal de Minas Gerais;MG;2;Federal;1;36;4;56.75;4;7.84;7;7.58;;;1;8;4;33.33;;;;;;;
2019;engenharia-de-controle-e-automacao;Universidade Federal de Santa Catarina;SC;3;Federal;10;26.18;1;61.3;6;7.73;4;7.79;;;1;8;2;37.78;;;;;;;
2019;engenharia-de-controle-e-automacao;Universidade Federal do Rio Grande do Sul;RS;4;Federal;4;32.73;5;54.62;10;7.51;1;8;;;1;8;5;31.11;;;;;;;
2019;engenharia-de-controle-e-automacao;Universidade Federal do Rio de Janeiro;RJ;5;Federal;10;26.18;2;60.97;2;7.95;12;7.24;;;1;8;2;37.78;;;;;;;
2019;engenharia-de-controle-e-automacao;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;6;Estadual;10;26.18;6;49.73;3;7.89;39;5.36;;;49;5.37;5;31.11;;;;;;;
2019;engenharia-de-controle-e-automacao;Universidade Federal de Pernambuco;PE;7;Federal;10;26.18;8;49.52;17;7.13;5;7.72;;;1;8;7;26.67;;;;;;;
2019;engenharia-de-controle-e-automacao;Centro Universitário do Instituto Mauá de Tecnologia;SP;8;Privada;4;32.73;14;42.53;29;6.48;11;7.3;;;109;2.08;7;26.67;;;;;;;
2019;engenharia-de-controle-e-automacao;Fundação Universidade Federal do ABC;SP;9;Federal;10;26.18;10;48.65;1;8;30;5.98;;;1;8;7;26.67;;;;;;;
2019;engenharia-de-controle-e-automacao;Universidade Tecnológica Federal do Paraná;PR;10;Federal;10;26.18;11;48.17;24;6.75;19;6.75;;;1;8;7;26.67;;;;;;;
2019;engenharia-de-controle-e-automacao;Centro Universitário da Fundação Educacional Inaciana Pe Sabóia de Medeiros;SP;11;Privada;4;32.73;19;21.63;16;7.18;20;6.68;;;127;1.1;16;6.67;;;;;;;
2019;engenharia-de-controle-e-automacao;Universidade do Vale do Rio dos Sinos;RS;12;Privada;4;32.73;20;21.51;8;7.62;3;7.86;;;37;6.03;;;;;;;;;
2019;engenharia-de-controle-e-automacao;Pontifícia Universidade Católica de Minas Gerais;MG;13;Privada;1;36;49;15.23;56;5.01;25;6.33;;;76;3.89;;;;;;;;;
2019;engenharia-de-controle-e-automacao;Universidade Paulista;SP;14;Privada;1;36;53;13.79;53;5.17;67;3.41;;;52;5.21;;;;;;;;;
2019;engenharia-de-controle-e-automacao;Universidade Federal de Santa Maria;RS;15;Federal;;;7;49.61;9;7.57;10;7.37;;;1;8;7;26.67;;;;;;;
2019;engenharia-de-controle-e-automacao;Universidade Federal de Uberlândia;MG;16;Federal;;;9;49.51;12;7.4;9;7.44;;;1;8;7;26.67;;;;;;;
2019;engenharia-de-controle-e-automacao;Pontifícia Universidade Católica do Paraná;PR;17;Privada;10;26.18;16;23.26;44;5.66;18;6.82;;;72;4.11;16;6.67;;;;;;;
2019;engenharia-de-controle-e-automacao;Pontifícia Universidade Católica do Rio Grande do Sul;RS;18;Privada;4;32.73;46;15.46;18;7.08;35;5.64;;;97;2.74;;;;;;;;;
2019;engenharia-de-controle-e-automacao;Universidade Federal de Itajubá;MG;19;Federal;;;12;47.98;21;6.91;24;6.4;;;1;8;7;26.67;;;;;;;
2019;engenharia-de-controle-e-automacao;Universidade de Fortaleza;CE;20;Privada;10;26.18;24;20.73;28;6.53;59;3.97;;;82;3.56;16;6.67;;;;;;;
2019;engenharia-de-controle-e-automacao;Pontifícia Universidade Católica do Rio de Janeiro;RJ;21;Privada;;;13;45.29;11;7.46;14;7.1;;;73;4.06;7;26.67;;;;;;;
2019;engenharia-de-controle-e-automacao;Universidade de Caxias do Sul;RS;22;Privada;10;26.18;38;16.74;25;6.69;29;6.05;;;74;4;;;;;;;;;
2019;engenharia-de-controle-e-automacao;Centro Universitário Una;MG;23;Privada;10;26.18;51;14.62;51;5.28;55;4.24;;;54;5.1;;;;;;;;;
