ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2019;engenharia-de-producao;Universidade de São Paulo;SP;1;Estadual;1;36;1;63.55;3;7.97;21;7.58;;;1;8;1;40;;;;;;;
2019;engenharia-de-producao;Universidade Federal de Santa Catarina;SC;2;Federal;13;32.49;2;62.38;10;7.88;7;7.88;;;1;8;2;38.62;;;;;;;
2019;engenharia-de-producao;Universidade Federal de Minas Gerais;MG;3;Federal;2;35.71;5;58.41;5;7.95;2;7.98;;;1;8;5;34.48;;;;;;;
2019;engenharia-de-producao;Universidade Estadual de Campinas;SP;4;Estadual;2;35.71;7;58.15;7;7.92;13;7.75;;;1;8;5;34.48;;;;;;;
2019;engenharia-de-producao;Universidade Federal do Rio de Janeiro;RJ;5;Federal;13;32.49;3;61.16;4;7.96;3;7.96;;;1;8;3;37.24;;;;;;;
2019;engenharia-de-producao;Universidade Federal de São Carlos;SP;6;Federal;13;32.49;4;61.07;6;7.93;6;7.9;;;1;8;3;37.24;;;;;;;
2019;engenharia-de-producao;Universidade Federal do Rio Grande do Sul;RS;7;Federal;6;34.54;6;58.27;17;7.79;1;8;;;1;8;5;34.48;;;;;;;
2019;engenharia-de-producao;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;8;Estadual;6;34.54;10;51.86;8;7.91;21;7.58;;;149;6.02;8;30.35;;;;;;;
2019;engenharia-de-producao;Universidade Federal de Pernambuco;PE;9;Federal;13;32.49;9;53.55;39;7.49;15;7.71;;;1;8;8;30.35;;;;;;;
2019;engenharia-de-producao;Universidade Federal do Paraná;PR;10;Federal;6;34.54;11;48.37;18;7.77;12;7.77;;;1;8;12;24.83;;;;;;;
2019;engenharia-de-producao;Pontifícia Universidade Católica do Rio de Janeiro;RJ;11;Privada;13;32.49;15;47.85;12;7.85;117;5.58;;;251-300;4.07;8;30.35;;;;;;;
2019;engenharia-de-producao;Universidade Federal Fluminense;RJ;12;Federal;35;26.05;8;53.73;13;7.84;23;7.54;;;1;8;8;30.35;;;;;;;
2019;engenharia-de-producao;Centro Universitário do Instituto Mauá de Tecnologia;SP;13;Privada;6;34.54;25;41.89;97;6.72;9;7.83;;;401-500;2.51;12;24.83;;;;;;;
2019;engenharia-de-producao;Pontifícia Universidade Católica do Rio Grande do Sul;RS;14;Privada;13;32.49;22;43.58;36;7.53;38;7.23;;;301-350;3.99;12;24.83;;;;;;;
2019;engenharia-de-producao;Universidade Presbiteriana Mackenzie;SP;15;Privada;13;32.49;24;42.64;35;7.55;107;5.79;;;251-300;4.47;12;24.83;;;;;;;
2019;engenharia-de-producao;Centro Universitário da Fundação Educacional Inaciana Pe Sabóia de Medeiros;SP;16;Privada;6;34.54;27;40.52;41;7.47;52;6.94;;;501-600;1.28;12;24.83;;;;;;;
2019;engenharia-de-producao;Pontifícia Universidade Católica de Minas Gerais;MG;17;Privada;2;35.71;28;38.94;149;6.03;114;5.65;;;401-500;2.43;12;24.83;;;;;;;
2019;engenharia-de-producao;Universidade Federal de Viçosa;MG;18;Federal;35;26.05;12;48.28;38;7.51;4;7.94;;;1;8;12;24.83;;;;;;;
2019;engenharia-de-producao;Universidade de Brasília;DF;19;Federal;35;26.05;13;48.27;15;7.81;19;7.63;;;1;8;12;24.83;;;;;;;
2019;engenharia-de-producao;Universidade de Fortaleza;CE;20;Privada;13;32.49;26;41.2;48;7.37;111;5.71;;;351-400;3.29;12;24.83;;;;;;;
2019;engenharia-de-producao;Universidade Tecnológica Federal do Paraná;PR;21;Federal;35;26.05;17;46.95;51;7.33;59;6.79;;;1;8;12;24.83;;;;;;;
2019;engenharia-de-producao;Universidade Estadual de Maringá;PR;22;Estadual;35;26.05;20;46.59;102;6.66;44;7.1;;;1;8;12;24.83;;;;;;;
2019;engenharia-de-producao;Universidade Federal do Ceará;CE;23;Federal;13;32.49;30;23.81;9;7.89;5;7.92;;;1;8;;;;;;;;;
2019;engenharia-de-producao;Universidade do Vale do Rio dos Sinos;RS;24;Privada;6;34.54;51;20.51;21;7.73;72;6.52;;;131;6.26;;;;;;;;;
