ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2019;engenharia-eletrica;Universidade de São Paulo;SP;1;Estadual;1;36;1;62.53;2;7.98;46;6.55;;;1;8;1;40;;;;;;;
2019;engenharia-eletrica;Universidade Estadual de Campinas;SP;2;Estadual;2;35.62;2;61.23;8;7.86;26;7.19;;;1;8;2;38.18;;;;;;;
2019;engenharia-eletrica;Universidade Federal de Minas Gerais;MG;3;Federal;2;35.62;3;60.25;5;7.92;2;7.97;;;1;8;3;36.36;;;;;;;
2019;engenharia-eletrica;Universidade Federal do Rio Grande do Sul;RS;4;Federal;6;34.09;5;56.1;18;7.66;10;7.71;;;1;8;5;32.73;;;;;;;
2019;engenharia-eletrica;Universidade Federal do Rio de Janeiro;RJ;5;Federal;6;34.09;6;55.08;3;7.96;51;6.39;;;1;8;5;32.73;;;;;;;
2019;engenharia-eletrica;Universidade Federal de Santa Catarina;SC;6;Federal;20;28.72;4;59.81;17;7.68;8;7.77;;;1;8;3;36.36;;;;;;;
2019;engenharia-eletrica;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;7;Estadual;6;34.09;7;52.79;4;7.94;46;6.55;;;121;5.57;5;32.73;;;;;;;
2019;engenharia-eletrica;Universidade Federal do Paraná;PR;8;Federal;6;34.09;14;48.36;24;7.54;77;5.55;;;1;8;8;27.27;;;;;;;
2019;engenharia-eletrica;Universidade Federal de São Carlos;SP;9;Federal;6;34.09;15;47.94;6;7.9;101;4.77;;;1;8;8;27.27;;;;;;;
2019;engenharia-eletrica;Universidade Federal de Pernambuco;PE;10;Federal;20;28.72;10;49.72;33;7.35;29;7.1;;;1;8;8;27.27;;;;;;;
2019;engenharia-eletrica;Universidade Tecnológica Federal do Paraná;PR;11;Federal;20;28.72;13;48.77;66;6.69;38;6.81;;;1;8;8;27.27;;;;;;;
2019;engenharia-eletrica;Universidade Federal de Campina Grande;PB;12;Federal;45;19.15;11;49.55;43;7.15;28;7.13;;;1;8;8;27.27;;;;;;;
2019;engenharia-eletrica;Centro Universitário da Fundação Educacional Inaciana Pe Sabóia de Medeiros;SP;13;Privada;2;35.62;20;28.91;38;7.25;25;7.23;;;301-350;1.7;16;12.73;;;;;;;
2019;engenharia-eletrica;Universidade Presbiteriana Mackenzie;SP;14;Privada;6;34.09;21;28.35;32;7.37;134;3.71;;;172;4.54;16;12.73;;;;;;;
2019;engenharia-eletrica;Fundação Universidade do Estado de Santa Catarina;SC;15;Estadual;20;28.72;19;29.84;63;6.75;17;7.48;;;251-300;2.88;16;12.73;;;;;;;
2019;engenharia-eletrica;Universidade Federal do Ceará;CE;16;Federal;6;34.09;28;22.67;11;7.8;36;6.87;;;1;8;;;;;;;;;
2019;engenharia-eletrica;Universidade Federal de Juiz de Fora;MG;17;Federal;45;19.15;16;35.89;14;7.74;19;7.42;;;1;8;16;12.73;;;;;;;
2019;engenharia-eletrica;Universidade do Vale do Rio dos Sinos;RS;18;Privada;6;34.09;48;20.39;23;7.56;34;6.94;;;105;5.89;;;;;;;;;
2019;engenharia-eletrica;Pontifícia Universidade Católica de São Paulo;SP;19;Privada;6;34.09;56;19.63;26;7.5;121;4.13;;;1;8;;;;;;;;;
2019;engenharia-eletrica;Universidade Federal do Espírito Santo;ES;20;Federal;20;28.72;23;23.52;22;7.58;3;7.94;;;1;8;;;;;;;;;
2019;engenharia-eletrica;Universidade Estadual de Londrina;PR;21;Estadual;20;28.72;24;23.18;35;7.31;5;7.87;;;1;8;;;;;;;;;
2019;engenharia-eletrica;Universidade Federal do Rio Grande do Norte;RN;22;Federal;20;28.72;27;22.76;40;7.21;15;7.55;;;1;8;;;;;;;;;
2019;engenharia-eletrica;Universidade Federal da Bahia;BA;23;Federal;20;28.72;29;22.61;57;6.87;9;7.74;;;1;8;;;;;;;;;
2019;engenharia-eletrica;Universidade Federal de Goiás;GO;24;Federal;20;28.72;31;22.48;41;7.19;23;7.29;;;1;8;;;;;;;;;
2019;engenharia-eletrica;Universidade Federal Fluminense;RJ;25;Federal;45;19.15;18;31.22;9;7.84;167;2.65;;;1;8;16;12.73;;;;;;;
2019;engenharia-eletrica;Pontifícia Universidade Católica de Minas Gerais;MG;26;Privada;2;35.62;99;14.61;128;5.43;60;6.1;;;201-250;3.08;;;;;;;;;
2019;engenharia-eletrica;Universidade Federal de Santa Maria;RS;27;Federal;;;8;50.01;27;7.48;24;7.26;;;1;8;8;27.27;;;;;;;
