ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2019;engenharia-mecanica;Universidade de São Paulo;SP;1;Estadual;1;36;1;62.72;1;8;36;6.72;;;1;8;1;40;;;;;;;
2019;engenharia-mecanica;Universidade Estadual de Campinas;SP;2;Estadual;2;35.63;2;60.61;6;7.89;36;6.72;;;1;8;2;38;;;;;;;
2019;engenharia-mecanica;Universidade Federal de Minas Gerais;MG;3;Federal;2;35.63;4;57.76;5;7.91;5;7.85;;;1;8;4;34;;;;;;;
2019;engenharia-mecanica;Universidade Federal do Rio de Janeiro;RJ;4;Federal;6;34.13;5;56.95;2;7.98;29;6.97;;;1;8;4;34;;;;;;;
2019;engenharia-mecanica;Universidade Federal de Santa Catarina;SC;5;Federal;18;29.63;3;59.26;13;7.74;14;7.52;;;1;8;3;36;;;;;;;
2019;engenharia-mecanica;Universidade Federal do Rio Grande do Sul;RS;6;Federal;6;34.13;9;51.19;18;7.63;13;7.56;;;1;8;7;28;;;;;;;
2019;engenharia-mecanica;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;7;Estadual;6;34.13;11;49.07;4;7.94;21;7.27;;;99;5.86;7;28;;;;;;;
2019;engenharia-mecanica;Universidade Federal de São Carlos;SP;8;Federal;18;29.63;7;51.89;3;7.96;3;7.93;;;1;8;7;28;;;;;;;
2019;engenharia-mecanica;Universidade Federal do Paraná;PR;9;Federal;6;34.13;12;41.02;16;7.68;19;7.34;;;1;8;12;18;;;;;;;
2019;engenharia-mecanica;Instituto Tecnológico de Aeronáutica;SP;10;Federal;49;18;6;55.41;15;7.7;16;7.45;;;81;6.26;4;34;;;;;;;
2019;engenharia-mecanica;Universidade Federal de Itajubá;MG;11;Federal;18;29.63;14;40.12;35;7.26;32;6.86;;;1;8;12;18;;;;;;;
2019;engenharia-mecanica;Universidade Presbiteriana Mackenzie;SP;12;Privada;6;34.13;18;35.49;34;7.29;69;5.51;;;153;4.69;12;18;;;;;;;
2019;engenharia-mecanica;Universidade Federal de Uberlândia;MG;13;Federal;49;18;8;51.21;19;7.61;12;7.6;;;1;8;7;28;;;;;;;
2019;engenharia-mecanica;Centro Universitário da Fundação Educacional Inaciana Pe Sabóia de Medeiros;SP;14;Privada;2;35.63;19;32.75;74;6.42;17;7.41;;;301-350;0.92;12;18;;;;;;;
2019;engenharia-mecanica;Universidade Federal de Viçosa;MG;15;Federal;49;18;13;40.95;26;7.46;15;7.49;;;1;8;12;18;;;;;;;
2019;engenharia-mecanica;Universidade Federal de Pernambuco;PE;16;Federal;6;34.13;26;22.45;40;7.15;20;7.3;;;1;8;;;;;;;;;
2019;engenharia-mecanica;Universidade de Brasília;DF;17;Federal;18;29.63;21;23.67;11;7.78;4;7.89;;;1;8;;;;;;;;;
2019;engenharia-mecanica;Universidade do Vale do Rio dos Sinos;RS;18;Privada;6;34.13;53;19.05;29;7.39;60;5.84;;;101;5.82;;;;;;;;;
2019;engenharia-mecanica;Universidade Federal de Goiás;GO;19;Federal;18;29.63;22;23.16;38;7.2;2;7.96;;;1;8;;;;;;;;;
2019;engenharia-mecanica;Universidade Federal do Ceará;CE;20;Federal;18;29.63;23;23;10;7.81;23;7.19;;;1;8;;;;;;;;;
2019;engenharia-mecanica;Universidade Federal do Espírito Santo;ES;21;Federal;18;29.63;24;22.85;37;7.22;11;7.63;;;1;8;;;;;;;;;
2019;engenharia-mecanica;Universidade Federal de Santa Maria;RS;22;Federal;18;29.63;29;22.08;32;7.33;35;6.75;;;1;8;;;;;;;;;
2019;engenharia-mecanica;Universidade Tecnológica Federal do Paraná;PR;23;Federal;18;29.63;32;21.89;56;6.81;26;7.08;;;1;8;;;;;;;;;
2019;engenharia-mecanica;Universidade Estadual de Maringá;PR;24;Estadual;18;29.63;34;21.58;77;6.35;22;7.23;;;1;8;;;;;;;;;
2019;engenharia-mecanica;Pontifícia Universidade Católica do Paraná;PR;25;Privada;6;34.13;67;16.86;92;6.03;25;7.12;;;198;3.71;;;;;;;;;
2019;engenharia-mecanica;Instituto Militar de Engenharia;RJ;26;Federal;;;10;50.63;64;6.63;1;8;;;1;8;7;28;;;;;;;
2019;engenharia-mecanica;Universidade Paulista;SP;27;Privada;2;35.63;106;14.3;131;5.18;123;3.52;;;111;5.6;;;;;;;;;
2019;engenharia-mecanica;Universidade Federal de Mato Grosso;MT;28;Federal;18;29.63;44;20.23;109;5.66;40;6.57;;;1;8;;;;;;;;;
2019;engenharia-mecanica;Universidade Federal da Bahia;BA;29;Federal;18;29.63;46;20.19;72;6.46;63;5.73;;;1;8;;;;;;;;;
