ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2019;engenharia-quimica;Universidade de São Paulo;SP;1;Estadual;1;36;1;63.53;3;7.92;7;7.61;;;1;8;1;40;;;;;;;
2019;engenharia-quimica;Universidade Estadual de Campinas;SP;2;Estadual;2;35.49;2;63.06;14;7.45;7;7.61;;;1;8;1;40;;;;;;;
2019;engenharia-quimica;Universidade Federal de Minas Gerais;MG;3;Federal;2;35.49;4;57.65;8;7.71;2;7.94;;;1;8;4;34;;;;;;;
2019;engenharia-quimica;Universidade Federal do Rio de Janeiro;RJ;4;Federal;5;33.94;3;58.89;4;7.87;16;7.02;;;1;8;3;36;;;;;;;
2019;engenharia-quimica;Universidade Federal de São Carlos;SP;5;Federal;5;33.94;5;57.49;7;7.75;5;7.74;;;1;8;4;34;;;;;;;
2019;engenharia-quimica;Universidade Federal do Rio Grande do Sul;RS;6;Federal;5;33.94;6;52.76;26;6.95;4;7.81;;;1;8;6;30;;;;;;;
2019;engenharia-quimica;Universidade Federal do Paraná;PR;7;Federal;5;33.94;7;52.47;22;7.12;11;7.35;;;1;8;6;30;;;;;;;
2019;engenharia-quimica;Universidade Federal do Ceará;CE;8;Federal;5;33.94;10;46.83;12;7.54;12;7.29;;;1;8;9;24;;;;;;;
2019;engenharia-quimica;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;9;Estadual;2;35.49;15;44.64;2;7.96;6;7.68;;;72;5;9;24;;;;;;;
2019;engenharia-quimica;Universidade Federal de Santa Catarina;SC;10;Federal;20;26.23;8;52.34;28;6.86;9;7.48;;;1;8;6;30;;;;;;;
2019;engenharia-quimica;Universidade do Estado do Rio de Janeiro;RJ;11;Estadual;5;33.94;19;42.61;24;7.03;22;6.63;;;73;4.95;9;24;;;;;;;
2019;engenharia-quimica;Universidade Federal de Viçosa;MG;12;Federal;20;26.23;9;46.88;9;7.66;13;7.22;;;1;8;9;24;;;;;;;
2019;engenharia-quimica;Universidade Federal de Uberlândia;MG;13;Federal;20;26.23;12;45.92;21;7.16;20;6.76;;;1;8;9;24;;;;;;;
2019;engenharia-quimica;Universidade Federal de Santa Maria;RS;14;Federal;20;26.23;13;45.91;29;6.82;15;7.09;;;1;8;9;24;;;;;;;
2019;engenharia-quimica;Universidade Estadual de Maringá;PR;15;Estadual;20;26.23;15;44.64;53;5.81;19;6.83;;;1;8;9;24;;;;;;;
2019;engenharia-quimica;Universidade Federal da Bahia;BA;16;Federal;20;26.23;17;44.62;55;5.73;18;6.89;;;1;8;9;24;;;;;;;
2019;engenharia-quimica;Universidade Federal do Espírito Santo;ES;17;Federal;5;33.94;35;19.87;48;6.02;34;5.85;;;1;8;;;;;;;;;
2019;engenharia-quimica;Universidade do Vale do Rio dos Sinos;RS;18;Privada;5;33.94;36;19.85;15;7.41;14;7.15;;;65;5.29;;;;;;;;;
2019;engenharia-quimica;Pontifícia Universidade Católica do Rio Grande do Sul;RS;19;Privada;5;33.94;54;14.33;52;5.85;28;6.24;;;137;2.24;;;;;;;;;
2019;engenharia-quimica;Universidade Federal de Mato Grosso;MT;20;Federal;5;33.94;56;14.23;43;6.23;;;;;1;8;;;;;;;;;
2019;engenharia-quimica;Universidade de Brasília;DF;21;Federal;20;26.23;21;21.87;13;7.5;26;6.37;;;1;8;;;;;;;;;
2019;engenharia-quimica;Centro Universitário da Fundação Educacional Inaciana Pe Sabóia de Medeiros;SP;22;Privada;5;33.94;57;13.9;34;6.61;23;6.57;;;173;0.72;;;;;;;;;
2019;engenharia-quimica;Universidade Federal do Rio Grande do Norte;RN;23;Federal;20;26.23;25;21.03;19;7.24;35;5.79;;;1;8;;;;;;;;;
2019;engenharia-quimica;Universidade Federal Fluminense;RJ;24;Federal;;;11;46.54;11;7.58;17;6.96;;;1;8;9;24;;;;;;;
2019;engenharia-quimica;Universidade Federal de Pernambuco;PE;25;Federal;20;26.23;32;20.05;33;6.65;41;5.4;;;1;8;;;;;;;;;
2019;engenharia-quimica;Universidade Metodista de Piracicaba;SP;26;Privada;41;15.43;20;30.82;65;5.31;108;1.04;;;179;0.47;9;24;;;;;;;
2019;engenharia-quimica;Centro Universitário do Instituto Mauá de Tecnologia;SP;27;Privada;5;33.94;77;11.86;72;5.01;46;5.07;;;148;1.78;;;;;;;;;
2019;engenharia-quimica;Universidade Federal Rural do Rio de Janeiro;RJ;28;Federal;20;26.23;40;19.49;20;7.2;58;4.29;;;1;8;;;;;;;;;
2019;engenharia-quimica;Instituto Militar de Engenharia;RJ;29;Federal;;;14;45.68;56;5.68;1;8;;;1;8;9;24;;;;;;;
2019;engenharia-quimica;Pontifícia Universidade Católica de Minas Gerais;MG;30;Privada;5;33.94;80;11.73;95;4.04;37;5.66;;;142;2.03;;;;;;;;;
2019;engenharia-quimica;Universidade Federal do Pará;PA;31;Federal;20;26.23;42;19.29;37;6.48;50;4.81;;;1;8;;;;;;;;;
2019;engenharia-quimica;Universidade Federal de Goiás;GO;32;Federal;20;26.23;44;18.89;36;6.53;57;4.36;;;1;8;;;;;;;;;
2019;engenharia-quimica;Universidade Federal de Alagoas;AL;33;Federal;20;26.23;45;18.68;27;6.91;66;3.77;;;1;8;;;;;;;;;
2019;engenharia-quimica;Pontifícia Universidade Católica do Paraná;PR;34;Privada;5;33.94;96;10.28;104;3.66;56;4.42;;;138;2.2;;;;;;;;;
2019;engenharia-quimica;Universidade Federal dos Vales do Jequitinhonha e Mucuri;MG;35;Federal;;;18;43.07;44;6.19;49;4.88;;;1;8;9;24;;;;;;;
2019;engenharia-quimica;Pontifícia Universidade Católica do Rio de Janeiro;RJ;36;Privada;20;26.23;48;16.43;17;7.33;38;5.59;;;107;3.51;;;;;;;;;
2019;engenharia-quimica;Faculdades Oswaldo Cruz;SP;37;Privada;5;33.94;109;8.26;99;3.87;95;1.89;;;131;2.5;;;;;;;;;
2019;engenharia-quimica;Universidade de Caxias do Sul;RS;38;Privada;20;26.23;73;12.16;63;5.39;68;3.64;;;116;3.13;;;;;;;;;
2019;engenharia-quimica;Universidade Federal do Triângulo Mineiro;MG;39;Federal;41;15.43;24;21.44;31;6.74;21;6.7;;;1;8;;;;;;;;;
2019;engenharia-quimica;Universidade Federal de Sergipe;SE;40;Federal;41;15.43;29;20.54;40;6.36;29;6.18;;;1;8;;;;;;;;;
2019;engenharia-quimica;Universidade Federal do Rio Grande;RS;41;Federal;41;15.43;38;19.67;59;5.56;30;6.11;;;1;8;;;;;;;;;
2019;engenharia-quimica;Universidade Federal de Campina Grande;PB;42;Federal;41;15.43;39;19.54;39;6.4;45;5.14;;;1;8;;;;;;;;;
2019;engenharia-quimica;Universidade Federal da Paraíba;PB;43;Federal;41;15.43;43;19.18;18;7.28;64;3.9;;;1;8;;;;;;;;;
2019;engenharia-quimica;Universidade Estácio de Sá;RJ;44;Privada;20;26.23;110;8.2;94;4.08;107;1.11;;;119;3.01;;;;;;;;;
2019;engenharia-quimica;Universidade São Francisco;SP;45;Privada;20;26.23;115;7.68;102;3.75;93;2.02;;;145;1.91;;;;;;;;;
2019;engenharia-quimica;Universidade Católica de Pernambuco;PE;46;Privada;20;26.23;116;7.57;49;5.98;110;0.91;;;174;0.68;;;;;;;;;
2019;engenharia-quimica;Universidade do Sul de Santa Catarina;SC;47;Privada;20;26.23;118;7.48;129;2.61;81;2.8;;;141;2.07;;;;;;;;;
2019;engenharia-quimica;Universidade de Ribeirão Preto;SP;48;Privada;41;15.43;46;17.45;50;5.94;70;3.51;;;1;8;;;;;;;;;
2019;engenharia-quimica;Fundação Universidade do Estado de Santa Catarina;SC;49;Estadual;20;26.23;129;6.49;61;5.47;;;;;166;1.02;;;;;;;;;
2019;engenharia-quimica;Pontifícia Universidade Católica de Campinas;SP;50;Privada;20;26.23;131;6.44;42;6.27;;;;;186;0.17;;;;;;;;;
2019;engenharia-quimica;Universidade Federal do Amazonas;AM;51;Federal;41;15.43;49;16.17;105;3.62;54;4.55;;;1;8;;;;;;;;;
2019;engenharia-quimica;Universidade do Grande Rio Professor José de Souza Herdy;RJ;52;Privada;41;15.43;60;13.24;79;4.72;116;0.52;;;1;8;;;;;;;;;
2019;engenharia-quimica;Universidade Feevale;RS;53;Privada;41;15.43;62;12.91;89;4.3;75;3.19;;;62;5.42;;;;;;;;;
