ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2019;farmacia;Universidade de São Paulo;SP;1;Estadual;1;36;1;61.88;1;8;82;5.88;;;1;8;1;40;;;;;;;
2019;farmacia;Universidade Federal de Minas Gerais;MG;2;Federal;2;35.7;3;61.62;8;7.88;7;7.84;;;1;8;2;37.9;;;;;;;
2019;farmacia;Universidade Estadual de Campinas;SP;3;Estadual;4;35.09;2;61.63;14;7.78;3;7.95;;;1;8;2;37.9;;;;;;;
2019;farmacia;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;4;Estadual;4;35.09;4;57.52;5;7.93;82;5.88;;;128;5.81;2;37.9;;;;;;;
2019;farmacia;Universidade Federal do Rio Grande do Sul;RS;5;Federal;9;33.58;5;55.14;7;7.9;14;7.66;;;1;8;5;31.58;;;;;;;
2019;farmacia;Universidade Federal do Rio de Janeiro;RJ;6;Federal;4;35.09;6;53.51;10;7.84;74;6.09;;;1;8;5;31.58;;;;;;;
2019;farmacia;Universidade de Brasília;DF;7;Federal;9;33.58;7;50.1;20;7.67;37;7.06;;;1;8;7;27.37;;;;;;;
2019;farmacia;Universidade Federal de Santa Catarina;SC;8;Federal;9;33.58;10;48.78;16;7.74;90;5.67;;;1;8;7;27.37;;;;;;;
2019;farmacia;Universidade Federal de Ouro Preto;MG;9;Federal;26;28.44;9;49.87;27;7.55;41;6.95;;;1;8;7;27.37;;;;;;;
2019;farmacia;Universidade Federal do Paraná;PR;10;Federal;9;33.58;11;42.21;9;7.86;24;7.4;;;1;8;11;18.95;;;;;;;
2019;farmacia;Universidade Federal de Pernambuco;PE;11;Federal;9;33.58;13;41.93;19;7.69;28;7.29;;;1;8;11;18.95;;;;;;;
2019;farmacia;Universidade Federal de Santa Maria;RS;12;Federal;26;28.44;12;42.14;18;7.71;21;7.48;;;1;8;11;18.95;;;;;;;
2019;farmacia;Universidade Federal de Juiz de Fora;MG;13;Federal;26;28.44;14;41.71;41;7.31;22;7.45;;;1;8;11;18.95;;;;;;;
2019;farmacia;Universidade Estadual de Maringá;PR;14;Estadual;26;28.44;15;41.51;33;7.45;35;7.11;;;1;8;11;18.95;;;;;;;
2019;farmacia;Universidade Estadual de Londrina;PR;15;Estadual;26;28.44;16;41.39;38;7.36;36;7.08;;;1;8;11;18.95;;;;;;;
2019;farmacia;Universidade Paulista;SP;16;Privada;2;35.7;19;34.09;201-250;4.35;85;5.8;;;175;4.99;11;18.95;;;;;;;
2019;farmacia;Universidade Federal de Alfenas;MG;17;Federal;26;28.44;17;40.59;28;7.53;73;6.11;;;1;8;11;18.95;;;;;;;
2019;farmacia;Universidade Federal de São Paulo;SP;18;Federal;73;14.22;8;49.9;4;7.95;55;6.58;;;1;8;7;27.37;;;;;;;
2019;farmacia;Pontifícia Universidade Católica do Rio Grande do Sul;RS;19;Privada;26;28.44;18;35.1;30;7.5;102;5.35;;;251-300;3.3;11;18.95;;;;;;;
2019;farmacia;Universidade Federal da Bahia;BA;20;Federal;4;35.09;25;22.78;64;6.91;6;7.87;;;1;8;;;;;;;;;
2019;farmacia;Universidade Federal do Ceará;CE;21;Federal;9;33.58;21;23.64;17;7.72;4;7.92;;;1;8;;;;;;;;;
2019;farmacia;Universidade Federal de Goiás;GO;22;Federal;9;33.58;22;23.26;29;7.52;11;7.74;;;1;8;;;;;;;;;
2019;farmacia;Universidade Federal Fluminense;RJ;23;Federal;9;33.58;24;22.84;26;7.57;29;7.27;;;1;8;;;;;;;;;
2019;farmacia;Universidade Federal do Espírito Santo;ES;24;Federal;9;33.58;31;22.17;36;7.4;48;6.77;;;1;8;;;;;;;;;
2019;farmacia;Universidade Federal do Rio Grande do Norte;RN;25;Federal;9;33.58;34;21.8;51;7.14;52;6.66;;;1;8;;;;;;;;;
2019;farmacia;Universidade do Vale do Rio dos Sinos;RS;26;Privada;9;33.58;50;19.89;22;7.64;26;7.34;;;180;4.91;;;;;;;;;
2019;farmacia;Centro Universitário Una;MG;27;Privada;9;33.58;62;17.9;115;6.03;49;6.74;;;167;5.13;;;;;;;;;
2019;farmacia;Universidade Estadual de Ponta Grossa;PR;28;Estadual;26;28.44;23;22.9;59;7;5;7.9;;;1;8;;;;;;;;;
2019;farmacia;Universidade do Oeste Paulista;SP;29;Privada;9;33.58;66;17.68;70;6.81;98;5.46;;;151;5.41;;;;;;;;;
2019;farmacia;Universidade Federal do Piauí;PI;30;Federal;26;28.44;26;22.76;73;6.76;1;8;;;1;8;;;;;;;;;
2019;farmacia;Universidade Federal da Paraíba;PB;31;Federal;26;28.44;27;22.56;34;7.43;34;7.13;;;1;8;;;;;;;;;
2019;farmacia;Universidade Estadual do Oeste do Paraná;PR;32;Estadual;26;28.44;32;21.85;92;6.43;23;7.42;;;1;8;;;;;;;;;
2019;farmacia;Fundação Universidade Federal do Vale do São Francisco;PE;33;Federal;26;28.44;39;21.35;91;6.45;43;6.9;;;1;8;;;;;;;;;
2019;farmacia;Universidade de Fortaleza;CE;34;Privada;9;33.58;86;16.02;61;6.96;100;5.4;;;251-300;3.66;;;;;;;;;
2019;farmacia;Universidade Federal de Alagoas;AL;35;Federal;26;28.44;41;20.93;47;7.21;88;5.72;;;1;8;;;;;;;;;
2019;farmacia;Universidade Nove de Julho;SP;36;Privada;9;33.58;94;15.65;84;6.57;137;4.43;;;195;4.65;;;;;;;;;
2019;farmacia;Universidade do Estado da Bahia;BA;37;Estadual;26;28.44;44;20.31;192;4.7;16;7.61;;;1;8;;;;;;;;;
2019;farmacia;Universidade Estadual de Feira de Santana;BA;38;Estadual;26;28.44;46;20.12;189;4.75;25;7.37;;;1;8;;;;;;;;;
2019;farmacia;Universidade Federal de Campina Grande;PB;39;Federal;26;28.44;49;19.91;48;7.19;126;4.72;;;1;8;;;;;;;;;
2019;farmacia;Universidade Federal do Pará;PA;40;Federal;26;28.44;59;18.25;21;7.65;201-250;2.6;;;1;8;;;;;;;;;
2019;farmacia;Universidade Estácio de Sá;RJ;41;Privada;4;35.09;195;11.47;136;5.67;161;3.8;;;301-350;2;;;;;;;;;
2019;farmacia;Universidade de Ribeirão Preto;SP;42;Privada;26;28.44;69;17.5;37;7.38;141;4.33;;;129;5.79;;;;;;;;;
2019;farmacia;Pontifícia Universidade Católica de Campinas;SP;43;Privada;9;33.58;169;12.15;86;6.53;105;5.27;;;401-500;0.35;;;;;;;;;
2019;farmacia;Universidade do Grande Rio Professor José de Souza Herdy;RJ;44;Privada;26;28.44;73;17.19;120;5.94;182;3.25;;;1;8;;;;;;;;;
2019;farmacia;Universidade Católica de Brasília;DF;45;Privada;26;28.44;76;16.63;251-300;3.65;116;4.98;;;1;8;;;;;;;;;
2019;farmacia;Centro Universitário Newton Paiva;MG;46;Privada;26;28.44;77;16.59;102;6.26;67;6.27;;;201-250;4.06;;;;;;;;;
2019;farmacia;Universidade de Caxias do Sul;RS;47;Privada;26;28.44;84;16.17;105;6.2;51;6.69;;;251-300;3.28;;;;;;;;;
2019;farmacia;Universidade Presbiteriana Mackenzie;SP;48;Privada;26;28.44;90;15.84;35;7.41;39;7;;;351-400;1.43;;;;;;;;;
2019;farmacia;Universidade Regional do Noroeste do Estado do Rio Grande do Sul;RS;49;Privada;26;28.44;92;15.78;145;5.51;93;5.59;;;193;4.68;;;;;;;;;
