ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição PP;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em Permanência dos alunos;Nota em Permanência dos alunos;Posição em avaliação dos docentes;Nota em avaliação dos docentes
2023;filosofia;Universidade de São Paulo;SP;1;Estadual;1;36;1;62.1;1;8;35;6.1;;;1;8;1;40;;;;;;;
2023;filosofia;Universidade Estadual de Campinas;SP;2;Estadual;2;35.39;2;61.53;23;6.77;2;7.94;;;1;8;2;38.82;;;;;;;
2023;filosofia;Pontifícia Universidade Católica de São Paulo;SP;3;Privada;2;35.39;6;56.33;51;5.2;46;5.48;;;1;8;3;37.65;;;;;;;
2023;filosofia;Universidade Federal de Minas Gerais;MG;4;Federal;11;29.9;3;60.7;13;7.33;6;7.72;;;1;8;3;37.65;;;;;;;
2023;filosofia;Universidade Federal do Rio Grande do Sul;RS;5;Federal;11;29.9;4;59.63;29;6.43;9;7.55;;;1;8;3;37.65;;;;;;;
2023;filosofia;Universidade Federal do Rio de Janeiro;RJ;6;Federal;11;29.9;5;59.47;17;7.11;24;6.71;;;1;8;3;37.65;;;;;;;
2023;filosofia;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;7;Estadual;2;35.39;9;53.81;1;8;36;6.04;;;1;8;8;31.77;;;;;;;
2023;filosofia;Universidade Federal de Santa Catarina;SC;8;Federal;11;29.9;7;55.04;1;8;14;7.27;;;1;8;8;31.77;;;;;;;
2023;filosofia;Universidade Federal Fluminense;RJ;9;Federal;11;29.9;10;53.53;26;6.6;16;7.16;;;1;8;8;31.77;;;;;;;
2023;filosofia;Universidade Federal do Piauí;PI;10;Federal;11;29.9;13;51.52;100;2.46;83;3.41;;;1;8;3;37.65;;;;;;;
2023;filosofia;Universidade Federal de Pernambuco;PE;11;Federal;11;29.9;14;50.8;59;4.76;32;6.27;;;1;8;8;31.77;;;;;;;
2023;filosofia;Pontifícia Universidade Católica do Rio Grande do Sul;RS;12;Privada;11;29.9;16;46.31;28;6.49;43;5.65;;;99;2.4;8;31.77;;;;;;;
2023;filosofia;Pontifícia Universidade Católica do Rio de Janeiro;RJ;13;Privada;11;29.9;17;44.49;15;7.22;59;4.76;;;128;0.74;8;31.77;;;;;;;
