ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2019;fisica;Universidade de São Paulo;SP;1;Estadual;1;36;1;61.21;4;7.83;42;5.38;;;1;8;1;40;;;;;;;
2019;fisica;Universidade Estadual de Campinas;SP;2;Estadual;2;35.51;2;59.72;15;7.22;19;6.85;;;1;8;2;37.65;;;;;;;
2019;fisica;Universidade Federal do Rio de Janeiro;RJ;3;Federal;2;35.51;3;57.24;8;7.61;27;6.34;;;1;8;3;35.29;;;;;;;
2019;fisica;Universidade Federal de Minas Gerais;MG;4;Federal;5;34.03;5;55.8;9;7.56;12;7.3;;;1;8;4;32.94;;;;;;;
2019;fisica;Universidade Federal do Rio Grande do Sul;RS;5;Federal;14;29.59;4;55.85;16;7.17;5;7.74;;;1;8;4;32.94;;;;;;;
2019;fisica;Universidade Federal de São Carlos;SP;6;Federal;8;32.55;6;49.2;13;7.33;38;5.63;;;1;8;6;28.24;;;;;;;
2019;fisica;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;7;Estadual;2;35.51;11;42.63;6;7.72;42;5.38;;;121;1.29;6;28.24;;;;;;;
2019;fisica;Universidade Federal do Ceará;CE;8;Federal;8;32.55;8;45.43;10;7.5;26;6.4;;;1;8;8;23.53;;;;;;;
2019;fisica;Universidade Federal de Pernambuco;PE;9;Federal;8;32.55;10;42.86;62;4.61;21;6.72;;;1;8;8;23.53;;;;;;;
2019;fisica;Universidade Federal de Santa Catarina;SC;10;Federal;14;29.59;9;44;30;6.39;31;6.08;;;1;8;8;23.53;;;;;;;
2019;fisica;Pontifícia Universidade Católica do Rio de Janeiro;RJ;11;Privada;14;29.59;12;41.04;1;8;1;8;;;117;1.51;8;23.53;;;;;;;
2019;fisica;Universidade Federal do Paraná;PR;12;Federal;8;32.55;15;32.87;29;6.44;22;6.66;;;1;8;13;11.77;;;;;;;
2019;fisica;Universidade de Brasília;DF;13;Federal;14;29.59;14;33.3;19;7;24;6.53;;;1;8;13;11.77;;;;;;;
2019;fisica;Fundação Universidade Federal do ABC;SP;14;Federal;61;6.41;7;47.4;1;8;3;7.87;;;1;8;8;23.53;;;;;;;
2019;fisica;Universidade Federal Fluminense;RJ;15;Federal;5;34.03;28;19.32;23;6.78;55;4.54;;;1;8;;;;;;;;;
2019;fisica;Universidade Federal de Viçosa;MG;16;Federal;36;18.74;13;33.98;17;7.11;15;7.1;;;1;8;13;11.77;;;;;;;
2019;fisica;Pontifícia Universidade Católica do Rio Grande do Sul;RS;17;Privada;14;29.59;18;22.14;45;5.56;63;4.03;;;130;0.78;13;11.77;;;;;;;
2019;fisica;Universidade do Vale do Rio dos Sinos;RS;18;Privada;14;29.59;20;21.84;26;6.61;13;7.23;;;1;8;;;;;;;;;
2019;fisica;Universidade Federal de Santa Maria;RS;19;Federal;36;18.74;16;32.53;18;7.06;37;5.7;;;1;8;13;11.77;;;;;;;
2019;fisica;Universidade Federal da Bahia;BA;20;Federal;8;32.55;49;16.47;57;4.89;70;3.58;;;1;8;;;;;;;;;
2019;fisica;Universidade Estadual de Londrina;PR;21;Estadual;14;29.59;32;18.93;38;5.94;48;4.99;;;1;8;;;;;;;;;
2019;fisica;Universidade Federal do Espírito Santo;ES;22;Federal;14;29.59;37;18.29;37;6;59;4.29;;;1;8;;;;;;;;;
2019;fisica;Pontifícia Universidade Católica de São Paulo;SP;23;Privada;8;32.55;62;15.28;14;7.28;;;;;1;8;;;;;;;;;
2019;fisica;Universidade Federal de Goiás;GO;24;Federal;14;29.59;38;17.7;50;5.28;57;4.42;;;1;8;;;;;;;;;
2019;fisica;Universidade Federal do Rio Grande do Norte;RN;25;Federal;14;29.59;39;17.47;31;6.33;77;3.14;;;1;8;;;;;;;;;
2019;fisica;Universidade Federal de Alagoas;AL;26;Federal;14;29.59;48;16.49;44;5.61;81;2.88;;;1;8;;;;;;;;;
2019;fisica;Universidade Federal da Paraíba;PB;27;Federal;14;29.59;54;15.9;35;6.11;98;1.79;;;1;8;;;;;;;;;
2019;fisica;Universidade Federal de Sergipe;SE;28;Federal;14;29.59;63;15.28;36;6.06;107;1.22;;;1;8;;;;;;;;;
2019;fisica;Universidade Federal do Pará;PA;29;Federal;14;29.59;67;14.76;66;4.39;89;2.37;;;1;8;;;;;;;;;
2019;fisica;Universidade do Estado do Rio de Janeiro;RJ;30;Estadual;5;34.03;110;10.2;24;6.72;104;1.41;;;107;2.07;;;;;;;;;
2019;fisica;Universidade Estadual do Ceará;CE;31;Estadual;14;29.59;77;13.97;79;3.67;90;2.3;;;1;8;;;;;;;;;
