ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2019;fisioterapia;Universidade de São Paulo;SP;1;Estadual;1;36;1;62.23;3;7.97;86;6.26;;;1;8;1;40;;;;;;;
2019;fisioterapia;Universidade Federal de Minas Gerais;MG;2;Federal;1;36;3;61.54;9;7.88;40;7.2;;;1;8;2;38.46;;;;;;;
2019;fisioterapia;Universidade de Brasília;DF;3;Federal;5;34.38;6;58.83;18;7.75;16;7.69;;;1;8;4;35.39;;;;;;;
2019;fisioterapia;Universidade Federal de São Carlos;SP;4;Federal;18;29.12;2;62.02;11;7.85;15;7.71;;;1;8;2;38.46;;;;;;;
2019;fisioterapia;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;5;Estadual;5;34.38;8;55.31;19;7.74;86;6.26;;;142;5.92;4;35.39;;;;;;;
2019;fisioterapia;Universidade Federal do Rio Grande do Sul;RS;6;Federal;18;29.12;4;59.3;7;7.91;1;8;;;1;8;4;35.39;;;;;;;
2019;fisioterapia;Universidade Federal do Rio de Janeiro;RJ;7;Federal;1;36;9;51.17;16;7.78;;;;;1;8;4;35.39;;;;;;;
2019;fisioterapia;Universidade Federal de Pernambuco;PE;8;Federal;5;34.38;11;49.42;24;7.66;20;7.61;;;1;8;10;26.15;;;;;;;
2019;fisioterapia;Universidade Federal do Rio Grande do Norte;RN;9;Federal;5;34.38;13;49.07;51;7.27;18;7.65;;;1;8;10;26.15;;;;;;;
2019;fisioterapia;Universidade Federal de Santa Catarina;SC;10;Federal;5;34.38;14;48.33;77;6.88;35;7.3;;;1;8;10;26.15;;;;;;;
2019;fisioterapia;Universidade Nove de Julho;SP;11;Privada;5;34.38;17;44.77;57;7.18;100;5.97;;;173;5.47;10;26.15;;;;;;;
2019;fisioterapia;Universidade Federal de Santa Maria;RS;12;Federal;18;29.12;12;49.28;38;7.46;17;7.67;;;1;8;10;26.15;;;;;;;
2019;fisioterapia;Pontifícia Universidade Católica de Minas Gerais;MG;13;Privada;5;34.38;19;43.53;120;6.25;55;6.89;;;251-300;4.24;10;26.15;;;;;;;
2019;fisioterapia;Universidade Federal de Uberlândia;MG;14;Federal;18;29.12;15;48.24;10;7.87;88;6.22;;;1;8;10;26.15;;;;;;;
2019;fisioterapia;Universidade Estadual de Londrina;PR;15;Estadual;18;29.12;16;47.91;29;7.59;90;6.17;;;1;8;10;26.15;;;;;;;
2019;fisioterapia;Universidade de Ribeirão Preto;SP;16;Privada;18;29.12;20;43.28;52;7.25;186;4.21;;;159;5.67;10;26.15;;;;;;;
2019;fisioterapia;Fundação Universidade do Estado de Santa Catarina;SC;17;Estadual;18;29.12;23;42.33;78;6.87;1;8;;;401-500;1.31;10;26.15;;;;;;;
2019;fisioterapia;Pontifícia Universidade Católica do Paraná;PR;18;Privada;18;29.12;25;40.16;183;5.33;127;5.42;;;301-350;3.26;10;26.15;;;;;;;
2019;fisioterapia;Universidade Federal de São Paulo;SP;19;Federal;;;5;59.12;4;7.96;12;7.77;;;1;8;4;35.39;;;;;;;
2019;fisioterapia;Universidade Federal do Triângulo Mineiro;MG;20;Federal;;;7;58.11;17;7.77;52;6.95;;;1;8;4;35.39;;;;;;;
2019;fisioterapia;Universidade Federal do Pará;PA;21;Federal;5;34.38;31;22.84;28;7.6;38;7.24;;;1;8;;;;;;;;;
2019;fisioterapia;Universidade Federal da Bahia;BA;22;Federal;5;34.38;36;22.06;96;6.61;28;7.45;;;1;8;;;;;;;;;
2019;fisioterapia;Universidade Federal do Ceará;CE;23;Federal;18;29.12;28;23.36;42;7.4;3;7.96;;;1;8;;;;;;;;;
2019;fisioterapia;Universidade Federal de Juiz de Fora;MG;24;Federal;18;29.12;30;23.13;56;7.19;4;7.94;;;1;8;;;;;;;;;
