ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2019;geografia;Universidade de São Paulo;SP;1;Estadual;1;36;1;60.57;1;8;61;4.57;;;1;8;1;40;;;;;;;
2019;geografia;Universidade Federal do Rio de Janeiro;RJ;2;Federal;2;35.59;2;58.8;6;7.76;56;4.86;;;1;8;2;38.18;;;;;;;
2019;geografia;Universidade Estadual de Campinas;SP;3;Estadual;2;35.59;3;57.1;11;7.52;18;7.03;;;1;8;4;34.55;;;;;;;
2019;geografia;Universidade Federal de Minas Gerais;MG;4;Federal;6;33.96;4;55.96;4;7.86;12;7.37;;;1;8;5;32.73;;;;;;;
2019;geografia;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;5;Estadual;2;35.59;9;54.14;3;7.9;61;4.57;;;94;3.49;2;38.18;;;;;;;
2019;geografia;Universidade Federal Fluminense;RJ;6;Federal;6;33.96;5;55.7;8;7.66;13;7.31;;;1;8;5;32.73;;;;;;;
2019;geografia;Universidade Federal do Paraná;PR;7;Federal;12;31.5;5;55.7;21;7.03;2;7.94;;;1;8;5;32.73;;;;;;;
2019;geografia;Universidade Federal do Rio Grande do Sul;RS;8;Federal;12;31.5;7;54.75;17;7.22;22;6.8;;;1;8;5;32.73;;;;;;;
2019;geografia;Universidade de Brasília;DF;9;Federal;12;31.5;8;54.29;23;6.93;25;6.63;;;1;8;5;32.73;;;;;;;
2019;geografia;Pontifícia Universidade Católica de São Paulo;SP;10;Privada;6;33.96;12;49.85;13;7.42;7;7.66;;;124;2.04;5;32.73;;;;;;;
2019;geografia;Universidade Federal de Santa Catarina;SC;11;Federal;26;25.77;11;50.78;40;6.11;72;3.94;;;1;8;5;32.73;;;;;;;
2019;geografia;Universidade Federal do Ceará;CE;12;Federal;6;33.96;14;38.65;16;7.27;50;5.2;;;1;8;13;18.18;;;;;;;
2019;geografia;Universidade Federal de Pernambuco;PE;13;Federal;6;33.96;17;35.59;31;6.55;91;2.86;;;1;8;13;18.18;;;;;;;
2019;geografia;Universidade Federal de Goiás;GO;14;Federal;12;31.5;16;36.24;48;5.72;65;4.34;;;1;8;13;18.18;;;;;;;
2019;geografia;Universidade Federal de Uberlândia;MG;15;Federal;57;13.09;10;52.95;20;7.08;51;5.14;;;1;8;5;32.73;;;;;;;
2019;geografia;Universidade do Estado do Rio de Janeiro;RJ;16;Estadual;2;35.59;21;30.01;22;6.98;119;1.26;;;92;3.59;13;18.18;;;;;;;
2019;geografia;Universidade Federal do Pará;PA;17;Federal;12;31.5;19;33.02;71;4.61;102;2.23;;;1;8;13;18.18;;;;;;;
2019;geografia;Universidade Federal do Rio Grande do Norte;RN;18;Federal;26;25.77;13;38.68;32;6.5;36;6;;;1;8;13;18.18;;;;;;;
2019;geografia;Universidade Estadual de Maringá;PR;19;Estadual;26;25.77;15;37.79;42;6.01;43;5.6;;;1;8;13;18.18;;;;;;;
2019;geografia;Pontifícia Universidade Católica do Rio Grande do Sul;RS;20;Privada;26;25.77;20;31.06;36;6.3;58;4.74;;;128;1.84;13;18.18;;;;;;;
2019;geografia;Universidade Federal de São Carlos;SP;21;Federal;12;31.5;23;23.84;2;7.95;3;7.89;;;1;8;;;;;;;;;
2019;geografia;Universidade Federal de Mato Grosso do Sul;MS;22;Federal;26;25.77;22;28.92;58;5.24;94;2.69;;;108;2.81;13;18.18;;;;;;;
2019;geografia;Universidade Estadual de Londrina;PR;23;Estadual;12;31.5;28;21.3;26;6.79;27;6.51;;;1;8;;;;;;;;;
2019;geografia;Universidade Federal da Bahia;BA;24;Federal;12;31.5;43;19.43;74;4.46;19;6.97;;;1;8;;;;;;;;;
2019;geografia;Universidade Federal do Piauí;PI;25;Federal;12;31.5;50;18.11;99;3.25;21;6.86;;;1;8;;;;;;;;;
2019;geografia;Universidade Federal de Viçosa;MG;26;Federal;26;25.77;24;23.04;9;7.61;11;7.43;;;1;8;;;;;;;;;
2019;geografia;Universidade Federal Rural do Rio de Janeiro;RJ;27;Federal;26;25.77;25;22.47;10;7.56;20;6.91;;;1;8;;;;;;;;;
2019;geografia;Universidade Federal de Santa Maria;RS;28;Federal;26;25.77;27;21.55;15;7.32;32;6.23;;;1;8;;;;;;;;;
