ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2019;historia;Universidade Estadual de Campinas;SP;1;Estadual;2;35.68;1;61.15;32;7.04;3;7.93;;;1;8;2;38.18;;;;;;;
2019;historia;Universidade de São Paulo;SP;2;Estadual;1;36;4;59.53;1;8;124;3.53;;;1;8;1;40;;;;;;;
2019;historia;Universidade Federal do Rio de Janeiro;RJ;3;Federal;2;35.68;3;59.61;10;7.72;14;7.53;;;1;8;3;36.36;;;;;;;
2019;historia;Universidade Federal de Minas Gerais;MG;4;Federal;6;34.42;2;59.88;12;7.66;5;7.86;;;1;8;3;36.36;;;;;;;
2019;historia;Universidade Federal Fluminense;RJ;5;Federal;6;34.42;5;58.39;13;7.63;45;6.4;;;1;8;3;36.36;;;;;;;
2019;historia;Universidade de Brasília;DF;6;Federal;10;33.16;6;54.1;20;7.41;7;7.78;;;1;8;6;30.91;;;;;;;
2019;historia;Pontifícia Universidade Católica de São Paulo;SP;7;Privada;6;34.42;8;48.85;15;7.57;65;5.67;;;107;4.7;6;30.91;;;;;;;
2019;historia;Universidade Federal do Rio Grande do Sul;RS;8;Federal;17;30.95;7;52.05;23;7.32;61;5.82;;;1;8;6;30.91;;;;;;;
2019;historia;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;9;Estadual;2;35.68;11;46.7;9;7.75;124;3.53;;;113;4.51;6;30.91;;;;;;;
2019;historia;Universidade Federal de Pernambuco;PE;10;Federal;10;33.16;12;45.85;46;6.61;12;7.6;;;1;8;10;23.64;;;;;;;
