ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2019;letras;Universidade de São Paulo;SP;1;Estadual;1;36;1;62.25;1;8;70;6.25;;;1;8;1;40;;;;;;;
2019;letras;Universidade Estadual de Campinas;SP;2;Estadual;2;35.72;2;61.05;24;7.55;12;7.72;;;1;8;2;37.78;;;;;;;
2019;letras;Universidade Federal de Minas Gerais;MG;3;Federal;6;34.58;3;60.73;8;7.86;37;7.09;;;1;8;2;37.78;;;;;;;
2019;letras;Universidade Federal do Rio de Janeiro;RJ;4;Federal;2;35.72;4;59.35;14;7.75;87;5.82;;;1;8;2;37.78;;;;;;;
2019;letras;Universidade Federal Fluminense;RJ;5;Federal;6;34.58;6;53.67;9;7.85;52;6.71;;;1;8;5;31.11;;;;;;;
2019;letras;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;6;Estadual;2;35.72;9;50.26;4;7.94;70;6.25;;;156;4.96;5;31.11;;;;;;;
2019;letras;Universidade do Estado do Rio de Janeiro;RJ;7;Estadual;2;35.72;10;49.94;7;7.88;95;5.62;;;137;5.33;5;31.11;;;;;;;
2019;letras;Pontifícia Universidade Católica de São Paulo;SP;8;Privada;6;34.58;8;50.54;39;7.26;34;7.17;;;154;5;5;31.11;;;;;;;
2019;letras;Universidade Federal do Rio Grande do Sul;RS;9;Federal;21;30.33;5;54.7;17;7.69;5;7.9;;;1;8;5;31.11;;;;;;;
2019;letras;Universidade de Brasília;DF;10;Federal;21;30.33;7;51.75;42;7.2;102;5.44;;;1;8;5;31.11;;;;;;;
2019;letras;Pontifícia Universidade Católica do Rio Grande do Sul;RS;11;Privada;21;30.33;11;47.39;38;7.28;66;6.35;;;251-300;2.65;5;31.11;;;;;;;
2019;letras;Universidade Federal do Ceará;CE;12;Federal;12;32.88;12;38.98;19;7.65;10;7.77;;;1;8;12;15.56;;;;;;;
2019;letras;Universidade Federal da Bahia;BA;13;Federal;12;32.88;13;37.48;51;7.03;45;6.89;;;1;8;12;15.56;;;;;;;
2019;letras;Universidade Federal do Rio Grande do Norte;RN;14;Federal;21;30.33;14;37.36;53;6.99;48;6.81;;;1;8;12;15.56;;;;;;;
2019;letras;Universidade Federal de Santa Catarina;SC;15;Federal;21;30.33;15;36.64;34;7.36;91;5.72;;;1;8;12;15.56;;;;;;;
2019;letras;Universidade Federal de Goiás;GO;16;Federal;12;32.88;17;33.98;102;6.04;144;4.38;;;1;8;12;15.56;;;;;;;
2019;letras;Universidade Federal de Pernambuco;PE;17;Federal;6;34.58;33;22.1;70;6.66;23;7.44;;;1;8;;;;;;;;;
2019;letras;Universidade Federal de Uberlândia;MG;18;Federal;62;18.71;16;36.33;37;7.3;101;5.47;;;1;8;12;15.56;;;;;;;
