ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2019;matematica;Universidade de São Paulo;SP;1;Estadual;1;36;1;62.4;6;7.86;42;6.54;;;1;8;1;40;;;;;;;
2019;matematica;Universidade Estadual de Campinas;SP;2;Estadual;2;35.68;2;61.47;11;7.72;8;7.75;;;1;8;2;38;;;;;;;
2019;matematica;Universidade Federal do Rio de Janeiro;RJ;3;Federal;2;35.68;3;58.77;9;7.77;29;7;;;1;8;3;36;;;;;;;
2019;matematica;Universidade Federal de Minas Gerais;MG;4;Federal;6;34.38;4;57.47;10;7.75;9;7.72;;;1;8;4;34;;;;;;;
2019;matematica;Universidade Federal do Rio Grande do Sul;RS;5;Federal;14;31.78;5;57.12;16;7.58;14;7.54;;;1;8;4;34;;;;;;;
2019;matematica;Universidade Federal de Santa Catarina;SC;6;Federal;14;31.78;6;56.79;26;7.29;15;7.5;;;1;8;4;34;;;;;;;
2019;matematica;Universidade Federal de São Carlos;SP;7;Federal;14;31.78;7;56.66;12;7.69;30;6.97;;;1;8;4;34;;;;;;;
2019;matematica;Universidade de Brasília;DF;8;Federal;14;31.78;8;55.79;15;7.6;52;6.19;;;1;8;4;34;;;;;;;
2019;matematica;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;9;Estadual;4;35.03;10;52.01;8;7.8;42;6.54;;;153;3.67;4;34;;;;;;;
2019;matematica;Pontifícia Universidade Católica do Rio de Janeiro;RJ;10;Privada;14;31.78;9;53.24;1;8;26;7.11;;;137;4.13;4;34;;;;;;;
2019;matematica;Universidade Federal Fluminense;RJ;11;Federal;6;34.38;15;41.75;20;7.46;49;6.29;;;1;8;11;20;;;;;;;
2019;matematica;Universidade Federal do Ceará;CE;12;Federal;6;34.38;17;40.92;22;7.41;71;5.51;;;1;8;11;20;;;;;;;
2019;matematica;Universidade Federal do Paraná;PR;13;Federal;14;31.78;14;42.1;18;7.52;41;6.58;;;1;8;11;20;;;;;;;
2019;matematica;Universidade Estadual de Londrina;PR;14;Estadual;27;27.57;16;41.58;25;7.32;50;6.26;;;1;8;11;20;;;;;;;
2019;matematica;Universidade Estadual de Maringá;PR;15;Estadual;27;27.57;18;40.87;35;7.04;62;5.83;;;1;8;11;20;;;;;;;
2019;matematica;Universidade Presbiteriana Mackenzie;SP;16;Privada;6;34.38;20;32.45;33;7.1;135;3.24;;;201-250;2.11;11;20;;;;;;;
2019;matematica;Pontifícia Universidade Católica do Paraná;PR;17;Privada;27;27.57;19;35.52;63;6.25;27;7.08;;;201-250;2.19;11;20;;;;;;;
