ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2019;medicina-veterinaria;Universidade de São Paulo;SP;1;Estadual;1;36;1;63.85;1;8;4;7.85;;;1;8;1;40;;;;;;;
2019;medicina-veterinaria;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;2;Estadual;2;35.35;2;60.62;5;7.87;4;7.85;;;93;4.9;1;40;;;;;;;
2019;medicina-veterinaria;Universidade Federal de Minas Gerais;MG;3;Federal;2;35.35;3;59.03;9;7.73;11;7.51;;;1;8;3;35.79;;;;;;;
2019;medicina-veterinaria;Universidade Federal de Viçosa;MG;4;Federal;4;34.04;4;57.28;4;7.9;7;7.7;;;1;8;4;33.68;;;;;;;
2019;medicina-veterinaria;Universidade Federal de Lavras;MG;5;Federal;10;30.11;5;57.26;6;7.83;6;7.75;;;1;8;4;33.68;;;;;;;
2019;medicina-veterinaria;Universidade Federal de Santa Maria;RS;6;Federal;10;30.11;6;56.68;19;7.39;9;7.61;;;1;8;4;33.68;;;;;;;
2019;medicina-veterinaria;Universidade Federal Rural do Rio de Janeiro;RJ;7;Federal;4;34.04;8;49.87;28;7.09;13;7.41;;;1;8;7;27.37;;;;;;;
2019;medicina-veterinaria;Universidade Federal do Rio Grande do Sul;RS;8;Federal;10;30.11;7;50.56;12;7.63;10;7.56;;;1;8;7;27.37;;;;;;;
2019;medicina-veterinaria;Universidade Estadual de Londrina;PR;9;Estadual;10;30.11;10;45.34;36;6.82;14;7.36;;;1;8;9;23.16;;;;;;;
2019;medicina-veterinaria;Universidade Federal de Uberlândia;MG;10;Federal;10;30.11;11;44.81;18;7.43;37;6.22;;;1;8;9;23.16;;;;;;;
2019;medicina-veterinaria;Universidade Federal de Goiás;GO;11;Federal;10;30.11;12;44.5;39;6.72;29;6.62;;;1;8;9;23.16;;;;;;;
2019;medicina-veterinaria;Universidade Federal Fluminense;RJ;12;Federal;4;34.04;15;33.67;16;7.49;8;7.65;;;1;8;15;10.53;;;;;;;
2019;medicina-veterinaria;Universidade Federal do Paraná;PR;13;Federal;4;34.04;16;33.55;14;7.56;12;7.46;;;1;8;15;10.53;;;;;;;
2019;medicina-veterinaria;Fundação Universidade do Estado de Santa Catarina;SC;14;Estadual;10;30.11;13;36.9;86;5.13;22;6.96;;;189;1.65;9;23.16;;;;;;;
2019;medicina-veterinaria;Universidade Federal de Pelotas;RS;15;Federal;24;20.95;9;46.02;10;7.7;18;7.16;;;1;8;9;23.16;;;;;;;
2019;medicina-veterinaria;Pontifícia Universidade Católica do Paraná;PR;16;Privada;10;30.11;14;35.41;103;4.56;90;3.61;;;117;4.08;9;23.16;;;;;;;
2019;medicina-veterinaria;Universidade Anhembi Morumbi;SP;17;Privada;4;34.04;22;22.31;73;5.57;66;4.79;;;196;1.42;15;10.53;;;;;;;
2019;medicina-veterinaria;Universidade de Brasília;DF;18;Federal;10;30.11;24;21.51;25;7.19;35;6.32;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Universidade Estadual do Ceará;CE;19;Estadual;24;20.95;17;29.25;51;6.31;19;7.11;;;81;5.3;15;10.53;;;;;;;
2019;medicina-veterinaria;Universidade Federal Rural de Pernambuco;PE;20;Federal;10;30.11;42;18.86;29;7.06;30;6.57;;;83;5.23;;;;;;;;;
2019;medicina-veterinaria;Universidade Federal da Bahia;BA;21;Federal;10;30.11;44;18.68;74;5.54;59;5.14;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Pontifícia Universidade Católica de Minas Gerais;MG;22;Privada;4;34.04;85;13.35;100;4.66;54;5.38;;;140;3.31;;;;;;;;;
2019;medicina-veterinaria;Universidade Santo Amaro;SP;23;Privada;10;30.11;63;15.23;45;6.52;55;5.33;;;138;3.38;;;;;;;;;
2019;medicina-veterinaria;Universidade Paulista;SP;24;Privada;10;30.11;67;15.01;95;4.83;43;5.93;;;112;4.25;;;;;;;;;
2019;medicina-veterinaria;Universidade Federal de Santa Catarina;SC;25;Federal;24;20.95;20;22.36;48;6.41;2;7.95;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Centro Universitário das Faculdades Metropolitanas Unidas;SP;26;Privada;10;30.11;87;12.79;88;5.06;83;3.95;;;126;3.78;;;;;;;;;
2019;medicina-veterinaria;Universidade Federal de Campina Grande;PB;27;Federal;24;20.95;25;21.48;42;6.62;24;6.86;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Universidade Estadual de Maringá;PR;28;Estadual;24;20.95;27;21.26;34;6.89;34;6.37;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Universidade Federal da Paraíba;PB;29;Federal;24;20.95;32;20.96;21;7.33;49;5.63;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Universidade Federal de Mato Grosso;MT;30;Federal;24;20.95;36;20.57;22;7.29;56;5.28;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Universidade Vila Velha;ES;31;Privada;24;20.95;56;16.24;99;4.69;3;7.9;;;130;3.65;;;;;;;;;
2019;medicina-veterinaria;Universidade José do Rosário Velano;MG;32;Privada;24;20.95;64;15.16;92;4.93;44;5.88;;;109;4.35;;;;;;;;;
2019;medicina-veterinaria;Universidade Luterana do Brasil;RS;33;Privada;24;20.95;71;14.71;114;4.19;47;5.73;;;96;4.79;;;;;;;;;
2019;medicina-veterinaria;Centro Universitário do Planalto Central Apparecido dos Santos;DF;34;Privada;24;20.95;76;14.38;104;4.52;70;4.59;;;82;5.27;;;;;;;;;
2019;medicina-veterinaria;Universidade Tuiuti do Paraná;PR;35;Privada;24;20.95;83;13.58;121;3.95;52;5.48;;;115;4.15;;;;;;;;;
2019;medicina-veterinaria;Universidade de Passo Fundo;RS;36;Privada;24;20.95;98;11.75;96;4.79;61;5.04;;;181;1.92;;;;;;;;;
2019;medicina-veterinaria;Centro Universitário Filadélfia;PR;37;Privada;24;20.95;112;10.68;179;1.99;69;4.64;;;118;4.05;;;;;;;;;
2019;medicina-veterinaria;Faculdades Integradas da Upis;DF;38;Privada;24;20.95;128;9.7;149;3;84;3.9;;;155;2.8;;;;;;;;;
2019;medicina-veterinaria;Universidade Metodista de São Paulo;SP;39;Privada;24;20.95;131;9.52;148;3.04;75;4.35;;;175;2.13;;;;;;;;;
2019;medicina-veterinaria;Universidade Pitágoras Unopar Anhanguera;PR;40;Privada;24;20.95;134;9.41;94;4.86;101;3.06;;;194;1.49;;;;;;;;;
2019;medicina-veterinaria;Universidade Estácio de Sá;RJ;41;Privada;24;20.95;135;9.4;97;4.76;91;3.56;;;201-250;1.08;;;;;;;;;
2019;medicina-veterinaria;Universidade Anhanguera;MS;42;Privada;24;20.95;143;8.91;189;1.65;96;3.31;;;121;3.95;;;;;;;;;
2019;medicina-veterinaria;Universidade São Judas Tadeu;SP;43;Privada;24;20.95;153;8.38;58;6.08;;;;;170;2.3;;;;;;;;;
2019;medicina-veterinaria;Universidade Castelo Branco;RJ;44;Privada;24;20.95;161;7.53;172;2.23;85;3.85;;;195;1.45;;;;;;;;;
2019;medicina-veterinaria;Centro Universitário Presidente Antônio Carlos;MG;45;Privada;24;20.95;169;6.82;170;2.3;92;3.51;;;201-250;1.01;;;;;;;;;
2019;medicina-veterinaria;Universidade Federal de Sergipe;SE;46;Federal;47;5.89;23;21.79;27;7.12;28;6.67;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Centro Universitário de Jaguariúna;SP;47;Privada;24;20.95;184;5.69;201-250;0.61;88;3.7;;;197;1.38;;;;;;;;;
2019;medicina-veterinaria;Universidade Federal de Alagoas;AL;48;Federal;47;5.89;34;20.65;46;6.48;38;6.17;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Universidade Federal Rural do Semi-árido;RN;49;Federal;47;5.89;37;20.01;33;6.92;60;5.09;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Universidade Estadual de Santa Cruz;BA;50;Estadual;47;5.89;41;19.39;35;6.85;71;4.54;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Faculdade Doutor Francisco Maeda;SP;51;Privada;;;18;23.69;70;5.67;77;4.25;;;142;3.24;15;10.53;;;;;;;
2019;medicina-veterinaria;Fundação Universidade Federal do Tocantins;TO;52;Federal;47;5.89;49;17.73;7;7.8;124;1.93;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Universidade Estadual do Norte Fluminense Darcy Ribeiro;RJ;53;Estadual;;;19;22.82;1;8;25;6.82;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Universidade Federal do Espírito Santo;ES;54;Federal;;;21;22.32;23;7.26;20;7.06;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Universidade Federal da Fronteira Sul;SC;55;Federal;;;26;21.47;76;5.47;1;8;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Universidade Estadual do Centro Oeste;PR;56;Estadual;;;28;21.19;55;6.18;21;7.01;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Fundação Universidade Federal do Pampa;RS;57;Federal;;;29;21.14;20;7.36;46;5.78;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Instituto Federal de Educação, Ciência e Tecnologia Catarinense;SC;58;Federal;;;30;21.08;64;5.87;17;7.21;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Universidade Estadual do Norte do Paraná;PR;59;Estadual;;;31;21;68;5.74;16;7.26;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Fundação Universidade Federal do Vale do São Francisco;PE;60;Federal;;;33;20.92;41;6.65;36;6.27;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Universidade Federal do Recôncavo da Bahia;BA;61;Federal;;;35;20.61;56;6.14;32;6.47;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Universidade Federal do Acre;AC;62;Federal;;;38;19.76;71;5.64;39;6.12;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Universidade Federal Rural da Amazônia;PA;63;Federal;;;39;19.62;24;7.22;74;4.4;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Fundação Universidade Federal de Rondônia;RO;64;Federal;;;40;19.48;31;6.99;72;4.49;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Universidade Federal de Mato Grosso do Sul;MS;65;Federal;;;43;18.83;26;7.16;23;6.91;;;97;4.76;;;;;;;;;
2019;medicina-veterinaria;Universidade do Grande Rio Professor José de Souza Herdy;RJ;66;Privada;;;45;18.47;105;4.49;42;5.98;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Instituto Federal de Educação, Ciência e Tecnologia da Paraíba;PB;67;Federal;;;46;18.44;122;3.92;31;6.52;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Centro Universitário Facvest;SC;68;Privada;;;47;18.29;72;5.6;68;4.69;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Universidade Federal do Pará;PA;69;Federal;;;48;18.12;13;7.6;112;2.52;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Universidade Estadual do Maranhão;MA;70;Estadual;47;5.89;95;12.1;145;3.14;80;4.1;;;94;4.86;;;;;;;;;
2019;medicina-veterinaria;Universidade Federal do Piauí;PI;71;Federal;;;50;17.63;80;5.33;76;4.3;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Universidade Cesumar;PR;72;Privada;;;51;17.16;82;5.27;27;6.72;;;85;5.17;;;;;;;;;
2019;medicina-veterinaria;Centro Universitário Católico Salesiano Auxilium;SP;73;Privada;;;52;17.07;87;5.1;15;7.31;;;100;4.66;;;;;;;;;
2019;medicina-veterinaria;Faculdade de Ciências Sociais e Agrárias de Itapeva;SP;74;Privada;;;53;16.96;15;7.53;134;1.43;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Universidade de Marília;SP;75;Privada;;;54;16.94;61;5.98;45;5.83;;;86;5.13;;;;;;;;;
2019;medicina-veterinaria;Instituto Federal de Educação, Ciência e Tecnologia do Norte de Minas Gerais;MG;76;Federal;;;55;16.41;59;6.04;115;2.37;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Universidade Estadual de Goiás;GO;77;Estadual;;;57;16;1;8;;;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Universidade Federal de Juiz de Fora;MG;78;Federal;;;58;15.76;8;7.76;;;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Centro Universitário de Valença;RJ;79;Privada;;;59;15.73;79;5.37;51;5.53;;;95;4.83;;;;;;;;;
2019;medicina-veterinaria;Centro Universitário Ingá;PR;80;Privada;;;60;15.47;81;5.3;119;2.17;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Faculdade Meridional;RS;81;Privada;;;61;15.46;17;7.46;;;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Universidade de Cuiabá;MT;82;Privada;;;62;15.24;115;4.15;26;6.77;;;110;4.32;;;;;;;;;
2019;medicina-veterinaria;Faculdade de Ensino Superior e Formação Integral;SP;83;Privada;;;65;15.05;152;2.9;79;4.15;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Centro Universitário Brasília do Estado de Goiás;GO;84;Privada;;;66;15.02;30;7.02;;;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Universidade Cruzeiro do Sul;SP;85;Privada;;;68;14.83;11;7.66;63;4.94;;;172;2.23;;;;;;;;;
2019;medicina-veterinaria;Faculdade de Enfermagem Nova Esperança;PB;86;Privada;;;69;14.79;37;6.79;;;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais;MG;87;Federal;;;70;14.75;38;6.75;;;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Universidade do Oeste Paulista;SP;88;Privada;;;72;14.69;83;5.23;57;5.24;;;113;4.22;;;;;;;;;
2019;medicina-veterinaria;Centro Universitário Goyazes;GO;89;Privada;;;73;14.58;43;6.58;;;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Universidade Federal do Oeste da Bahia;BA;90;Federal;;;74;14.55;44;6.55;;;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Instituto Federal de Educação, Ciência e Tecnologia Goiano;GO;91;Federal;;;75;14.45;47;6.45;;;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Centro Universitário Inta;CE;92;Privada;;;77;14.12;108;4.39;128;1.73;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Centro Universitário Ages;BA;93;Privada;;;78;14.01;60;6.01;;;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Centro Universitário Ideau;RS;94;Privada;;;79;13.79;163;2.53;97;3.26;;;1;8;;;;;;;;;
2019;medicina-veterinaria;Centro Universitário das Faculdades Integradas de Ourinhos;SP;95;Privada;;;80;13.74;78;5.4;89;3.65;;;99;4.69;;;;;;;;;
2019;medicina-veterinaria;Universidade Federal dos Vales do Jequitinhonha e Mucuri;MG;96;Federal;;;81;13.71;69;5.71;;;;;1;8;;;;;;;;;
