ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2019;medicina;Universidade de São Paulo;SP;1;Estadual;1;36;2;62;1;8;43;6;;;1;8;1;40;;;;;;;
2019;medicina;Universidade Estadual de Campinas;SP;2;Estadual;2;35.6;1;62.19;4;7.9;8;7.67;;;1;8;2;38.62;;;;;;;
2019;medicina;Universidade Federal de Minas Gerais;MG;3;Federal;2;35.6;5;58.85;10;7.7;16;7.29;;;1;8;4;35.86;;;;;;;
2019;medicina;Universidade Federal de São Paulo;SP;4;Federal;5;34.38;3;59.35;2;7.97;69;4.76;;;1;8;2;38.62;;;;;;;
2019;medicina;Universidade Federal do Rio Grande do Sul;RS;5;Federal;5;34.38;4;58.99;7;7.8;15;7.33;;;1;8;4;35.86;;;;;;;
2019;medicina;Universidade Federal do Rio de Janeiro;RJ;6;Federal;2;35.6;7;54.48;14;7.57;47;5.81;;;1;8;6;33.1;;;;;;;
2019;medicina;Universidade do Estado do Rio de Janeiro;RJ;7;Estadual;5;34.38;8;52.22;18;7.44;5;7.81;;;1;8;9;28.97;;;;;;;
2019;medicina;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;8;Estadual;5;34.38;13;50.68;3;7.93;43;6;;;133;3.65;6;33.1;;;;;;;
2019;medicina;Universidade Federal de Pernambuco;PE;9;Federal;5;34.38;19;48.32;41;6.68;71;4.67;;;1;8;9;28.97;;;;;;;
2019;medicina;Universidade Federal Fluminense;RJ;10;Federal;5;34.38;20;48.06;27;7.14;86;3.95;;;1;8;9;28.97;;;;;;;
2019;medicina;Universidade Federal do Paraná;PR;11;Federal;15;30.34;14;50.39;20;7.37;42;6.05;;;1;8;9;28.97;;;;;;;
2019;medicina;Universidade de Brasília;DF;12;Federal;15;30.34;17;49.8;12;7.64;60;5.19;;;1;8;9;28.97;;;;;;;
2019;medicina;Universidade Estadual de Londrina;PR;13;Estadual;15;30.34;18;49.07;56;6.19;45;5.91;;;1;8;9;28.97;;;;;;;
2019;medicina;Universidade Federal do Rio Grande do Norte;RN;14;Federal;15;30.34;22;47.43;130;3.75;28;6.71;;;1;8;9;28.97;;;;;;;
2019;medicina;Pontifícia Universidade Católica do Rio Grande do Sul;RS;15;Privada;15;30.34;23;46.78;23;7.28;6;7.76;;;160;2.77;9;28.97;;;;;;;
2019;medicina;Faculdade de Ciências Médicas da Santa Casa São Paulo;SP;16;Privada;46;17.8;6;56.58;8;7.77;7;7.71;;;1;8;6;33.1;;;;;;;
2019;medicina;Universidade Estadual de Maringá;PR;17;Estadual;46;17.8;9;51.81;32;6.98;4;7.86;;;1;8;9;28.97;;;;;;;
2019;medicina;Universidade Federal de São Carlos;SP;18;Federal;46;17.8;10;51.75;15;7.54;17;7.24;;;1;8;9;28.97;;;;;;;
2019;medicina;Faculdade de Medicina de São José do Rio Preto;SP;19;Estadual;46;17.8;12;50.71;68;5.79;2;7.95;;;1;8;9;28.97;;;;;;;
2019;medicina;Universidade Federal de Pelotas;RS;20;Federal;46;17.8;15;50.36;50;6.39;22;7;;;1;8;9;28.97;;;;;;;
2019;medicina;Universidade Federal de Uberlândia;MG;21;Federal;46;17.8;21;47.49;72;5.66;67;4.86;;;1;8;9;28.97;;;;;;;
2019;medicina;Faculdade São Leopoldo Mandic;SP;22;Privada;46;17.8;28;38.32;26;7.18;;;;;178;2.17;9;28.97;;;;;;;
2019;medicina;Universidade Federal do Ceará;CE;23;Federal;5;34.38;31;21.24;30;7.05;39;6.19;;;1;8;;;;;;;;;
2019;medicina;Universidade Federal de Santa Catarina;SC;24;Federal;5;34.38;36;20.02;22;7.31;70;4.71;;;1;8;;;;;;;;;
2019;medicina;Universidade Federal da Bahia;BA;24;Federal;5;34.38;36;20.02;38;6.78;59;5.24;;;1;8;;;;;;;;;
2019;medicina;Escola Bahiana de Medicina e Saúde Pública;BA;26;Privada;5;34.38;41;19.63;109;4.44;18;7.19;;;1;8;;;;;;;;;
2019;medicina;Universidade Federal de Goiás;GO;27;Federal;15;30.34;30;21.35;67;5.83;11;7.52;;;1;8;;;;;;;;;
2019;medicina;Fundação Universidade Federal de Ciências da Saúde de Porto Alegre;RS;28;Federal;;;11;51.4;11;7.67;27;6.76;;;1;8;9;28.97;;;;;;;
2019;medicina;Universidade Federal do Piauí;PI;29;Federal;15;30.34;34;20.58;86;5.2;14;7.38;;;1;8;;;;;;;;;
2019;medicina;Universidade Federal de Santa Maria;RS;30;Federal;15;30.34;35;20.08;55;6.22;46;5.86;;;1;8;;;;;;;;;
2019;medicina;Universidade Federal do Triângulo Mineiro;MG;31;Federal;;;16;49.87;17;7.47;55;5.43;;;1;8;9;28.97;;;;;;;
2019;medicina;Universidade Federal de Alagoas;AL;32;Federal;15;30.34;43;19.14;101;4.71;34;6.43;;;1;8;;;;;;;;;
2019;medicina;Universidade Federal do Espírito Santo;ES;33;Federal;15;30.34;49;18.08;65;5.89;81;4.19;;;1;8;;;;;;;;;
2019;medicina;Universidade de Pernambuco;PE;34;Estadual;15;30.34;52;17.27;84;5.27;85;4;;;1;8;;;;;;;;;
2019;medicina;Universidade Federal de Mato Grosso;MT;35;Federal;15;30.34;54;17.21;116;4.21;64;5;;;1;8;;;;;;;;;
2019;medicina;Universidade Federal da Paraíba;PB;36;Federal;15;30.34;57;17.06;73;5.63;97;3.43;;;1;8;;;;;;;;;
2019;medicina;Universidade de Fortaleza;CE;37;Privada;15;30.34;60;16.69;88;5.14;19;7.14;;;110;4.41;;;;;;;;;
2019;medicina;Faculdade de Medicina de Marília;SP;38;Estadual;;;24;46.32;151;3.06;37;6.29;;;1;8;9;28.97;;;;;;;
2019;medicina;Universidade Federal do Pará;PA;39;Federal;15;30.34;68;15.66;59;6.09;136;1.57;;;1;8;;;;;;;;;
2019;medicina;Pontifícia Universidade Católica de São Paulo;SP;40;Privada;15;30.34;77;14.76;83;5.3;52;5.57;;;126;3.89;;;;;;;;;
2019;medicina;Fundação Universidade Federal da Grande Dourados;MS;41;Federal;;;25;44.32;115;4.25;104;3.1;;;1;8;9;28.97;;;;;;;
2019;medicina;Pontifícia Universidade Católica do Paraná;PR;42;Privada;15;30.34;89;13.1;131;3.72;10;7.57;;;189;1.81;;;;;;;;;
2019;medicina;Centro Universitário do Estado do Pará;PA;43;Privada;15;30.34;90;13.03;124;3.95;57;5.33;;;130;3.75;;;;;;;;;
2019;medicina;Escola Superior de Ciências da Santa Casa de Misericórdia de Vitória;ES;44;Privada;15;30.34;96;12.58;125;3.92;77;4.38;;;114;4.28;;;;;;;;;
2019;medicina;Universidade Potiguar;RN;45;Privada;15;30.34;101;12.33;71;5.7;108;2.91;;;131;3.72;;;;;;;;;
2019;medicina;Universidade Vila Velha;ES;46;Privada;15;30.34;102;12.28;158;2.83;61;5.14;;;113;4.31;;;;;;;;;
2019;medicina;Universidade de Ribeirão Preto;SP;47;Privada;;;26;42.17;54;6.26;82;4.14;;;159;2.8;9;28.97;;;;;;;
2019;medicina;Universidade Católica de Brasília;DF;48;Privada;15;30.34;129;9.97;134;3.62;138;1.48;;;96;4.87;;;;;;;;;
2019;medicina;Universidade do Oeste Paulista;SP;49;Privada;15;30.34;150;8.92;106;4.54;151;0.86;;;137;3.52;;;;;;;;;
2019;medicina;Faculdade de Ciências Médicas de Minas Gerais;MG;50;Privada;15;30.34;156;8.62;197;1.55;33;6.48;;;201-250;0.59;;;;;;;;;
2019;medicina;Universidade José do Rosário Velano;MG;51;Privada;;;27;38.67;107;4.51;114;2.62;;;166;2.57;9;28.97;;;;;;;
2019;medicina;Pontifícia Universidade Católica de Goiás;GO;52;Privada;15;30.34;167;7.59;166;2.57;65;4.95;;;201-250;0.07;;;;;;;;;
