ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC
2019;moda;Universidade Anhembi Morumbi;SP;1;Privada;1;36;2;52;9;6.77;;;;;19;5.23;1;40
2019;moda;Universidade Federal do Ceará;CE;2;Federal;1;36;3;51.88;7;7.08;;;;;1;8;3;36.8
2019;moda;Universidade de São Paulo;SP;3;Estadual;9;23.48;1;56;1;8;;;;;1;8;1;40
2019;moda;Faculdade Santa Marcelina;SP;4;Privada;1;36;10;35.44;42;1.69;;;;;52;0.15;5;33.6
2019;moda;Universidade Estadual de Londrina;PR;5;Estadual;9;23.48;4;46.22;23;4.62;;;;;1;8;5;33.6
2019;moda;Universidade Federal de Minas Gerais;MG;6;Federal;9;23.48;5;44.65;2;7.85;;;;;1;8;8;28.8
2019;moda;Faculdade Senai-cetiqt;RJ;7;Privada;1;36;13;31.94;29;3.69;;;;;15;5.85;12;22.4
2019;moda;Universidade Feevale;RS;8;Privada;1;36;14;30.74;20;5.08;;;;;11;6.46;14;19.2
2019;moda;Centro Universitário Senac;SP;9;Privada;9;23.48;6;42.96;38;2.31;;;;;28;3.85;3;36.8
2019;moda;Universidade Regional de Blumenau;SC;10;Municipal;1;36;18;25.04;21;4.92;;;;;47;0.92;14;19.2
2019;moda;Universidade do Vale do Rio dos Sinos;RS;11;Privada;1;36;20;23.14;5;7.39;;;;;13;6.15;20;9.6
2019;moda;Centro Universitário Belas Artes de São Paulo;SP;12;Privada;9;23.48;9;35.57;19;5.23;;;;;43;1.54;8;28.8
2019;moda;Faculdade de Artes Plásticas da Fundação Armando Alvares Penteado;SP;13;Privada;9;23.48;12;32.65;30;3.54;;;;;51;0.31;8;28.8
2019;moda;Universidade Estadual de Maringá;PR;14;Estadual;9;23.48;15;30.12;34;2.92;;;;;1;8;14;19.2
2019;moda;Universidade Estácio de Sá;RJ;15;Privada;9;23.48;19;24.74;47;0.92;;;;;23;4.62;14;19.2
2019;moda;Centro Universitário Leonardo da Vinci;SC;16;Privada;1;36;31;10.31;22;4.77;;;;;17;5.54;;
2019;moda;Universidade Federal de Goiás;GO;17;Federal;;;7;42.95;13;6.15;;;;;1;8;8;28.8
2019;moda;Fundação Universidade do Estado de Santa Catarina;SC;18;Estadual;;;8;42.37;12;6.31;;;;;37;2.46;5;33.6
2019;moda;Universidade do Vale do Itajaí;SC;19;Privada;9;23.48;22;18.37;33;3.08;;;;;16;5.69;20;9.6
2019;moda;Universidade Cesumar;PR;20;Privada;;;11;32.74;8;6.92;;;;;10;6.62;14;19.2
2019;moda;Pontifícia Universidade Católica do Paraná;PR;21;Privada;;;16;29.63;24;4.46;;;;;35;2.77;12;22.4
2019;moda;Universidade Veiga de Almeida;RJ;22;Privada;;;17;28.58;11;6.46;;;;;34;2.92;14;19.2
2019;moda;Centro Universitário - Católica de Santa Catarina em Jaraguá do Sul;SC;23;Privada;9;23.48;48;3.85;36;2.62;;;;;45;1.23;;
2019;moda;Universidade Federal de Juiz de Fora;MG;24;Federal;19;7.83;23;15.69;3;7.69;;;;;1;8;;
2019;moda;Centro Universitário Ritter dos Reis;RS;25;Privada;;;21;21.29;4;7.54;;;;;26;4.15;20;9.6
2019;moda;Universidade Fumec;MG;26;Privada;19;7.83;24;13.45;45;1.23;;;;;36;2.62;20;9.6
2019;moda;Centro Universitário das Faculdades Metropolitanas Unidas;SP;27;Privada;19;7.83;42;5.85;37;2.46;;;;;31;3.39;;
2019;moda;Centro Universitário Campos de Andrade;PR;28;Privada;;;25;13.39;18;5.39;;;;;1;8;;
2019;moda;Universidade Tuiuti do Paraná;PR;29;Privada;;;26;13.23;6;7.23;;;;;14;6;;
2019;moda;Centro Universitário Moura Lacerda;SP;30;Privada;;;27;12.99;44;1.39;;;;;40;2;20;9.6
2019;moda;Centro Universitário de Brusque;SC;31;Privada;19;7.83;44;5.08;41;1.85;;;;;32;3.23;;
2019;moda;Faculdade de Ensino Superior do Interior Paulista;SP;32;Privada;;;28;12.31;14;6;;;;;12;6.31;;
2019;moda;Faculdade Paulista de Artes;SP;33;Privada;;;29;11.7;10;6.62;;;;;20;5.08;;
2019;moda;Universidade de Franca;SP;34;Privada;;;30;11.61;49;0.62;;;;;44;1.39;20;9.6
2019;moda;Centro Universitário Salesiano de São Paulo;SP;35;Privada;;;32;9.85;17;5.54;;;;;25;4.31;;
2019;moda;Faculdade Cesumar de Ponta Grossa;PR;36;Privada;;;33;9.69;16;5.69;;;;;27;4;;
2019;moda;Universidade Salgado de Oliveira;RJ;37;Privada;19;7.83;52;1.85;48;0.77;;;;;46;1.08;;
2019;moda;Universidade da Amazônia;PA;38;Privada;;;34;8.93;15;5.85;;;;;33;3.08;;
2019;moda;Centro Universitário de Presidente Prudente;SP;39;Privada;;;35;8.78;31;3.39;;;;;18;5.39;;
2019;moda;Universidade Federal do Piauí;PI;40;Federal;;;36;8.31;51;0.31;;;;;1;8;;
2019;moda;Centro Universitário Uniasselvi de Guaramirim;SC;41;Privada;;;37;7.54;35;2.77;;;;;22;4.77;;
2019;moda;Fiam-faam - Centro Universitário;SP;42;Privada;;;38;6.16;28;3.85;;;;;38;2.31;;
2019;moda;Centro Universitário Una;MG;43;Privada;;;39;6;43;1.54;;;;;24;4.46;;
2019;moda;Centro Universitário Espírito-Santense;ES;43;Privada;;;39;6;46;1.08;;;;;21;4.92;;
2019;moda;Centro Universitário de Rio Preto;SP;43;Privada;;;39;6;25;4.31;;;;;42;1.69;;
2019;moda;Centro Universitário Uniasselvi de Brusque;SC;46;Privada;;;43;5.69;40;2;;;;;29;3.69;;
2019;moda;Universidade de Sorocaba;SP;47;Privada;;;45;4.92;26;4.15;;;;;48;0.77;;
2019;moda;Istituto Europeo Di Design;SP;48;Privada;;;46;4.77;26;4.15;;;;;49;0.62;;
2019;moda;Centro Universitário Estácio de Santa Catarina;SC;49;Privada;;;47;4.3;39;2.15;;;;;39;2.15;;
2019;moda;Universidade do Estado de Minas Gerais;MG;50;Estadual;;;49;3.69;52;0.15;;;;;30;3.54;;
2019;moda;Universidade do Vale do Paraíba;SP;50;Privada;;;49;3.69;32;3.23;;;;;50;0.46;;
2019;moda;Faculdade de Ciências Econômicas, Administrativas e Contábeis de Divinópolis;MG;52;Privada;;;51;2.31;50;0.46;;;;;41;1.85;;
