ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2019;nutricao;Universidade de São Paulo;SP;1;Estadual;1;36;1;62.98;6;7.9;33;7.08;;;1;8;1;40;;;;;;;
2019;nutricao;Universidade Federal de Minas Gerais;MG;2;Federal;2;35.72;2;61.76;11;7.8;6;7.86;;;1;8;2;38.1;;;;;;;
2019;nutricao;Universidade Estadual de Campinas;SP;3;Estadual;2;35.72;3;61.02;9;7.84;33;7.08;;;1;8;2;38.1;;;;;;;
2019;nutricao;Universidade Federal do Rio de Janeiro;RJ;4;Federal;2;35.72;6;57.57;14;7.74;17;7.54;;;1;8;4;34.29;;;;;;;
2019;nutricao;Universidade Federal de Viçosa;MG;5;Federal;13;32.68;5;57.64;21;7.61;10;7.74;;;1;8;4;34.29;;;;;;;
2019;nutricao;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;6;Estadual;6;34.62;7;55.38;8;7.86;14;7.63;;;122;5.6;4;34.29;;;;;;;
2019;nutricao;Universidade Federal de São Paulo;SP;7;Federal;27;28.8;4;57.81;5;7.92;15;7.6;;;1;8;4;34.29;;;;;;;
2019;nutricao;Universidade Federal de Pernambuco;PE;8;Federal;6;34.62;10;49.67;34;7.35;13;7.65;;;1;8;8;26.67;;;;;;;
2019;nutricao;Universidade Federal do Rio Grande do Sul;RS;9;Federal;13;32.68;8;50.46;10;7.82;2;7.97;;;1;8;8;26.67;;;;;;;
2019;nutricao;Universidade de Brasília;DF;10;Federal;13;32.68;9;50.05;28;7.47;4;7.91;;;1;8;8;26.67;;;;;;;
2019;nutricao;Universidade do Estado do Rio de Janeiro;RJ;11;Estadual;6;34.62;13;42.21;17;7.68;19;7.48;;;1;8;12;19.05;;;;;;;
2019;nutricao;Universidade Federal de Santa Catarina;SC;12;Federal;27;28.8;11;48;24;7.55;78;5.78;;;1;8;8;26.67;;;;;;;
2019;nutricao;Universidade Federal Fluminense;RJ;13;Federal;6;34.62;17;40.99;19;7.64;60;6.3;;;1;8;12;19.05;;;;;;;
2019;nutricao;Universidade Federal da Bahia;BA;14;Federal;6;34.62;18;40.73;66;6.72;37;6.96;;;1;8;12;19.05;;;;;;;
2019;nutricao;Universidade Federal do Paraná;PR;15;Federal;13;32.68;12;42.64;13;7.76;7;7.83;;;1;8;12;19.05;;;;;;;
2019;nutricao;Universidade Federal de Goiás;GO;16;Federal;13;32.68;15;41.61;42;7.19;23;7.37;;;1;8;12;19.05;;;;;;;
2019;nutricao;Universidade Federal do Estado do Rio de Janeiro;RJ;17;Federal;27;28.8;14;42.12;45;7.13;3;7.94;;;1;8;12;19.05;;;;;;;
2019;nutricao;Universidade Regional do Noroeste do Estado do Rio Grande do Sul;RS;18;Privada;27;28.8;21;35.93;115;5.75;41;6.85;;;189;4.28;12;19.05;;;;;;;
2019;nutricao;Universidade Federal de Ouro Preto;MG;19;Federal;81;13.85;16;41.54;38;7.27;28;7.22;;;1;8;12;19.05;;;;;;;
2019;nutricao;Universidade Federal do Rio Grande do Norte;RN;20;Federal;13;32.68;34;21.73;72;6.6;31;7.13;;;1;8;;;;;;;;;
2019;nutricao;Universidade Estadual do Ceará;CE;21;Estadual;13;32.68;35;21.57;108;5.89;12;7.68;;;1;8;;;;;;;;;
2019;nutricao;Universidade Federal do Pará;PA;22;Federal;13;32.68;43;20.16;90;6.24;73;5.92;;;1;8;;;;;;;;;
2019;nutricao;Universidade do Estado da Bahia;BA;23;Estadual;13;32.68;48;19.44;166;4.74;46;6.7;;;1;8;;;;;;;;;
2019;nutricao;Universidade Federal de Alagoas;AL;24;Federal;27;28.8;24;23.08;33;7.37;11;7.71;;;1;8;;;;;;;;;
2019;nutricao;Universidade Paulista;SP;25;Privada;2;35.72;82;15.96;201-250;3.85;21;7.42;;;168;4.69;;;;;;;;;
2019;nutricao;Universidade do Vale do Rio dos Sinos;RS;26;Privada;13;32.68;55;18.38;60;6.84;75;5.86;;;118;5.68;;;;;;;;;
2019;nutricao;Universidade Federal de Sergipe;SE;26;Federal;27;28.8;26;22.26;51;7.01;27;7.25;;;1;8;;;;;;;;;
2019;nutricao;Universidade Federal de Juiz de Fora;MG;28;Federal;27;28.8;27;22.24;49;7.05;29;7.19;;;1;8;;;;;;;;;
2019;nutricao;Universidade Federal do Espírito Santo;ES;29;Federal;27;28.8;28;22.2;31;7.41;43;6.79;;;1;8;;;;;;;;;
2019;nutricao;Universidade Federal do Piauí;PI;30;Federal;13;32.68;56;18.27;180;4.46;77;5.81;;;1;8;;;;;;;;;
2019;nutricao;Universidade Federal da Paraíba;PB;31;Federal;27;28.8;30;22.02;50;7.03;36;6.99;;;1;8;;;;;;;;;
2019;nutricao;Universidade Federal do Maranhão;MA;32;Federal;27;28.8;31;21.98;70;6.64;24;7.34;;;1;8;;;;;;;;;
2019;nutricao;Universidade Federal de Mato Grosso;MT;33;Federal;27;28.8;33;21.77;89;6.26;18;7.51;;;1;8;;;;;;;;;
2019;nutricao;Universidade de Marília;SP;34;Privada;27;28.8;40;20.59;137;5.31;26;7.28;;;1;8;;;;;;;;;
2019;nutricao;Universidade Federal de Santa Maria;RS;35;Federal;27;28.8;44;20.11;18;7.66;124;4.45;;;1;8;;;;;;;;;
2019;nutricao;Universidade de Fortaleza;CE;36;Privada;6;34.62;121;14.14;144;5.18;96;5.26;;;201-250;3.7;;;;;;;;;
2019;nutricao;Universidade do Oeste Paulista;SP;37;Privada;27;28.8;50;19.26;63;6.78;9;7.77;;;167;4.71;;;;;;;;;
2019;nutricao;Pontifícia Universidade Católica de Minas Gerais;MG;38;Privada;6;34.62;151;12.93;134;5.37;122;4.51;;;251-300;3.05;;;;;;;;;
2019;nutricao;Universidade do Grande Rio Professor José de Souza Herdy;RJ;39;Privada;27;28.8;57;17.9;117;5.71;133;4.19;;;1;8;;;;;;;;;
2019;nutricao;Universidade do Vale do Taquari;RS;40;Privada;27;28.8;58;17.88;80;6.44;72;5.95;;;128;5.49;;;;;;;;;
2019;nutricao;Universidade de Pernambuco;PE;41;Estadual;27;28.8;59;17.83;105;5.95;56;6.41;;;129;5.47;;;;;;;;;
2019;nutricao;Centro Universitário de Belo Horizonte;MG;42;Privada;27;28.8;62;17.4;54;6.95;68;6.07;;;184;4.38;;;;;;;;;
2019;nutricao;Universidade Feevale;RS;43;Privada;27;28.8;74;16.26;107;5.91;121;4.53;;;111;5.82;;;;;;;;;
2019;nutricao;Universidade Presbiteriana Mackenzie;SP;44;Privada;27;28.8;76;16.18;29;7.45;32;7.11;;;301-350;1.62;;;;;;;;;
2019;nutricao;Pontifícia Universidade Católica do Paraná;PR;45;Privada;27;28.8;86;15.78;103;5.99;16;7.57;;;251-300;2.22;;;;;;;;;
