ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2019;odontologia;Universidade de São Paulo;SP;1;Estadual;1;36;1;62.86;1;8;27;6.86;;;1;8;1;40;;;;;;;
2019;odontologia;Universidade Estadual de Campinas;SP;2;Estadual;2;35.48;2;60.86;1;8;27;6.86;;;1;8;2;38;;;;;;;
2019;odontologia;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;3;Estadual;2;35.48;3;58.09;4;7.92;26;6.91;;;103;5.26;2;38;;;;;;;
2019;odontologia;Universidade Federal de Minas Gerais;MG;4;Federal;2;35.48;5;56.02;18;7.55;36;6.47;;;1;8;4;34;;;;;;;
2019;odontologia;Universidade Federal do Rio Grande do Sul;RS;5;Federal;8;32.35;4;57.54;5;7.89;9;7.65;;;1;8;4;34;;;;;;;
2019;odontologia;Universidade Federal do Rio de Janeiro;RJ;6;Federal;2;35.48;7;51.01;7;7.84;20;7.17;;;1;8;7;28;;;;;;;
2019;odontologia;Faculdade São Leopoldo Mandic;SP;7;Privada;8;32.35;6;53.54;23;7.41;1;8;;;145;4.13;4;34;;;;;;;
2019;odontologia;Universidade de Brasília;DF;8;Federal;8;32.35;8;50.25;37;7.04;19;7.21;;;1;8;7;28;;;;;;;
2019;odontologia;Universidade Federal do Paraná;PR;9;Federal;8;32.35;9;49.82;9;7.79;46;6.03;;;1;8;7;28;;;;;;;
2019;odontologia;Universidade Federal de Santa Catarina;SC;10;Federal;8;32.35;10;45.59;8;7.81;6;7.78;;;1;8;10;22;;;;;;;
2019;odontologia;Universidade do Estado do Rio de Janeiro;RJ;11;Estadual;2;35.48;14;41.65;10;7.76;44;6.12;;;84;5.77;10;22;;;;;;;
2019;odontologia;Universidade Paulista;SP;12;Privada;2;35.48;17;36.14;138;4.33;45;6.08;;;160;3.73;10;22;;;;;;;
2019;odontologia;Universidade Estadual de Londrina;PR;13;Estadual;26;22.96;11;44.38;16;7.6;29;6.78;;;1;8;10;22;;;;;;;
2019;odontologia;Universidade Federal de Pelotas;RS;14;Federal;26;22.96;12;43.73;6;7.87;50;5.86;;;1;8;10;22;;;;;;;
2019;odontologia;Universidade Federal de Pernambuco;PE;15;Federal;26;22.96;13;43.31;38;7.01;40;6.3;;;1;8;10;22;;;;;;;
2019;odontologia;Universidade Estadual de Feira de Santana;BA;16;Estadual;26;22.96;15;41.29;110;5.08;42;6.21;;;1;8;10;22;;;;;;;
2019;odontologia;Universidade de Ribeirão Preto;SP;17;Privada;26;22.96;16;39.55;43;6.88;123;2.67;;;1;8;10;22;;;;;;;
2019;odontologia;Universidade Luterana do Brasil;RS;18;Privada;26;22.96;18;35.41;162;3.69;87;4.24;;;95;5.48;10;22;;;;;;;
2019;odontologia;Centro Universitário Newton Paiva;MG;19;Privada;26;22.96;19;34.32;74;6.05;142;1.84;;;134;4.43;10;22;;;;;;;
2019;odontologia;Universidade Estadual de Ponta Grossa;PR;20;Estadual;8;32.35;21;23.43;21;7.47;2;7.96;;;1;8;;;;;;;;;
2019;odontologia;Universidade Federal da Bahia;BA;21;Federal;8;32.35;34;21.55;60;6.42;21;7.13;;;1;8;;;;;;;;;
2019;odontologia;Universidade Federal de Juiz de Fora;MG;22;Federal;8;32.35;38;21.12;48;6.74;38;6.38;;;1;8;;;;;;;;;
2019;odontologia;Universidade Federal Fluminense;RJ;23;Federal;8;32.35;43;20.08;40;6.96;67;5.12;;;1;8;;;;;;;;;
2019;odontologia;Universidade Positivo;PR;24;Privada;8;32.35;45;19.64;36;7.06;24;7;;;91;5.58;;;;;;;;;
2019;odontologia;Pontifícia Universidade Católica do Rio Grande do Sul;RS;25;Privada;8;32.35;50;17.7;61;6.4;17;7.3;;;150;4;;;;;;;;;
2019;odontologia;Universidade Nove de Julho;SP;26;Privada;8;32.35;71;14.72;111;5.06;65;5.2;;;133;4.46;;;;;;;;;
2019;odontologia;Universidade Federal do Espírito Santo;ES;27;Federal;26;22.96;22;23.42;13;7.68;7;7.74;;;1;8;;;;;;;;;
2019;odontologia;Universidade Federal do Amazonas;AM;28;Federal;26;22.96;24;23.3;24;7.39;3;7.91;;;1;8;;;;;;;;;
2019;odontologia;Universidade Federal do Ceará;CE;29;Federal;26;22.96;25;23.21;14;7.65;11;7.56;;;1;8;;;;;;;;;
2019;odontologia;Universidade Federal de Alfenas;MG;30;Federal;26;22.96;26;22.97;12;7.71;18;7.26;;;1;8;;;;;;;;;
2019;odontologia;Universidade Federal de Goiás;GO;30;Federal;26;22.96;26;22.97;28;7.28;8;7.69;;;1;8;;;;;;;;;
2019;odontologia;Universidade Federal da Paraíba;PB;32;Federal;26;22.96;28;22.85;26;7.33;12;7.52;;;1;8;;;;;;;;;
2019;odontologia;Universidade Federal de Santa Maria;RS;33;Federal;26;22.96;29;22.56;30;7.22;16;7.34;;;1;8;;;;;;;;;
2019;odontologia;Universidade de Pernambuco;PE;34;Estadual;26;22.96;30;22.12;52;6.64;13;7.48;;;1;8;;;;;;;;;
2019;odontologia;Universidade Cidade de São Paulo;SP;35;Privada;8;32.35;100;12.71;35;7.09;144;1.75;;;155;3.87;;;;;;;;;
2019;odontologia;Universidade Veiga de Almeida;RJ;36;Privada;8;32.35;102;12.65;101;5.32;47;5.99;;;201-250;1.34;;;;;;;;;
2019;odontologia;Universidade Federal do Rio Grande do Norte;RN;37;Federal;26;22.96;32;21.93;44;6.85;22;7.08;;;1;8;;;;;;;;;
2019;odontologia;Universidade Estadual do Oeste do Paraná;PR;38;Estadual;26;22.96;37;21.33;45;6.82;35;6.51;;;1;8;;;;;;;;;
2019;odontologia;Pontifícia Universidade Católica de Minas Gerais;MG;39;Privada;8;32.35;115;11.83;102;5.3;101;3.63;;;191;2.9;;;;;;;;;
2019;odontologia;Pontifícia Universidade Católica do Paraná;PR;39;Privada;8;32.35;115;11.83;50;6.69;89;4.15;;;251-300;0.99;;;;;;;;;
2019;odontologia;Universidade Católica de Brasília;DF;41;Privada;8;32.35;121;11.67;182;3.16;98;3.76;;;122;4.75;;;;;;;;;
2019;odontologia;Universidade Estácio de Sá;RJ;42;Privada;8;32.35;129;11.27;88;5.67;99;3.72;;;201-250;1.88;;;;;;;;;
2019;odontologia;Universidade Federal do Pará;PA;43;Federal;26;22.96;41;20.5;29;7.25;64;5.25;;;1;8;;;;;;;;;
2019;odontologia;Universidade Estadual da Paraíba;PB;44;Estadual;26;22.96;46;19.54;91;5.59;48;5.95;;;1;8;;;;;;;;;
2019;odontologia;Universidade do Estado do Amazonas;AM;45;Estadual;26;22.96;47;19.32;140;4.28;23;7.04;;;1;8;;;;;;;;;
2019;odontologia;Universidade Estadual de Montes Claros;MG;46;Estadual;26;22.96;48;18.4;127;4.63;52;5.77;;;1;8;;;;;;;;;
2019;odontologia;Escola Bahiana de Medicina e Saúde Pública;BA;47;Privada;26;22.96;51;17.53;122;4.76;75;4.77;;;1;8;;;;;;;;;
2019;odontologia;Universidade Cruzeiro do Sul;SP;48;Privada;26;22.96;52;17.34;15;7.63;84;4.37;;;100;5.34;;;;;;;;;
2019;odontologia;Universidade Cesumar;PR;49;Privada;26;22.96;64;15.31;100;5.35;68;5.07;;;117;4.89;;;;;;;;;
2019;odontologia;Universidade do Grande Rio Professor José de Souza Herdy;RJ;50;Privada;26;22.96;76;14.35;108;5.14;106;3.41;;;83;5.8;;;;;;;;;
2019;odontologia;Universidade de Fortaleza;CE;51;Privada;26;22.96;79;13.97;89;5.65;76;4.72;;;165;3.6;;;;;;;;;
2019;odontologia;Universidade Santa Cecília;SP;52;Privada;26;22.96;81;13.52;90;5.62;129;2.4;;;94;5.5;;;;;;;;;
2019;odontologia;Universidade de Passo Fundo;RS;53;Privada;26;22.96;87;13.35;94;5.51;82;4.46;;;173;3.38;;;;;;;;;
2019;odontologia;Universidade de Mogi das Cruzes;SP;54;Privada;26;22.96;91;13.13;135;4.42;58;5.51;;;180;3.2;;;;;;;;;
2019;odontologia;Universidade de Taubaté;SP;55;Municipal;26;22.96;110;12.18;63;6.34;174;0.44;;;98;5.4;;;;;;;;;
2019;odontologia;Centro Universitário das Faculdades Metropolitanas Unidas;SP;56;Privada;26;22.96;119;11.79;93;5.54;127;2.49;;;159;3.76;;;;;;;;;
2019;odontologia;Universidade Potiguar;RN;57;Privada;26;22.96;120;11.71;105;5.22;119;2.84;;;163;3.65;;;;;;;;;
2019;odontologia;Pontifícia Universidade Católica de Campinas;SP;58;Privada;26;22.96;134;11.02;67;6.23;104;3.5;;;251-300;1.29;;;;;;;;;
2019;odontologia;Centro Universitário Maria Milza;BA;59;Privada;26;22.96;136;10.99;201-250;2.6;108;3.32;;;110;5.07;;;;;;;;;
2019;odontologia;Universidade de Cuiabá;MT;60;Privada;26;22.96;139;10.72;201-250;2.62;62;5.33;;;196;2.77;;;;;;;;;
2019;odontologia;Universidade José do Rosário Velano;MG;61;Privada;;;20;33.3;178;3.26;80;4.55;;;169;3.49;10;22;;;;;;;
2019;odontologia;Universidade Metodista de São Paulo;SP;62;Privada;26;22.96;147;10.29;112;5.03;95;3.89;;;201-250;1.37;;;;;;;;;
2019;odontologia;Universidade de Uberaba;MG;63;Privada;26;22.96;173;8.73;200;2.68;85;4.33;;;201-250;1.72;;;;;;;;;
2019;odontologia;Universidade Tiradentes;SE;64;Privada;26;22.96;177;8.64;121;4.79;105;3.45;;;251-300;0.4;;;;;;;;;
2019;odontologia;Universidade Paranaense;PR;65;Privada;26;22.96;190;8.12;201-250;1.66;49;5.9;;;251-300;0.56;;;;;;;;;
2019;odontologia;Centro Universitário do Planalto Central Apparecido dos Santos;DF;66;Privada;26;22.96;191;8.08;196;2.78;169;0.66;;;126;4.64;;;;;;;;;
2019;odontologia;Universidade do Sul de Santa Catarina;SC;67;Privada;26;22.96;201-250;6.88;201-250;2.57;150;1.49;;;194;2.82;;;;;;;;;
2019;odontologia;Universidade Metropolitana de Santos;SP;68;Privada;26;22.96;201-250;5.83;193;2.86;151;1.44;;;201-250;1.53;;;;;;;;;
2019;odontologia;Universidade Universus Veritas Guarulhos;SP;69;Privada;26;22.96;201-250;5.38;201-250;1.77;148;1.57;;;201-250;2.04;;;;;;;;;
2019;odontologia;Universidade Vale do Rio Doce;MG;70;Privada;26;22.96;251-300;4.31;251-300;0.75;135;2.14;;;201-250;1.42;;;;;;;;;
2019;odontologia;Universidade Estadual de Maringá;PR;71;Estadual;;;23;23.31;22;7.44;4;7.87;;;1;8;;;;;;;;;
2019;odontologia;Universidade Federal do Maranhão;MA;72;Federal;;;31;22.11;49;6.72;15;7.39;;;1;8;;;;;;;;;
2019;odontologia;Universidade Federal do Piauí;PI;73;Federal;;;33;21.64;83;5.81;5;7.83;;;1;8;;;;;;;;;
2019;odontologia;Universidade Federal dos Vales do Jequitinhonha e Mucuri;MG;74;Federal;;;35;21.53;46;6.8;30;6.73;;;1;8;;;;;;;;;
2019;odontologia;Universidade Federal de Campina Grande;PB;75;Federal;;;36;21.4;59;6.45;25;6.95;;;1;8;;;;;;;;;
2019;odontologia;Universidade Federal de Sergipe;SE;76;Federal;;;39;20.66;39;6.98;54;5.68;;;1;8;;;;;;;;;
2019;odontologia;Universidade Federal de Alagoas;AL;77;Federal;;;40;20.51;81;5.86;32;6.65;;;1;8;;;;;;;;;
2019;odontologia;Universidade Federal de Uberlândia;MG;78;Federal;;;42;20.42;19;7.52;72;4.9;;;1;8;;;;;;;;;
2019;odontologia;Universidade do Estado do Rio Grande do Norte;RN;79;Estadual;;;44;19.95;131;4.52;14;7.43;;;1;8;;;;;;;;;
2019;odontologia;Universidade Federal de Mato Grosso do Sul;MS;80;Federal;;;49;17.76;42;6.9;34;6.56;;;139;4.3;;;;;;;;;
2019;odontologia;Universidade Estadual do Piauí;PI;81;Estadual;;;53;17.22;163;3.67;57;5.55;;;1;8;;;;;;;;;
2019;odontologia;Universidade Estadual do Sudoeste da Bahia;BA;82;Estadual;;;54;17.18;107;5.16;92;4.02;;;1;8;;;;;;;;;
2019;odontologia;Universidade Ceuma;MA;83;Privada;;;55;16.88;86;5.73;112;3.15;;;1;8;;;;;;;;;
2019;odontologia;Instituto Nacional de Ensino Superior e Pós-graduação Padre Gervásio;MG;84;Privada;;;56;16.55;57;6.5;37;6.43;;;164;3.62;;;;;;;;;
2019;odontologia;Universidade do Oeste Paulista;SP;85;Privada;;;57;16.36;87;5.7;39;6.34;;;138;4.32;;;;;;;;;
2019;odontologia;Centro Universitário Uninovafapi;PI;86;Privada;;;58;16.08;109;5.11;116;2.97;;;1;8;;;;;;;;;
2019;odontologia;Centro Universitário de Valença;RJ;87;Privada;;;59;16.05;157;3.83;31;6.69;;;93;5.53;;;;;;;;;
