ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2019;pedagogia;Universidade Federal de Minas Gerais;MG;1;Federal;6;34.83;1;61.74;9;7.94;5;7.96;;;1;8;3;37.84;;;;;;;
2019;pedagogia;Universidade Federal do Rio de Janeiro;RJ;2;Federal;2;35.77;2;60.38;15;7.89;29;7.73;;;1;8;4;36.76;;;;;;;
2019;pedagogia;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;3;Estadual;2;35.77;4;57.8;6;7.96;96;7.08;;;251-300;6;4;36.76;;;;;;;
2019;pedagogia;Universidade de São Paulo;SP;4;Estadual;1;36;6;56.07;1;8;801-1000;0.07;;;1;8;1;40;;;;;;;
2019;pedagogia;Pontifícia Universidade Católica de São Paulo;SP;5;Privada;6;34.83;5;57.17;14;7.9;110;6.94;;;301-350;5.57;4;36.76;;;;;;;
2019;pedagogia;Universidade Estadual de Campinas;SP;6;Estadual;2;35.77;9;54.88;15;7.89;801-1000;0.07;;;1;8;2;38.92;;;;;;;
2019;pedagogia;Universidade Federal Fluminense;RJ;7;Federal;6;34.83;10;54.52;17;7.88;185;6.21;;;1;8;8;32.43;;;;;;;
2019;pedagogia;Universidade Federal do Rio Grande do Sul;RS;8;Federal;27;29.92;3;59.15;6;7.96;163;6.43;;;1;8;4;36.76;;;;;;;
2019;pedagogia;Universidade do Estado do Rio de Janeiro;RJ;9;Estadual;2;35.77;11;51.91;33;7.76;201-250;5.96;;;251-300;5.76;8;32.43;;;;;;;
2019;pedagogia;Universidade de Brasília;DF;10;Federal;17;32.26;8;55.37;18;7.87;97;7.07;;;1;8;8;32.43;;;;;;;
