ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2019;propaganda-e-marketing;Universidade Federal de Minas Gerais;MG;1;Federal;3;35.35;1;61.28;3;7.95;1;8;;;1;8;3;37.33;;;;;;;
2019;propaganda-e-marketing;Escola Superior de Propaganda e Marketing;SP;2;Privada;1;36;3;55.43;87;5.86;10;7.74;;;201-250;1.83;1;40;;;;;;;
2019;propaganda-e-marketing;Universidade Federal do Rio de Janeiro;RJ;3;Federal;20;29.78;2;60.9;2;7.98;15;7.59;;;1;8;3;37.33;;;;;;;
2019;propaganda-e-marketing;Universidade de São Paulo;SP;4;Estadual;3;35.35;4;54.67;1;8;;;;;1;8;2;38.67;;;;;;;
2019;propaganda-e-marketing;Universidade Federal do Paraná;PR;5;Federal;9;33.38;6;54.39;10;7.78;3;7.94;;;1;8;8;30.67;;;;;;;
2019;propaganda-e-marketing;Pontifícia Universidade Católica de São Paulo;SP;6;Privada;9;33.38;9;52.3;24;7.43;251-300;0.73;;;49;6.81;3;37.33;;;;;;;
2019;propaganda-e-marketing;Universidade Federal do Rio Grande do Sul;RS;7;Federal;20;29.78;7;54.22;5;7.9;13;7.65;;;1;8;8;30.67;;;;;;;
2019;propaganda-e-marketing;Pontifícia Universidade Católica do Rio Grande do Sul;RS;8;Privada;20;29.78;8;53.56;37;7.11;95;5.28;;;169;3.84;3;37.33;;;;;;;
2019;propaganda-e-marketing;Universidade Presbiteriana Mackenzie;SP;9;Privada;2;35.67;12;47.36;42;6.98;201-250;1.54;;;251-300;1.51;3;37.33;;;;;;;
2019;propaganda-e-marketing;Escola Superior de Propaganda e Marketing do Rio de Janeiro;RJ;10;Privada;9;33.38;11;49.57;58;6.58;40;6.87;;;104;5.45;8;30.67;;;;;;;
2019;propaganda-e-marketing;Pontifícia Universidade Católica de Minas Gerais;MG;11;Privada;3;35.35;13;47.13;80;6.04;97;5.22;;;114;5.2;8;30.67;;;;;;;
2019;propaganda-e-marketing;Escola Superior de Propaganda e Marketing de Porto Alegre;RS;12;Privada;20;29.78;10;49.85;25;7.4;21;7.42;;;148;4.36;8;30.67;;;;;;;
2019;propaganda-e-marketing;Universidade de Brasília;DF;13;Federal;41;22.91;5;54.46;6;7.88;4;7.91;;;1;8;8;30.67;;;;;;;
2019;propaganda-e-marketing;Universidade Federal de Pernambuco;PE;14;Federal;9;33.38;14;42.25;11;7.75;7;7.83;;;1;8;17;18.67;;;;;;;
2019;propaganda-e-marketing;Pontifícia Universidade Católica do Rio de Janeiro;RJ;15;Privada;9;33.38;16;41.1;114;5.19;156;3.51;;;251-300;1.73;8;30.67;;;;;;;
2019;propaganda-e-marketing;Universidade do Vale do Rio dos Sinos;RS;16;Privada;9;33.38;18;39.28;12;7.73;55;6.44;;;64;6.44;17;18.67;;;;;;;
2019;propaganda-e-marketing;Faculdade de Comunicação e Marketing da Fundação Armando Álvares Penteado;SP;17;Privada;9;33.38;19;39.12;50;6.78;201-250;1.62;;;301-350;0.05;8;30.67;;;;;;;
2019;propaganda-e-marketing;Universidade Metodista de São Paulo;SP;18;Privada;20;29.78;17;40.99;201-250;2.86;194;2.41;;;120;5.05;8;30.67;;;;;;;
2019;propaganda-e-marketing;Universidade Anhembi Morumbi;SP;19;Privada;3;35.35;22;33.41;88;5.84;69;6.03;;;201-250;2.87;17;18.67;;;;;;;
2019;propaganda-e-marketing;Pontifícia Universidade Católica do Paraná;PR;20;Privada;9;33.38;23;32.28;162;4;41;6.84;;;201-250;2.77;17;18.67;;;;;;;
2019;propaganda-e-marketing;Universidade Federal de Santa Maria;RS;21;Federal;41;22.91;15;42.18;8;7.83;12;7.68;;;1;8;17;18.67;;;;;;;
2019;propaganda-e-marketing;Universidade Positivo;PR;22;Privada;20;29.78;20;34.9;91;5.76;102;5.07;;;106;5.4;17;18.67;;;;;;;
2019;propaganda-e-marketing;Faculdade Cásper Líbero;SP;23;Privada;20;29.78;24;32.03;48;6.83;73;5.91;;;251-300;0.62;17;18.67;;;;;;;
2019;propaganda-e-marketing;Centro Universitário Belas Artes de São Paulo;SP;24;Privada;20;29.78;25;30.71;55;6.66;141;3.94;;;251-300;1.44;17;18.67;;;;;;;
2019;propaganda-e-marketing;Pontifícia Universidade Católica de Campinas;SP;25;Privada;20;29.78;27;29.84;124;4.94;76;5.83;;;301-350;0.4;17;18.67;;;;;;;
2019;propaganda-e-marketing;Universidade Federal do Ceará;CE;26;Federal;9;33.38;30;23.54;14;7.68;6;7.86;;;1;8;;;;;;;;;
2019;propaganda-e-marketing;Universidade Nove de Julho;SP;27;Privada;41;22.91;21;33.78;20;7.53;201-250;1.68;;;86;5.9;17;18.67;;;;;;;
2019;propaganda-e-marketing;Centro Universitário Ibmec;RJ;28;Privada;41;22.91;26;30.56;144;4.45;29;7.19;;;301-350;0.25;17;18.67;;;;;;;
2019;propaganda-e-marketing;Universidade Federal de Goiás;GO;29;Federal;20;29.78;34;22.65;46;6.88;9;7.77;;;1;8;;;;;;;;;
2019;propaganda-e-marketing;Universidade Feevale;RS;30;Privada;9;33.38;46;19;67;6.36;81;5.68;;;43;6.96;;;;;;;;;
2019;propaganda-e-marketing;Universidade de Fortaleza;CE;31;Privada;3;35.35;72;16.19;111;5.27;101;5.1;;;89;5.82;;;;;;;;;
2019;propaganda-e-marketing;Universidade Paulista;SP;32;Privada;3;35.35;93;15.18;201-250;2.76;63;6.2;;;73;6.22;;;;;;;;;
2019;propaganda-e-marketing;Universidade Federal Fluminense;RJ;33;Federal;41;22.91;28;24.61;9;7.8;111;4.81;;;1;8;28;4;;;;;;;
2019;propaganda-e-marketing;Universidade Estácio de Sá;RJ;34;Privada;9;33.38;123;13.66;143;4.47;100;5.13;;;160;4.06;;;;;;;;;
2019;propaganda-e-marketing;Universidade Católica de Pelotas;RS;35;Privada;41;22.91;31;23.52;53;6.71;37;6.96;;;88;5.85;28;4;;;;;;;
2019;propaganda-e-marketing;Universidade Estadual do Centro Oeste;PR;36;Estadual;41;22.91;32;23.21;21;7.5;11;7.71;;;1;8;;;;;;;;;
2019;propaganda-e-marketing;Universidade Federal do Rio Grande do Norte;RN;37;Federal;41;22.91;33;23.06;19;7.55;18;7.51;;;1;8;;;;;;;;;
2019;propaganda-e-marketing;Universidade da Região de Joinville;SC;38;Privada;20;29.78;80;15.82;112;5.24;106;4.96;;;97;5.62;;;;;;;;;
2019;propaganda-e-marketing;Universidade Federal de Mato Grosso;MT;39;Federal;41;22.91;35;22.25;27;7.35;39;6.9;;;1;8;;;;;;;;;
2019;propaganda-e-marketing;Centro Universitário Leonardo da Vinci;SC;40;Privada;20;29.78;90;15.35;131;4.77;36;6.99;;;179;3.59;;;;;;;;;
2019;propaganda-e-marketing;Universidade de Caxias do Sul;RS;41;Privada;20;29.78;98;14.99;43;6.96;184;2.7;;;109;5.33;;;;;;;;;
2019;propaganda-e-marketing;Universidade Federal do Espírito Santo;ES;42;Federal;41;22.91;36;21.54;22;7.48;68;6.06;;;1;8;;;;;;;;;
2019;propaganda-e-marketing;Universidade Cesumar;PR;43;Privada;41;22.91;39;20.53;56;6.63;22;7.39;;;61;6.51;;;;;;;;;
2019;propaganda-e-marketing;Universidade de Ribeirão Preto;SP;44;Privada;41;22.91;42;19.74;49;6.81;107;4.93;;;1;8;;;;;;;;;
2019;propaganda-e-marketing;Pontifícia Universidade Católica de Goiás;GO;45;Privada;20;29.78;142;12.61;52;6.73;168;3.16;;;201-250;2.72;;;;;;;;;
2019;propaganda-e-marketing;Universidade Católica de Pernambuco;PE;46;Privada;20;29.78;145;12.49;65;6.41;103;5.04;;;251-300;1.04;;;;;;;;;
2019;propaganda-e-marketing;Faculdades Integradas de Taquara;RS;47;Privada;20;29.78;147;12.39;99;5.57;70;6;;;251-300;0.82;;;;;;;;;
2019;propaganda-e-marketing;Centro Universitário de Belo Horizonte;MG;48;Privada;41;22.91;47;18.78;70;6.29;33;7.07;;;105;5.42;;;;;;;;;
2019;propaganda-e-marketing;Centro Universitário Sete de Setembro;CE;49;Privada;41;22.91;49;18.34;121;5.02;49;6.61;;;53;6.71;;;;;;;;;
2019;propaganda-e-marketing;Centro Universitário FBV Wyden;PE;50;Privada;41;22.91;50;18.14;106;5.39;113;4.75;;;1;8;;;;;;;;;
2019;propaganda-e-marketing;Universidade do Vale do Itajaí;SC;51;Privada;20;29.78;166;11.15;201-250;2.44;193;2.44;;;71;6.27;;;;;;;;;
2019;propaganda-e-marketing;Universidade São Judas Tadeu;SP;52;Privada;41;22.91;53;17.78;34;7.18;64;6.17;;;145;4.43;;;;;;;;;
2019;propaganda-e-marketing;Centro Universitário Faesa;ES;53;Privada;41;22.91;54;17.63;166;3.9;34;7.04;;;54;6.69;;;;;;;;;
2019;propaganda-e-marketing;Universidade Ceuma;MA;54;Privada;41;22.91;55;17.52;115;5.17;127;4.35;;;1;8;;;;;;;;;
2019;propaganda-e-marketing;Universidade de Uberaba;MG;55;Privada;41;22.91;65;16.67;146;4.4;47;6.67;;;98;5.6;;;;;;;;;
2019;propaganda-e-marketing;Universidade Salvador;BA;56;Privada;20;29.78;198;9.74;201-250;2.81;114;4.73;;;201-250;2.2;;;;;;;;;
2019;propaganda-e-marketing;Centro Universitário Maurício de Nassau;PE;57;Privada;20;29.78;199;9.68;157;4.12;201-250;2.12;;;185;3.44;;;;;;;;;
2019;propaganda-e-marketing;Centro Universitário do Instituto de Educação Superior de Brasília;DF;58;Privada;41;22.91;71;16.21;185;3.43;42;6.81;;;83;5.97;;;;;;;;;
2019;propaganda-e-marketing;Centro Universitário de Brasília;DF;59;Privada;20;29.78;201-250;9.24;82;5.99;195;2.38;;;251-300;0.87;;;;;;;;;
2019;propaganda-e-marketing;Universidade do Oeste Paulista;SP;60;Privada;41;22.91;78;15.98;32;7.23;165;3.25;;;102;5.5;;;;;;;;;
2019;propaganda-e-marketing;Universidade Vila Velha;ES;61;Privada;41;22.91;79;15.92;153;4.22;17;7.54;;;156;4.16;;;;;;;;;
2019;propaganda-e-marketing;Centro Universitário da Grande Dourados;MS;62;Privada;41;22.91;81;15.81;201-250;3.03;8;7.8;;;123;4.98;;;;;;;;;
2019;propaganda-e-marketing;Universidade de Santa Cruz do Sul;RS;63;Privada;41;22.91;97;15;38;7.08;91;5.39;;;201-250;2.53;;;;;;;;;
2019;propaganda-e-marketing;Centro Universitário Fanor Wyden;CE;64;Privada;41;22.91;99;14.94;138;4.6;146;3.8;;;60;6.54;;;;;;;;;
2019;propaganda-e-marketing;Centro Universitário Una;MG;65;Privada;41;22.91;101;14.86;108;5.34;98;5.19;;;149;4.33;;;;;;;;;
2019;propaganda-e-marketing;Universidade Veiga de Almeida;RJ;66;Privada;41;22.91;102;14.84;29;7.3;122;4.49;;;201-250;3.05;;;;;;;;;
2019;propaganda-e-marketing;Universidade Católica de Brasília;DF;67;Privada;41;22.91;103;14.8;72;6.24;201-250;1.65;;;45;6.91;;;;;;;;;
2019;propaganda-e-marketing;Centro Universitário de Várzea Grande;MT;68;Privada;41;22.91;107;14.6;45;6.91;135;4.12;;;180;3.57;;;;;;;;;
2019;propaganda-e-marketing;Centro Universitário Estácio do Ceará;CE;69;Privada;41;22.91;120;13.85;147;4.37;72;5.94;;;181;3.54;;;;;;;;;
2019;propaganda-e-marketing;Universidade do Grande Rio Professor José de Souza Herdy;RJ;70;Privada;41;22.91;125;13.64;184;3.45;164;3.28;;;45;6.91;;;;;;;;;
2019;propaganda-e-marketing;Universidade Potiguar;RN;71;Privada;41;22.91;131;13.39;31;7.26;201-250;1.1;;;121;5.03;;;;;;;;;
2019;propaganda-e-marketing;Centro Universitário do Estado do Pará;PA;72;Privada;41;22.91;132;13.35;251-300;1.64;56;6.41;;;110;5.3;;;;;;;;;
2019;propaganda-e-marketing;Universidade da Amazônia;PA;73;Privada;41;22.91;134;13.23;145;4.42;38;6.93;;;201-250;1.88;;;;;;;;;
2019;propaganda-e-marketing;Centro Universitário do Norte;AM;74;Privada;20;29.78;251-300;5.31;251-300;1.19;201-250;1.77;;;201-250;2.35;;;;;;;;;
2019;propaganda-e-marketing;Faculdade Interamericana de Porto Velho;RO;75;Privada;41;22.91;151;12.16;193;3.23;150;3.68;;;112;5.25;;;;;;;;;
2019;propaganda-e-marketing;Centro Universitário Assis Gurgacz;PR;76;Privada;41;22.91;154;11.97;201-250;2.16;52;6.52;;;191;3.29;;;;;;;;;
2019;propaganda-e-marketing;Centro Universitário Jorge Amado;BA;77;Privada;41;22.91;155;11.96;104;5.44;154;3.57;;;201-250;2.95;;;;;;;;;
2019;propaganda-e-marketing;Universidade Fumec;MG;78;Privada;41;22.91;157;11.91;119;5.07;158;3.45;;;187;3.39;;;;;;;;;
2019;propaganda-e-marketing;Faculdades Integradas Hélio Alonso;RJ;79;Privada;41;22.91;159;11.73;89;5.81;171;3.07;;;201-250;2.85;;;;;;;;;
2019;propaganda-e-marketing;Centro Universitário Barão de Mauá;SP;80;Privada;41;22.91;162;11.43;198;3.11;160;3.39;;;125;4.93;;;;;;;;;
2019;propaganda-e-marketing;Universidade de Sorocaba;SP;81;Privada;41;22.91;169;10.88;77;6.11;145;3.83;;;251-300;0.94;;;;;;;;;
