ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2019;psicologia;Universidade Federal de Minas Gerais;MG;1;Federal;2;35.81;3;61.61;9;7.89;14;7.72;;;1;8;2;38;;;;;;;
2019;psicologia;Universidade Federal do Rio de Janeiro;RJ;2;Federal;2;35.81;4;60.85;6;7.93;51;6.92;;;1;8;2;38;;;;;;;
2019;psicologia;Universidade de Brasília;DF;3;Federal;16;33.16;1;61.76;14;7.82;4;7.94;;;1;8;2;38;;;;;;;
2019;psicologia;Universidade Federal do Rio Grande do Sul;RS;4;Federal;16;33.16;2;61.75;7;7.92;9;7.83;;;1;8;2;38;;;;;;;
2019;psicologia;Pontifícia Universidade Católica de São Paulo;SP;5;Privada;2;35.81;5;58.32;53;7.27;47;7.01;;;138;6.04;2;38;;;;;;;
2019;psicologia;Universidade de São Paulo;SP;6;Estadual;1;36;6;55.99;2;7.99;;;;;1;8;1;40;;;;;;;
2019;psicologia;Universidade Federal Fluminense;RJ;7;Federal;10;34.3;7;51.2;15;7.8;29;7.4;;;1;8;7;28;;;;;;;
2019;psicologia;Pontifícia Universidade Católica do Rio Grande do Sul;RS;8;Privada;16;33.16;8;45.55;45;7.38;81;6.28;;;251-300;3.89;7;28;;;;;;;
2019;psicologia;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;9;Estadual;2;35.81;10;41.89;5;7.94;;;;;144;5.95;7;28;;;;;;;
2019;psicologia;Universidade Federal de Pernambuco;PE;10;Federal;2;35.81;15;40.76;37;7.49;35;7.27;;;1;8;12;18;;;;;;;
2019;psicologia;Universidade Federal da Bahia;BA;11;Federal;10;34.3;13;40.99;54;7.25;13;7.74;;;1;8;12;18;;;;;;;
2019;psicologia;Pontifícia Universidade Católica do Rio de Janeiro;RJ;12;Privada;10;34.3;16;40.44;29;7.6;201-250;3.64;;;401-500;1.2;7;28;;;;;;;
2019;psicologia;Universidade Federal de Santa Catarina;SC;13;Federal;28;30.88;9;43.83;13;7.83;;;;;1;8;7;28;;;;;;;
2019;psicologia;Universidade Estadual de Londrina;PR;14;Estadual;16;33.16;12;41.23;24;7.68;22;7.55;;;1;8;12;18;;;;;;;
2019;psicologia;Universidade do Estado do Rio de Janeiro;RJ;15;Estadual;10;34.3;17;39.43;8;7.9;31;7.35;;;128;6.18;12;18;;;;;;;
2019;psicologia;Universidade Estadual de Maringá;PR;16;Estadual;28;30.88;14;40.82;41;7.44;30;7.38;;;1;8;12;18;;;;;;;
2019;psicologia;Universidade do Vale do Rio dos Sinos;RS;17;Privada;16;33.16;19;38.22;43;7.41;68;6.56;;;123;6.25;12;18;;;;;;;
2019;psicologia;Pontifícia Universidade Católica de Minas Gerais;MG;18;Privada;2;35.81;20;34.01;136;6.09;137;5.07;;;201-250;4.85;12;18;;;;;;;
