ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2019;quimica;Universidade de São Paulo;SP;1;Estadual;1;36;1;63.38;5;7.84;11;7.54;;;1;8;1;40;;;;;;;
2019;quimica;Universidade Estadual de Campinas;SP;2;Estadual;2;35.6;2;61.44;16;7.39;2;7.95;;;1;8;2;38.1;;;;;;;
2019;quimica;Universidade Federal do Rio de Janeiro;RJ;3;Federal;2;35.6;3;58.95;18;7.31;13;7.45;;;1;8;3;36.19;;;;;;;
2019;quimica;Universidade Federal de Minas Gerais;MG;4;Federal;5;34.4;4;57.7;10;7.64;6;7.77;;;1;8;4;34.29;;;;;;;
2019;quimica;Universidade Federal de São Carlos;SP;5;Federal;8;33.2;5;57.48;11;7.6;10;7.59;;;1;8;4;34.29;;;;;;;
2019;quimica;Universidade Federal do Rio Grande do Sul;RS;6;Federal;14;30.8;6;57.17;22;7.15;7;7.73;;;1;8;4;34.29;;;;;;;
2019;quimica;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;7;Estadual;2;35.6;7;52.14;9;7.68;11;7.54;;;134;2.63;4;34.29;;;;;;;
2019;quimica;Universidade Federal do Paraná;PR;8;Federal;14;30.8;8;48.53;37;6.55;16;7.31;;;1;8;8;26.67;;;;;;;
2019;quimica;Universidade Federal do Ceará;CE;9;Federal;5;34.4;12;43.5;12;7.56;23;6.99;;;1;8;11;20.95;;;;;;;
2019;quimica;Universidade Federal de Santa Catarina;SC;10;Federal;14;30.8;10;46.67;23;7.11;69;4.89;;;1;8;8;26.67;;;;;;;
2019;quimica;Universidade Federal Fluminense;RJ;11;Federal;8;33.2;14;43.2;14;7.48;28;6.77;;;1;8;11;20.95;;;;;;;
2019;quimica;Universidade Federal de Pernambuco;PE;12;Federal;8;33.2;18;40.12;63;5.5;52;5.67;;;1;8;11;20.95;;;;;;;
2019;quimica;Universidade de Brasília;DF;13;Federal;14;30.8;17;42.2;25;7.03;40;6.22;;;1;8;11;20.95;;;;;;;
2019;quimica;Universidade Federal de Santa Maria;RS;14;Federal;35;22.4;9;47.66;28;6.91;43;6.08;;;1;8;8;26.67;;;;;;;
2019;quimica;Universidade Presbiteriana Mackenzie;SP;15;Privada;8;33.2;20;34.95;33;6.71;58;5.39;;;152;1.9;11;20.95;;;;;;;
2019;quimica;Universidade Federal Rural do Rio de Janeiro;RJ;16;Federal;35;22.4;13;43.36;21;7.19;18;7.22;;;1;8;11;20.95;;;;;;;
2019;quimica;Universidade Federal de Viçosa;MG;17;Federal;35;22.4;15;43.1;15;7.43;29;6.72;;;1;8;11;20.95;;;;;;;
2019;quimica;Universidade Federal de Uberlândia;MG;18;Federal;35;22.4;16;42.44;20;7.23;39;6.26;;;1;8;11;20.95;;;;;;;
2019;quimica;Pontifícia Universidade Católica do Rio de Janeiro;RJ;19;Privada;35;22.4;19;39.26;7;7.76;1;8;;;136;2.55;11;20.95;;;;;;;
2019;quimica;Pontifícia Universidade Católica do Rio Grande do Sul;RS;20;Privada;14;30.8;21;30.6;46;6.18;124;2.38;;;172;1.09;11;20.95;;;;;;;
2019;quimica;Fundação Universidade Federal do ABC;SP;21;Federal;68;9.2;11;44.81;1;8;4;7.86;;;1;8;11;20.95;;;;;;;
2019;quimica;Universidade Federal de Juiz de Fora;MG;22;Federal;14;30.8;22;22.9;26;6.99;3;7.91;;;1;8;;;;;;;;;
2019;quimica;Universidade Federal da Bahia;BA;23;Federal;8;33.2;36;20.18;73;5.09;21;7.09;;;1;8;;;;;;;;;
2019;quimica;Universidade do Estado do Rio de Janeiro;RJ;24;Estadual;5;34.4;51;18.13;24;7.07;9;7.63;;;114;3.43;;;;;;;;;
2019;quimica;Universidade do Estado da Bahia;BA;25;Estadual;14;30.8;29;21.29;50;6.02;17;7.27;;;1;8;;;;;;;;;
2019;quimica;Universidade Estadual de Maringá;PR;26;Estadual;14;30.8;35;20.21;61;5.58;31;6.63;;;1;8;;;;;;;;;
2019;quimica;Universidade Estadual de Londrina;PR;27;Estadual;14;30.8;37;20.14;41;6.38;50;5.76;;;1;8;;;;;;;;;
2019;quimica;Universidade Federal do Rio Grande do Norte;RN;28;Federal;14;30.8;42;19.61;35;6.63;67;4.98;;;1;8;;;;;;;;;
2019;quimica;Universidade Federal de Sergipe;SE;29;Federal;14;30.8;43;19.6;42;6.34;61;5.26;;;1;8;;;;;;;;;
2019;quimica;Universidade Federal de Goiás;GO;30;Federal;14;30.8;47;18.61;45;6.22;80;4.39;;;1;8;;;;;;;;;
2019;quimica;Universidade Federal do Pará;PA;31;Federal;14;30.8;53;17.83;53;5.9;90;3.93;;;1;8;;;;;;;;;
2019;quimica;Universidade Federal do Maranhão;MA;32;Federal;14;30.8;55;17.72;83;4.69;66;5.03;;;1;8;;;;;;;;;
2019;quimica;Universidade Federal da Paraíba;PB;33;Federal;14;30.8;56;17.61;29;6.87;116;2.74;;;1;8;;;;;;;;;
2019;quimica;Universidade Federal de Alagoas;AL;34;Federal;14;30.8;60;17.21;49;6.06;107;3.15;;;1;8;;;;;;;;;
2019;quimica;Universidade Estadual Vale do Acaraú;CE;35;Estadual;14;30.8;63;17;59;5.66;103;3.34;;;1;8;;;;;;;;;
2019;quimica;Universidade Federal do Piauí;PI;36;Federal;14;30.8;86;14.24;92;4.32;134;1.92;;;1;8;;;;;;;;;
2019;quimica;Universidade Federal de São Paulo;SP;37;Federal;35;22.4;25;21.83;6;7.8;44;6.03;;;1;8;;;;;;;;;
2019;quimica;Universidade Estadual do Oeste do Paraná;PR;38;Estadual;35;22.4;27;21.33;31;6.79;33;6.54;;;1;8;;;;;;;;;
2019;quimica;Universidade Federal do Espírito Santo;ES;39;Federal;35;22.4;28;21.32;38;6.51;27;6.81;;;1;8;;;;;;;;;
2019;quimica;Universidade Estadual do Piauí;PI;40;Estadual;14;30.8;105;12.57;112;3.52;153;1.05;;;1;8;;;;;;;;;
2019;quimica;Universidade Estadual de Santa Cruz;BA;41;Estadual;35;22.4;34;20.39;52;5.94;35;6.45;;;1;8;;;;;;;;;
2019;quimica;Universidade Estadual do Ceará;CE;42;Estadual;8;33.2;130;9.54;118;3.27;113;2.88;;;115;3.39;;;;;;;;;
2019;quimica;Universidade Estadual de Ponta Grossa;PR;43;Estadual;35;22.4;38;20.05;13;7.52;77;4.53;;;1;8;;;;;;;;;
2019;quimica;Universidade Federal de Ouro Preto;MG;44;Federal;35;22.4;39;19.81;64;5.46;37;6.35;;;1;8;;;;;;;;;
2019;quimica;Instituto Federal de Educação, Ciência e Tecnologia do Rio de Janeiro;RJ;45;Federal;35;22.4;49;18.37;103;3.88;34;6.49;;;1;8;;;;;;;;;
2019;quimica;Universidade Federal de Mato Grosso;MT;46;Federal;35;22.4;52;17.89;99;4.04;48;5.85;;;1;8;;;;;;;;;
2019;quimica;Universidade Estadual de Feira de Santana;BA;47;Estadual;35;22.4;57;17.56;140;2.38;19;7.18;;;1;8;;;;;;;;;
2019;quimica;Universidade Federal de Mato Grosso do Sul;MS;48;Federal;35;22.4;67;16.37;34;6.67;24;6.95;;;131;2.75;;;;;;;;;
2019;quimica;Universidade do Estado do Rio Grande do Norte;RN;49;Estadual;35;22.4;68;16.2;82;4.73;100;3.47;;;1;8;;;;;;;;;
2019;quimica;Universidade Federal do Amazonas;AM;50;Federal;35;22.4;70;16.1;79;4.85;105;3.25;;;1;8;;;;;;;;;
2019;quimica;Universidade Federal de Campina Grande;PB;51;Federal;35;22.4;73;15.96;97;4.12;92;3.84;;;1;8;;;;;;;;;
2019;quimica;Pontifícia Universidade Católica de Campinas;SP;52;Privada;14;30.8;153;7.13;90;4.4;118;2.65;;;197;0.08;;;;;;;;;
2019;quimica;Universidade Estadual da Paraíba;PB;53;Estadual;35;22.4;85;14.31;89;4.44;135;1.87;;;1;8;;;;;;;;;
2019;quimica;Universidade Estadual do Sudoeste da Bahia;BA;54;Estadual;35;22.4;87;14.22;96;4.16;131;2.06;;;1;8;;;;;;;;;
2019;quimica;Universidade Federal Rural de Pernambuco;PE;55;Federal;35;22.4;90;14.02;62;5.54;63;5.17;;;117;3.31;;;;;;;;;
2019;quimica;Fundação Universidade Federal do Tocantins;TO;56;Federal;35;22.4;93;13.85;60;5.62;171;0.23;;;1;8;;;;;;;;;
2019;quimica;Universidade Estadual de Goiás;GO;57;Estadual;35;22.4;102;13.01;127;2.91;130;2.1;;;1;8;;;;;;;;;
2019;quimica;Universidade do Grande Rio Professor José de Souza Herdy;RJ;58;Privada;35;22.4;115;11.77;133;2.67;152;1.1;;;1;8;;;;;;;;;
2019;quimica;Universidade Luterana do Brasil;RS;59;Privada;35;22.4;122;11.11;131;2.75;55;5.53;;;129;2.83;;;;;;;;;
2019;quimica;Universidade Católica de Brasília;DF;60;Privada;35;22.4;124;10.86;128;2.87;64;5.12;;;128;2.87;;;;;;;;;
2019;quimica;Pontifícia Universidade Católica do Paraná;PR;61;Privada;35;22.4;125;10.75;105;3.8;56;5.49;;;163;1.46;;;;;;;;;
2019;quimica;Universidade Estadual do Maranhão;MA;62;Estadual;14;30.8;195;1.86;187;0.49;154;1.01;;;190;0.36;;;;;;;;;
2019;quimica;Faculdades Oswaldo Cruz;SP;63;Privada;35;22.4;129;9.66;122;3.11;60;5.3;;;168;1.25;;;;;;;;;
2019;quimica;Universidade do Estado do Amazonas;AM;64;Estadual;35;22.4;133;9.25;176;0.93;169;0.32;;;1;8;;;;;;;;;
2019;quimica;Universidade Regional de Blumenau;SC;65;Municipal;35;22.4;137;8.9;100;4;83;4.25;;;183;0.65;;;;;;;;;
2019;quimica;Universidade Pitágoras Unopar Anhanguera;PR;66;Privada;35;22.4;150;7.5;158;1.66;81;4.34;;;162;1.5;;;;;;;;;
2019;quimica;Universidade Tecnológica Federal do Paraná;PR;67;Federal;68;9.2;33;20.54;47;6.14;36;6.4;;;1;8;;;;;;;;;
2019;quimica;Centro Universitário Fundação Santo André;SP;68;Privada;35;22.4;166;5.65;129;2.83;123;2.42;;;189;0.4;;;;;;;;;
2019;quimica;Universidade Católica de Pernambuco;PE;69;Privada;35;22.4;174;5.05;114;3.43;145;1.42;;;194;0.2;;;;;;;;;
2019;quimica;Universidade Estadual de Montes Claros;MG;70;Estadual;68;9.2;65;16.47;141;2.34;42;6.13;;;1;8;;;;;;;;;
2019;quimica;Universidade Católica de Santos;SP;71;Privada;68;9.2;69;16.14;36;6.59;142;1.55;;;1;8;;;;;;;;;
2019;quimica;Faculdade Pio Décimo;SE;72;Privada;68;9.2;79;14.98;102;3.92;109;3.06;;;1;8;;;;;;;;;
2019;quimica;Fundação Universidade Federal de Rondônia;RO;73;Federal;68;9.2;94;13.83;75;5.01;158;0.82;;;1;8;;;;;;;;;
