ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2019;relacoes-internacionais;Universidade de São Paulo;SP;1;Estadual;1;36;2;60.19;1;8;42;4.19;;;1;8;1;40;;;;;;;
2019;relacoes-internacionais;Universidade de Brasília;DF;2;Federal;3;33.23;1;60.3;14;7.06;2;7.91;;;1;8;2;37.33;;;;;;;
2019;relacoes-internacionais;Universidade Federal do Rio de Janeiro;RJ;3;Federal;3;33.23;3;57.1;11;7.27;10;7.16;;;1;8;3;34.67;;;;;;;
2019;relacoes-internacionais;Pontifícia Universidade Católica de São Paulo;SP;4;Privada;1;36;5;49.73;18;6.76;30;5.3;;;33;5.67;4;32;;;;;;;
2019;relacoes-internacionais;Universidade Federal do Rio Grande do Sul;RS;5;Federal;8;26.31;4;55.49;8;7.49;1;8;;;1;8;4;32;;;;;;;
2019;relacoes-internacionais;Universidade Federal de Minas Gerais;MG;6;Federal;3;33.23;7;43.45;9;7.42;15;6.7;;;1;8;8;21.33;;;;;;;
2019;relacoes-internacionais;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;7;Estadual;8;26.31;6;49.21;7;7.56;42;4.19;;;36;5.46;4;32;;;;;;;
2019;relacoes-internacionais;Pontifícia Universidade Católica do Rio de Janeiro;RJ;8;Privada;3;33.23;9;39.27;23;6.4;;;;;99;0.87;4;32;;;;;;;
2019;relacoes-internacionais;Pontifícia Universidade Católica de Minas Gerais;MG;9;Privada;3;33.23;10;36.61;43;4.95;26;5.67;;;47;4.66;8;21.33;;;;;;;
2019;relacoes-internacionais;Universidade Federal de Uberlândia;MG;10;Federal;8;26.31;8;42.68;22;6.47;13;6.88;;;1;8;8;21.33;;;;;;;
2019;relacoes-internacionais;Universidade Federal Fluminense;RJ;11;Federal;8;26.31;11;36.4;10;7.35;4;7.72;;;1;8;11;13.33;;;;;;;
2019;relacoes-internacionais;Universidade do Vale do Rio dos Sinos;RS;12;Privada;8;26.31;13;32.48;24;6.33;7;7.44;;;37;5.38;11;13.33;;;;;;;
2019;relacoes-internacionais;Universidade do Estado do Rio de Janeiro;RJ;13;Estadual;8;26.31;14;26.64;5;7.71;;;;;34;5.6;11;13.33;;;;;;;
2019;relacoes-internacionais;Universidade Federal da Paraíba;PB;14;Federal;8;26.31;19;21.61;25;6.26;8;7.35;;;1;8;;;;;;;;;
2019;relacoes-internacionais;Universidade Vila Velha;ES;15;Privada;8;26.31;28;15.45;39;5.24;25;5.77;;;50;4.44;;;;;;;;;
2019;relacoes-internacionais;Centro Universitário Jorge Amado;BA;16;Privada;8;26.31;29;15.27;61;3.64;5;7.63;;;56;4;;;;;;;;;
2019;relacoes-internacionais;Universidade Potiguar;RN;17;Privada;8;26.31;41;13.56;36;5.46;57;2.79;;;38;5.31;;;;;;;;;
2019;relacoes-internacionais;Centro Universitário das Faculdades Metropolitanas Unidas;SP;18;Privada;8;26.31;46;12.62;70;2.98;24;5.86;;;59;3.78;;;;;;;;;
2019;relacoes-internacionais;Universidade Anhembi Morumbi;SP;19;Privada;8;26.31;48;12.37;46;4.73;40;4.37;;;66;3.27;;;;;;;;;
2019;relacoes-internacionais;Centro Universitário Ibmec;RJ;20;Privada;8;26.31;49;12.36;41;5.09;16;6.61;;;102;0.66;;;;;;;;;
2019;relacoes-internacionais;Universidade Paulista;SP;21;Privada;8;26.31;54;11.8;101;0.73;22;6.05;;;42;5.02;;;;;;;;;
2019;relacoes-internacionais;Escola Superior de Propaganda e Marketing;SP;22;Privada;8;26.31;69;9.14;62;3.56;49;3.54;;;83;2.04;;;;;;;;;
2019;relacoes-internacionais;Universidade Federal de Santa Catarina;SC;23;Federal;;;12;35.38;15;6.98;11;7.07;;;1;8;11;13.33;;;;;;;
2019;relacoes-internacionais;Pontifícia Universidade Católica de Goiás;GO;24;Privada;8;26.31;70;8.83;67;3.2;68;1.77;;;58;3.86;;;;;;;;;
2019;relacoes-internacionais;Universidade do Sul de Santa Catarina;SC;25;Privada;8;26.31;71;8.58;85;1.89;62;2.33;;;51;4.36;;;;;;;;;
2019;relacoes-internacionais;Centro Universitário do Norte;AM;26;Privada;8;26.31;89;6.28;98;0.95;72;1.4;;;57;3.93;;;;;;;;;
2019;relacoes-internacionais;Faculdade de Economia da Fundação Armando Alvares Penteado;SP;27;Privada;8;26.31;91;6.25;72;2.84;52;3.26;;;109;0.15;;;;;;;;;
2019;relacoes-internacionais;Centro Universitário Álvares Penteado;SP;28;Privada;;;15;25.22;31;5.82;39;4.47;;;89;1.6;11;13.33;;;;;;;
2019;relacoes-internacionais;Fundação Universidade Federal do ABC;SP;29;Federal;;;16;23.81;1;8;3;7.81;;;1;8;;;;;;;;;
2019;relacoes-internacionais;Universidade Federal de São Paulo;SP;30;Federal;;;17;23.18;6;7.64;6;7.54;;;1;8;;;;;;;;;
2019;relacoes-internacionais;Universidade Federal de Pelotas;RS;31;Federal;;;18;21.64;13;7.13;17;6.51;;;1;8;;;;;;;;;
2019;relacoes-internacionais;Universidade Federal de Santa Maria;RS;32;Federal;;;20;21.02;28;6.04;12;6.98;;;1;8;;;;;;;;;
2019;relacoes-internacionais;Fundação Universidade Federal do Pampa;RS;33;Federal;;;21;20.39;34;5.6;14;6.79;;;1;8;;;;;;;;;
2019;relacoes-internacionais;Universidade Estadual da Paraíba;PB;34;Estadual;;;22;19.96;17;6.84;32;5.12;;;1;8;;;;;;;;;
2019;relacoes-internacionais;Universidade Federal Rural do Rio de Janeiro;RJ;35;Federal;;;23;19.94;12;7.2;36;4.74;;;1;8;;;;;;;;;
2019;relacoes-internacionais;Universidade Federal de Sergipe;SE;36;Federal;;;24;17.95;42;5.02;34;4.93;;;1;8;;;;;;;;;
2019;relacoes-internacionais;Fundação Universidade Federal da Grande Dourados;MS;37;Federal;;;25;16.01;38;5.31;58;2.7;;;1;8;;;;;;;;;
2019;relacoes-internacionais;Universidade do Estado do Pará;PA;38;Estadual;;;26;16;1;8;;;;;1;8;;;;;;;;;
2019;relacoes-internacionais;Universidade da Integração Internacional da Lusofonia Afro-brasileira;CE;38;Federal;;;26;16;1;8;;;;;1;8;;;;;;;;;
2019;relacoes-internacionais;Escola Superior de Propaganda e Marketing de Porto Alegre;RS;40;Privada;;;30;15.26;26;6.18;23;5.95;;;68;3.13;;;;;;;;;
