ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes;Posição PP;Posição em Permanência dos alunos;Nota em Permanência dos alunos
2019;servico-social;Universidade Federal do Rio de Janeiro;RJ;1;Federal;1;36;1;62.28;4;7.93;55;6.35;;;1;8;1;40;;;;;;;
2019;servico-social;Pontifícia Universidade Católica de São Paulo;SP;2;Privada;5;34.5;3;59.16;17;7.63;56;6.32;;;121;5.21;1;40;;;;;;;
2019;servico-social;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;3;Estadual;1;36;4;57.05;3;7.95;59;6.23;;;103;5.63;3;37.24;;;;;;;
2019;servico-social;Universidade Federal de Pernambuco;PE;4;Federal;1;36;5;56.51;20;7.56;6;7.85;;;1;8;6;33.1;;;;;;;
2019;servico-social;Universidade do Estado do Rio de Janeiro;RJ;5;Estadual;5;34.5;6;55.4;15;7.67;46;6.63;;;1;8;6;33.1;;;;;;;
2019;servico-social;Universidade Federal do Rio Grande do Sul;RS;6;Federal;11;32.25;8;53.13;7;7.86;251-300;0.03;;;1;8;3;37.24;;;;;;;
2019;servico-social;Pontifícia Universidade Católica do Rio Grande do Sul;RS;7;Privada;11;32.25;9;52.59;2;7.98;33;7.02;;;152;4.49;6;33.1;;;;;;;
2019;servico-social;Universidade de Brasília;DF;8;Federal;33;24;2;60.64;12;7.74;12;7.66;;;1;8;3;37.24;;;;;;;
2019;servico-social;Universidade Federal do Paraná;PR;9;Federal;11;32.25;10;51.75;60;6.62;131;4.03;;;1;8;6;33.1;;;;;;;
2019;servico-social;Universidade Federal da Bahia;BA;10;Federal;5;34.5;16;48.35;57;6.69;19;7.45;;;1;8;11;26.21;;;;;;;
2019;servico-social;Universidade Federal Fluminense;RJ;11;Federal;5;34.5;17;47.52;22;7.51;73;5.8;;;1;8;11;26.21;;;;;;;
2019;servico-social;Universidade Federal do Rio Grande do Norte;RN;12;Federal;11;32.25;11;49.27;36;7.18;5;7.88;;;1;8;11;26.21;;;;;;;
2019;servico-social;Universidade Estadual de Londrina;PR;13;Estadual;11;32.25;13;48.58;11;7.77;47;6.6;;;1;8;11;26.21;;;;;;;
2019;servico-social;Universidade Federal do Pará;PA;14;Federal;11;32.25;14;48.42;33;7.25;35;6.96;;;1;8;11;26.21;;;;;;;
2019;servico-social;Universidade Federal de Santa Catarina;SC;15;Federal;33;24;7;55.06;24;7.46;50;6.5;;;1;8;6;33.1;;;;;;;
