ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC
2019;turismo;Universidade de São Paulo;SP;1;Estadual;1;36;1;60.72;1;8;40;4.72;;;1;8;1;40
2019;turismo;Universidade Anhembi Morumbi;SP;2;Privada;1;36;4;53.93;17;6.88;28;5.73;;;74;2.92;2;38.4
2019;turismo;Universidade Federal de Pernambuco;PE;3;Federal;4;33.23;5;53.7;23;6.46;10;7.24;;;1;8;6;32
2019;turismo;Universidade Federal de Minas Gerais;MG;4;Federal;9;28.62;2;55.38;5;7.72;5;7.66;;;1;8;6;32
2019;turismo;Universidade Federal do Paraná;PR;5;Federal;9;28.62;3;54.53;10;7.37;11;7.16;;;1;8;6;32
2019;turismo;Universidade do Vale do Itajaí;SC;6;Privada;4;33.23;10;45.76;73;2.95;56;3.37;;;55;4.24;4;35.2
2019;turismo;Pontifícia Universidade Católica de São Paulo;SP;7;Privada;9;28.62;6;49.67;4;7.79;34;5.22;;;49;4.66;6;32
2019;turismo;Universidade de Brasília;DF;8;Federal;9;28.62;7;48.86;8;7.51;4;7.75;;;1;8;10;25.6
2019;turismo;Universidade Federal Fluminense;RJ;9;Federal;9;28.62;8;46.6;9;7.44;30;5.56;;;1;8;10;25.6
2019;turismo;Centro Universitário Senac;SP;10;Privada;4;33.23;14;41.82;91;1.68;;;;;91;1.74;2;38.4
2019;turismo;Universidade Paulista;SP;11;Privada;4;33.23;16;37.57;64;3.58;36;5.05;;;68;3.34;10;25.6
2019;turismo;Universidade Nove de Julho;SP;12;Privada;9;28.62;15;38.42;20;6.67;71;2.11;;;58;4.04;10;25.6
2019;turismo;Universidade de Caxias do Sul;RS;13;Privada;19;19.39;9;45.92;33;5.75;66;2.53;;;81;2.44;4;35.2
2019;turismo;Universidade Federal do Rio Grande do Norte;RN;14;Federal;19;19.39;13;43.23;21;6.6;60;3.03;;;1;8;10;25.6
2019;turismo;Universidade Federal da Paraíba;PB;15;Federal;19;19.39;20;34.04;32;5.83;8;7.41;;;1;8;18;12.8
2019;turismo;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;16;Estadual;19;19.39;22;29.62;13;7.16;40;4.72;;;45;4.94;18;12.8
2019;turismo;Castelli Escola Superior de Hotelaria;RS;17;Privada;19;19.39;23;29.04;68;3.3;;;;;114;0.14;10;25.6
2019;turismo;Universidade Estácio de Sá;RJ;18;Privada;1;36;58;12.34;76;2.74;20;6.4;;;70;3.2;;
2019;turismo;Universidade Federal do Pará;PA;19;Federal;9;28.62;33;18.27;30;5.97;45;4.3;;;1;8;;
2019;turismo;Universidade do Estado da Bahia;BA;20;Estadual;9;28.62;36;17.01;55;4.21;39;4.8;;;1;8;;
2019;turismo;Universidade do Estado do Rio de Janeiro;RJ;21;Estadual;;;11;44.67;2;7.93;24;6.06;;;43;5.08;10;25.6
2019;turismo;Universidade Veiga de Almeida;RJ;22;Privada;4;33.23;69;11.15;27;6.18;70;2.19;;;76;2.78;;
2019;turismo;Universidade Federal do Maranhão;MA;23;Federal;;;12;43.46;44;4.98;38;4.88;;;1;8;10;25.6
2019;turismo;Universidade Federal do Estado do Rio de Janeiro;RJ;24;Federal;19;19.39;25;22.88;11;7.3;6;7.58;;;1;8;;
2019;turismo;Universidade Regional de Blumenau;SC;25;Municipal;9;28.62;66;11.6;37;5.47;29;5.64;;;109;0.49;;
2019;turismo;Pontifícia Universidade Católica de Campinas;SP;26;Privada;19;19.39;27;20.43;46;4.84;67;2.44;;;111;0.35;18;12.8
2019;turismo;Universidade do Estado do Amazonas;AM;27;Estadual;19;19.39;32;18.48;58;4;19;6.48;;;1;8;;
2019;turismo;Centro Universitário Maurício de Nassau;PE;28;Privada;9;28.62;77;9.24;66;3.44;47;4.13;;;92;1.67;;
2019;turismo;Universidade Federal de São Carlos;SP;29;Federal;;;17;35.99;3;7.86;9;7.33;;;1;8;18;12.8
2019;turismo;Universidade Federal Rural do Rio de Janeiro;RJ;30;Federal;;;18;35.36;6;7.65;14;6.91;;;1;8;18;12.8
2019;turismo;Universidade Feevale;RS;31;Privada;19;19.39;38;15.81;39;5.33;31;5.47;;;44;5.01;;
2019;turismo;Faculdade Estácio de Florianópolis;SC;32;Privada;19;19.39;40;15.75;54;4.28;7;7.5;;;59;3.97;;
2019;turismo;Universidade Federal de Pelotas;RS;33;Federal;;;19;34.68;12;7.23;17;6.65;;;1;8;18;12.8
2019;turismo;Universidade São Judas Tadeu;SP;34;Privada;19;19.39;42;14.85;14;7.09;27;5.81;;;88;1.95;;
2019;turismo;Universidade Estadual do Oeste do Paraná;PR;35;Estadual;19;19.39;44;14.71;77;2.67;48;4.04;;;1;8;;
2019;turismo;Universidade Federal de Ouro Preto;MG;36;Federal;;;21;33.98;16;6.95;22;6.23;;;1;8;18;12.8
2019;turismo;Instituto Federal de Educação, Ciência e Tecnologia de Goiás;GO;37;Federal;19;19.39;62;11.79;61;3.79;;;;;1;8;;
2019;turismo;Faculdades Integradas Hélio Alonso;RJ;38;Privada;19;19.39;75;9.75;42;5.12;55;3.45;;;99;1.18;;
2019;turismo;Centro Universitário do Norte;AM;39;Privada;19;19.39;82;8.31;60;3.86;82;1.18;;;69;3.27;;
2019;turismo;Centro Universitário do Instituto de Educação Superior de Brasília;DF;40;Privada;19;19.39;83;8.14;113;0.14;;;;;1;8;;
2019;turismo;Centro Universitário Dinâmica das Cataratas;PR;41;Privada;19;19.39;88;7.71;69;3.23;85;0.93;;;65;3.55;;
2019;turismo;Faculdades Integradas da Upis;DF;42;Privada;19;19.39;92;7.34;110;0.35;37;4.97;;;87;2.02;;
