ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes
2019;zootecnia;Universidade de São Paulo;SP;1;Estadual;1;36;3;60.47;1;8;35;4.47;;;1;8;1;40;;;;
2019;zootecnia;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;2;Estadual;1;36;4;59.92;7;7.45;35;4.47;;;1;8;1;40;;;;
2019;zootecnia;Universidade Federal de Viçosa;MG;3;Federal;3;27;1;62.43;9;7.26;9;7.17;;;1;8;1;40;;;;
2019;zootecnia;Universidade Federal de Minas Gerais;MG;4;Federal;3;27;5;35.35;29;5.43;32;4.78;;;1;8;5;17.14;;;;
2019;zootecnia;Universidade Federal de Lavras;MG;5;Federal;;;2;62.32;8;7.36;11;6.96;;;1;8;1;40;;;;
2019;zootecnia;Universidade Federal de Santa Maria;RS;6;Federal;3;27;6;34.7;18;6.44;48;3.12;;;1;8;5;17.14;;;;
2019;zootecnia;Universidade Federal de Uberlândia;MG;7;Federal;3;27;15;20.38;20;6.25;19;6.13;;;1;8;;;;;;
2019;zootecnia;Universidade Federal Rural do Rio de Janeiro;RJ;8;Federal;3;27;16;20.36;27;5.61;13;6.75;;;1;8;;;;;;
2019;zootecnia;Universidade Federal da Bahia;BA;9;Federal;3;27;17;20.35;26;5.7;14;6.65;;;1;8;;;;;;
2019;zootecnia;Universidade Estadual de Maringá;PR;10;Estadual;;;7;31.97;42;4.23;53;2.6;;;1;8;5;17.14;;;;
2019;zootecnia;Universidade Federal do Rio Grande do Sul;RS;11;Federal;;;8;23.17;10;7.17;1;8;;;1;8;;;;;;
2019;zootecnia;Universidade Federal do Paraná;PR;12;Federal;;;9;22.59;13;6.9;4;7.69;;;1;8;;;;;;
