ano,edicao,id_usnews,universidade,bloco,area,indicador,tipo,valor,observacao
2026,2026-2027,500437,Universidade de São Paulo,Listagem,Geral,Best Universities in Brazil,posicao,1.0,
2026,2026-2027,500437,Universidade de São Paulo,Listagem,Geral,Best Global Universities,posicao,134.0,
2026,2026-2027,500437,Universidade de São Paulo,Listagem,Geral,Global Score,score,65.7,
2026,2026-2027,500437,Universidade de São Paulo,Listagem,Geral,Enrollment,valor,81876.0,
2026,2026-2027,500437,Universidade de São Paulo,Perfil institucional,Geral,Total number of students,valor,81876.0,
2026,2026-2027,500437,Universidade de São Paulo,Perfil institucional,Geral,Number of international students,valor,2491.0,
2026,2026-2027,500437,Universidade de São Paulo,Perfil institucional,Geral,Total number of academic staff,valor,6043.0,
2026,2026-2027,500437,Universidade de São Paulo,Perfil institucional,Geral,Number of international staff,valor,275.0,
2026,2026-2027,500437,Universidade de São Paulo,Perfil institucional,Geral,Number of undergraduate degrees awarded,valor,8989.0,
2026,2026-2027,500437,Universidade de São Paulo,Perfil institucional,Geral,Number of master's degrees awarded,valor,3991.0,
2026,2026-2027,500437,Universidade de São Paulo,Perfil institucional,Geral,Number of doctoral degrees awarded,valor,2920.0,
2026,2026-2027,500437,Universidade de São Paulo,Perfil institucional,Geral,Number of research only staff,valor,4205.0,
2026,2026-2027,500437,Universidade de São Paulo,Perfil institucional,Geral,Number of new undergraduate students,valor,10803.0,
2026,2026-2027,500437,Universidade de São Paulo,Perfil institucional,Geral,Number of new master's students,valor,4086.0,
2026,2026-2027,500437,Universidade de São Paulo,Perfil institucional,Geral,Number of new doctoral students,valor,2855.0,
2026,2026-2027,500437,Universidade de São Paulo,Ranking geral,Geral,Global score,score,65.7,
2026,2026-2027,500437,Universidade de São Paulo,Ranking geral,Geral,Best Global Universities,posicao,134.0,
2026,2026-2027,500437,Universidade de São Paulo,Ranking geral,Geral,Best Global Universities in Latin America,posicao,1.0,
2026,2026-2027,500437,Universidade de São Paulo,Ranking geral,Geral,Best Global Universities in Brazil,posicao,1.0,
2026,2026-2027,500437,Universidade de São Paulo,Ranking por area,Agricultural Sciences,Posicao na area,posicao,19.0,
2026,2026-2027,500437,Universidade de São Paulo,Ranking por area,Agricultural Sciences,Score na area,score,69.2,
2026,2026-2027,500437,Universidade de São Paulo,Ranking por area,Arts and Humanities,Posicao na area,posicao,217.0,empate
2026,2026-2027,500437,Universidade de São Paulo,Ranking por area,Arts and Humanities,Score na area,score,41.8,
2026,2026-2027,500437,Universidade de São Paulo,Ranking por area,Biology and Biochemistry,Posicao na area,posicao,76.0,empate
2026,2026-2027,500437,Universidade de São Paulo,Ranking por area,Biology and Biochemistry,Score na area,score,54.2,
2026,2026-2027,500437,Universidade de São Paulo,Ranking por area,Biotechnology and Applied Microbiology,Posicao na area,posicao,74.0,empate
2026,2026-2027,500437,Universidade de São Paulo,Ranking por area,Biotechnology and Applied Microbiology,Score na area,score,49.0,
2026,2026-2027,500437,Universidade de São Paulo,Ranking por area,Cardiac and Cardiovascular Systems,Posicao na area,posicao,106.0,
2026,2026-2027,500437,Universidade de São Paulo,Ranking por area,Cardiac and Cardiovascular Systems,Score na area,score,54.3,
2026,2026-2027,500437,Universidade de São Paulo,Ranking por area,Cell Biology,Posicao na area,posicao,188.0,
2026,2026-2027,500437,Universidade de São Paulo,Ranking por area,Cell Biology,Score na area,score,35.0,
2026,2026-2027,500437,Universidade de São Paulo,Ranking por area,Chemical Engineering,Posicao na area,posicao,272.0,
2026,2026-2027,500437,Universidade de São Paulo,Ranking por area,Chemical Engineering,Score na area,score,43.4,
2026,2026-2027,500437,Universidade de São Paulo,Ranking por area,Chemistry,Posicao na area,posicao,136.0,empate
2026,2026-2027,500437,Universidade de São Paulo,Ranking por area,Chemistry,Score na area,score,61.8,
2026,2026-2027,500437,Universidade de São Paulo,Ranking por area,Civil Engineering,Posicao na area,posicao,238.0,
2026,2026-2027,500437,Universidade de São Paulo,Ranking por area,Civil Engineering,Score na area,score,16.4,
